iter	Passed	Remaining
0	20	10451
1	39	9763
2	56	9338
3	73	9151
4	90	8989
5	107	8864
6	124	8740
7	141	8682
8	157	8599
9	174	8533
10	190	8473
11	206	8416
12	223	8383
13	240	8339
14	256	8304
15	273	8272
16	291	8270
17	308	8249
18	324	8215
19	341	8204
20	360	8215
21	377	8206
22	394	8182
23	411	8168
24	429	8155
25	447	8153
26	463	8125
27	481	8108
28	497	8076
29	515	8069
30	531	8048
31	549	8040
32	567	8024
33	584	8016
34	602	8003
35	619	7990
36	637	7971
37	655	7967
38	672	7944
39	689	7927
40	706	7905
41	722	7880
42	740	7867
43	757	7847
44	774	7831
45	792	7823
46	810	7807
47	826	7784
48	843	7765
49	860	7744
50	878	7730
51	894	7710
52	911	7691
53	930	7681
54	947	7664
55	964	7649
56	983	7641
57	999	7617
58	1017	7602
59	1033	7579
60	1050	7561
61	1068	7546
62	1086	7537
63	1105	7529
64	1121	7508
65	1138	7486
66	1154	7463
67	1170	7439
68	1188	7421
69	1204	7401
70	1221	7382
71	1239	7365
72	1255	7345
73	1272	7325
74	1289	7309
75	1306	7287
76	1322	7267
77	1340	7254
78	1358	7236
79	1375	7220
80	1392	7204
81	1409	7185
82	1426	7167
83	1443	7148
84	1461	7135
85	1478	7117
86	1495	7098
87	1511	7077
88	1529	7065
89	1546	7043
90	1563	7025
91	1580	7009
92	1598	6994
93	1616	6981
94	1633	6963
95	1650	6945
96	1667	6929
97	1685	6913
98	1702	6894
99	1719	6876
100	1736	6859
101	1753	6840
102	1769	6819
103	1786	6801
104	1803	6784
105	1820	6765
106	1837	6748
107	1854	6732
108	1872	6716
109	1888	6695
110	1905	6677
111	1921	6657
112	1938	6638
113	1954	6619
114	1972	6601
115	1989	6585
116	2006	6566
117	2022	6547
118	2039	6530
119	2056	6512
120	2073	6494
121	2090	6475
122	2106	6457
123	2124	6441
124	2140	6422
125	2156	6402
126	2175	6388
127	2191	6370
128	2208	6352
129	2226	6336
130	2242	6317
131	2259	6298
132	2276	6281
133	2293	6263
134	2310	6247
135	2326	6227
136	2343	6208
137	2359	6190
138	2376	6173
139	2393	6155
140	2411	6140
141	2428	6121
142	2444	6103
143	2461	6085
144	2479	6069
145	2496	6052
146	2513	6036
147	2530	6019
148	2547	6001
149	2564	5982
150	2580	5963
151	2597	5946
152	2613	5926
153	2630	5909
154	2647	5891
155	2664	5875
156	2680	5855
157	2697	5838
158	2715	5824
159	2732	5807
160	2750	5790
161	2766	5772
162	2784	5757
163	2801	5738
164	2818	5722
165	2834	5704
166	2851	5686
167	2869	5671
168	2887	5655
169	2904	5638
170	2921	5621
171	2938	5604
172	2955	5585
173	2971	5567
174	2988	5549
175	3006	5534
176	3022	5515
177	3038	5497
178	3055	5479
179	3073	5463
180	3090	5446
181	3107	5429
182	3124	5412
183	3141	5395
184	3158	5377
185	3174	5359
186	3192	5343
187	3209	5325
188	3226	5308
189	3243	5291
190	3259	5273
191	3275	5255
192	3292	5237
193	3309	5219
194	3325	5201
195	3342	5184
196	3359	5167
197	3375	5149
198	3393	5132
199	3409	5114
200	3427	5098
201	3444	5081
202	3461	5064
203	3478	5047
204	3495	5029
205	3512	5012
206	3529	4995
207	3546	4979
208	3563	4960
209	3580	4944
210	3597	4927
211	3614	4910
212	3632	4894
213	3648	4876
214	3666	4860
215	3682	4842
216	3698	4823
217	3715	4805
218	3732	4789
219	3749	4771
220	3766	4754
221	3783	4738
222	3800	4720
223	3817	4703
224	3834	4686
225	3852	4670
226	3869	4653
227	3887	4637
228	3904	4620
229	3920	4602
230	3937	4585
231	3954	4567
232	3970	4549
233	3987	4532
234	4004	4516
235	4022	4499
236	4039	4482
237	4057	4466
238	4074	4449
239	4091	4432
240	4108	4415
241	4125	4398
242	4142	4381
243	4159	4363
244	4176	4346
245	4193	4329
246	4210	4312
247	4227	4295
248	4245	4279
249	4262	4262
250	4279	4245
251	4296	4228
252	4312	4210
253	4330	4193
254	4347	4176
255	4363	4159
256	4381	4142
257	4397	4125
258	4414	4107
259	4432	4091
260	4449	4074
261	4466	4057
262	4482	4039
263	4500	4023
264	4516	4005
265	4534	3989
266	4552	3972
267	4569	3955
268	4586	3938
269	4603	3921
270	4620	3904
271	4638	3888
272	4656	3871
273	4672	3854
274	4690	3837
275	4708	3821
276	4725	3804
277	4743	3788
278	4762	3772
279	4779	3755
280	4795	3737
281	4812	3720
282	4829	3702
283	4847	3686
284	4865	3670
285	4881	3652
286	4899	3635
287	4915	3618
288	4932	3601
289	4949	3583
290	4967	3567
291	4984	3550
292	5001	3533
293	5017	3515
294	5034	3498
295	5050	3480
296	5068	3464
297	5086	3448
298	5102	3429
299	5119	3412
300	5136	3396
