iter	Passed	Remaining
301	5154	3379
302	5171	3362
303	5191	3346
304	5209	3330
305	5227	3313
306	5243	3296
307	5260	3279
308	5277	3262
309	5294	3244
310	5311	3227
311	5327	3209
312	5345	3193
313	5364	3177
314	5382	3160
315	5398	3143
316	5416	3126
317	5433	3109
318	5449	3092
319	5466	3075
320	5482	3057
321	5499	3040
322	5516	3022
323	5533	3005
324	5549	2988
325	5566	2970
326	5583	2953
327	5600	2936
328	5617	2919
329	5633	2902
330	5650	2884
331	5666	2867
332	5685	2851
333	5701	2833
334	5718	2816
335	5736	2800
336	5754	2783
337	5772	2766
338	5789	2749
339	5805	2732
340	5822	2714
341	5839	2697
342	5854	2679
343	5871	2662
344	5888	2645
345	5905	2628
346	5923	2611
347	5940	2594
348	5956	2577
349	5973	2560
350	5989	2542
351	6007	2526
352	6024	2508
353	6040	2491
354	6057	2474
355	6075	2457
356	6091	2440
357	6109	2423
358	6125	2406
359	6142	2388
360	6158	2371
361	6176	2354
362	6193	2337
363	6211	2320
364	6228	2303
365	6245	2286
366	6261	2269
367	6279	2252
368	6296	2235
369	6312	2218
370	6330	2201
371	6347	2184
372	6363	2166
373	6380	2149
374	6397	2132
375	6414	2115
376	6429	2097
377	6448	2081
378	6465	2064
379	6482	2047
380	6499	2029
381	6515	2012
382	6532	1995
383	6550	1978
384	6566	1961
385	6583	1944
386	6600	1927
387	6617	1910
388	6635	1893
389	6651	1876
390	6668	1859
391	6685	1842
392	6702	1824
393	6719	1807
394	6735	1790
395	6751	1773
396	6767	1755
397	6783	1738
398	6800	1721
399	6818	1704
400	6833	1687
401	6851	1670
402	6867	1653
403	6884	1635
404	6900	1618
405	6917	1601
406	6933	1584
407	6952	1567
408	6968	1550
409	6985	1533
410	7001	1516
411	7014	1498
412	7031	1481
413	7047	1463
414	7061	1446
415	7074	1428
416	7087	1410
417	7100	1392
418	7114	1375
419	7127	1357
420	7141	1340
421	7154	1322
422	7168	1304
423	7185	1287
424	7201	1270
425	7218	1253
426	7232	1236
427	7248	1219
428	7265	1202
429	7281	1185
430	7299	1168
431	7320	1152
432	7334	1134
433	7349	1117
434	7367	1100
435	7380	1083
436	7393	1065
437	7407	1048
438	7420	1031
439	7433	1013
440	7446	996
441	7460	978
442	7474	961
443	7491	944
444	7508	928
445	7523	910
446	7537	893
447	7551	876
448	7565	859
449	7581	842
450	7595	825
451	7608	808
452	7622	790
453	7636	773
454	7650	756
455	7663	739
456	7677	722
457	7691	705
458	7708	688
459	7723	671
460	7737	654
461	7750	637
462	7764	620
463	7777	603
464	7791	586
465	7806	569
466	7819	552
467	7834	535
468	7847	518
469	7863	501
470	7877	485
471	7891	468
472	7906	451
473	7920	434
474	7933	417
475	7947	400
476	7961	383
477	7974	367
478	7988	350
479	8001	333
480	8016	316
481	8031	299
482	8046	283
483	8062	266
484	8078	249
485	8092	233
486	8106	216
487	8120	199
488	8134	182
489	8147	166
490	8163	149
491	8177	132
492	8190	116
493	8204	99
494	8219	83
495	8233	66
496	8249	49
497	8267	33
498	8285	16
499	8302	0
