attribute,n_genomes,pct_of_alphaearth
lat/lon,83286,99.99879933242883
isolation_source,76295,91.60493234238236
env_broad_scale,34800,41.78323147670105
env_local_scale,31541,37.87025586225942
env_medium,31483,37.80061714313158
host,53091,63.74464202096366
geo_loc_name,83270,99.97958865129011
