tenant,agency,program,primary_funder,database,table,primary_topic,secondary_topics,n_columns,column_names,has_more_columns
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_microbeatlas,enriched_metadata,field_observational,,43,accession_id|sample_id|collection_date|lat|lon|USGS_MRDS_Mines_deposits_count|USGS_MRDS_Mines_nearest_deposit_distance_km|USGS_MRDS_Mines_commodities|USGS_MRDS_Mines_usgs_mrds_source|USGS_MRDS_Mines_usgs_mrds_site_name|USGS_MRDS_Mines_usgs_mrds_dep_type|USGS_MRDS_Mines_usgs_mrds_oper_type|USGS_MRDS_Mines_usgs_mrds_prod_size|USGS_MRDS_Mines_usgs_mrds_dev_stat|USGS_MRDS_Mines_usgs_mrds_score|USGS_MRDS_Mines_usgs_mrds_url|GeoROC_Rocks_georoc_nearest_rock_km|GeoROC_Rocks_georoc_rock_type|GeoROC_Rocks_georoc_Co_ppm|GeoROC_Rocks_georoc_Cr_ppm|GeoROC_Rocks_georoc_Cu_ppm|GeoROC_Rocks_georoc_Ni_ppm|GeoROC_Rocks_georoc_Zn_ppm|Tectonic_Plates_tectonic_boundary_distance_km|Tectonic_Plates_tectonic_plate1_name|Tectonic_Plates_tectonic_plate2_name|Tectonic_Plates_tectonic_boundary_type|GeoROC_Rocks_georoc_Pb_ppm|GeoROC_Rocks_georoc_U_ppm|GeoROC_Rocks_georoc_As_ppm|GeoROC_Rocks_georoc_Cd_ppm|GeoROC_Rocks_georoc_Hg_ppm|EPA_NPL_npl_superfund_count|EPA_NPL_npl_nearest_site_km|EPA_TRI_tri_facility_count|EPA_TRI_tri_total_releases_lbs|EPA_TRI_tri_carcinogen_releases_lbs|EPA_TRI_tri_nearest_facility_km|CMMI_CMiO_cmmi_nearest_deposit_km|CMMI_CMiO_cmmi_deposit_name|CMMI_CMiO_cmmi_deposit_type|CMMI_CMiO_cmmi_host_rock|CMMI_CMiO_cmmi_all_commodities,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_microbeatlas,enriched_metadata_gee,field_observational,environment,96,SRS_Join_Key|Sample|SampleID|Sample_ID_Matched|LatField|LatFieldValue|LatitudeParsed|LonField|LonFieldValue|LongitudeParsed|lat|lon|ERA5_mean_2m_air_temperature_K|ERA5_total_precipitation_mm|precipitation_mm|temp_C|terraclimate_precipitation_mm|csu_as_mg_kg_avg|csu_cd_mg_kg_avg|csu_co_mg_kg_avg|csu_cr_mg_kg_avg|csu_cu_mg_kg_avg|csu_fe_mg_kg_avg|csu_hg_mg_kg_avg|csu_ni_mg_kg_avg|csu_pb_mg_kg_avg|csu_zn_mg_kg_avg|olm_soil_clay_0cm_pct|olm_soil_clay_100cm_pct|olm_soil_clay_10cm_pct|olm_soil_clay_200cm_pct|olm_soil_clay_30cm_pct|olm_soil_clay_60cm_pct|olm_soil_ph_0cm_H2O|olm_soil_ph_100cm_H2O|olm_soil_ph_10cm_H2O|olm_soil_ph_200cm_H2O|olm_soil_ph_30cm_H2O|olm_soil_ph_60cm_H2O|olm_soil_sand_0cm_pct|olm_soil_sand_100cm_pct|olm_soil_sand_10cm_pct|olm_soil_sand_200cm_pct|olm_soil_sand_30cm_pct|olm_soil_sand_60cm_pct|ph|DEM_elevation_m|worldcover_landcover_class|NDVI|hansen_forest_gain_pct,True
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_microbeatlas,otu_counts_long,field_observational,,3,sample_id|otu_id|count,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_microbeatlas,otu_metadata,taxonomy,field_observational,30,otu_id|Tax|SpeciesRep|SeqCount|GoldCount|GenomeCount|TypeStrains|Strains|Genomes|GoldSeqs|Aliases|GoldHit|GoldID|GoldScore|RepSpecies|Taxaname|OrigTax|RepSequenceID|RepSequence|Genus|Kingdom|Phylum|Class|Order|Family|Species|n_cells_by_counts|mean_counts|pct_dropout_by_counts|total_counts,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_microbeatlas,sample_metadata,field_observational,environment,23,sample_id|Environments|Technology|Project|SRS_Join_Key|Sample|LatitudeParsed|LongitudeParsed|LatField|LatFieldValue|LonField|LonFieldValue|SampleID|altitude_m|depth_m|ph|temp_C|Sample_ID_Matched|Env_Level_1|Env_Level_2|n_genes_by_counts|total_counts|n_counts,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_mobilome,genomad_summary,mobile_phage,genome,16,genome_id|element_type|seq_name|length|topology|n_genes|genetic_code|plasmid_score|fdr|n_hallmarks|marker_enrichment|conjugation_genes|amr_genes|coordinates|virus_score|taxonomy,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_mobilome,host_mag_sequences,mobile_phage,genome,2,genome_id|host_sequence,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_mobilome,mge_sequences,mobile_phage,,3,seq_name|sequence|length,False
arkinlab,DOE/Academic,LBNL Arkin Lab,DOE-BER + multi,arkinlab_mobilome,t4ss_structural_validation,mobile_phage,genome,4,genome_id|system|status|num_genes,False
enigma,DOE-BER,ENIGMA SFA,DOE-BER,enigma_coral,ddt_brick0000010,field_observational,,0,,False
