tenant_a,topic_a,tenant_b,topic_b,shared_keys,keys
kbase,pangenome,arkinlab,taxonomy,2,"genus, species"
nmdc,multiomics,kescience,structural,2,"ncbi_taxon_id, pfam"
kbase,pangenome,protect,taxonomy,2,"genus, species"
kbase,pangenome,nmdc,taxonomy,2,"genus, species"
nmdc,multiomics,protect,integration,2,"feature_id, kegg_ko"
kbase,pangenome,kescience,structural,2,"gene_cluster_id, pfam"
refdata,taxonomy,arkinlab,taxonomy,2,"genus, species"
kbase,pathway,refdata,taxonomy,2,"gene_cluster_id, genome_id"
protect,genome,refdata,genome,2,"genome_id, sample_id"
protect,genome,refdata,taxonomy,2,"genome_id, ncbi_taxon_id"
phagefoundry,mobile_phage,nmdc,fitness_phenotype,2,"ncbi_taxon_id, sample_id"
phagefoundry,mobile_phage,nmdc,taxonomy,2,"ncbi_taxon_id, sample_id"
protect,genome,nmdc,multiomics,2,"feature_id, ncbi_taxon_id"
phagefoundry,mobile_phage,kescience,structural,2,"ncbi_taxon_id, protein_id"
phagefoundry,mobile_phage,protect,integration,2,"feature_id, sample_id"
phagefoundry,mobile_phage,nmdc,integration,2,"feature_id, sample_id"
phagefoundry,mobile_phage,kbase,multiomics,2,"feature_id, protein_id"
protect,annotation,nmdc,integration,2,"feature_id, sample_id"
enigma,annotation,nmdc,multiomics,2,"cog, ec_number"
protect,genome,refdata,structural,2,"feature_id, ncbi_taxon_id"
protect,genome,nmdc,integration,2,"feature_id, sample_id"
enigma,annotation,nmdc,annotation,2,"cog, ec_number"
kescience,fitness_phenotype,nmdc,taxonomy,2,"genus, species"
phagefoundry,mobile_phage,refdata,taxonomy,2,"genome_id, ncbi_taxon_id"
phagefoundry,mobile_phage,refdata,genome,2,"genome_id, sample_id"
protect,annotation,refdata,structural,2,"ec_number, feature_id"
kescience,annotation,protect,annotation,2,"cazy, cog"
kescience,annotation,enigma,annotation,2,"cazy, cog"
protect,genome,enigma,taxonomy,2,"ncbi_taxon_id, sample_id"
kescience,pathway,nmdc,pathway,2,"kegg_ko, kegg_pathway"
kescience,pathway,protect,integration,2,"feature_id, kegg_ko"
kescience,structural,refdata,literature,2,"ncbi_taxon_id, pmid_doi"
kescience,pathway,refdata,structural,2,"ec_number, feature_id"
kescience,fitness_phenotype,nmdc,multiomics,2,"compound_id, ec_number"
protect,genome,nmdc,taxonomy,2,"ncbi_taxon_id, sample_id"
kescience,fitness_phenotype,protect,annotation,2,"ec_number, species"
protect,genome,nmdc,fitness_phenotype,2,"ncbi_taxon_id, sample_id"
kescience,pathway,nmdc,biochemistry,2,"ec_number, kegg_pathway"
nmdc,integration,protect,integration,2,"feature_id, sample_id"
kbase,pangenome,kescience,genome,2,"feature_id, genome_id"
enigma,multiomics,protect,genome,2,"feature_id, genome_id"
nmdc,fitness_phenotype,protect,taxonomy,2,"ncbi_taxon_id, sample_id"
enigma,multiomics,refdata,structural,2,"feature_id, protein_id"
enigma,genome,nmdc,fitness_phenotype,2,"ncbi_taxon_id, sample_id"
enigma,genome,protect,taxonomy,2,"ncbi_taxon_id, sample_id"
arkinlab,genome,protect,genome,2,"feature_id, genome_id"
enigma,multiomics,kescience,genome,2,"feature_id, genome_id"
enigma,taxonomy,nmdc,fitness_phenotype,2,"ncbi_taxon_id, sample_id"
arkinlab,genome,kescience,genome,2,"feature_id, genome_id"
nmdc,taxonomy,msyscolo,taxonomy,2,"genus, species"
arkinlab,genome,enigma,multiomics,2,"feature_id, genome_id"
enigma,multiomics,kbase,multiomics,2,"feature_id, protein_id"
protect,taxonomy,msyscolo,taxonomy,2,"genus, species"
protect,taxonomy,arkinlab,taxonomy,2,"genus, species"
arkinlab,genome,kbase,pathway,2,"ec_number, genome_id"
nmdc,taxonomy,arkinlab,taxonomy,2,"genus, species"
enigma,genome,nmdc,taxonomy,2,"ncbi_taxon_id, sample_id"
kbase,pangenome,enigma,annotation,2,"cog, ec_number"
enigma,genome,refdata,genome,2,"genome_id, sample_id"
enigma,multiomics,nmdc,biochemistry,2,"kegg_pathway, reaction_id"
enigma,taxonomy,nmdc,taxonomy,2,"ncbi_taxon_id, sample_id"
arkinlab,taxonomy,msyscolo,taxonomy,2,"genus, species"
enigma,genome,refdata,taxonomy,2,"genome_id, ncbi_taxon_id"
kbase,pangenome,protect,genome,2,"feature_id, genome_id"
arkinlab,genome,nmdc,multiomics,2,"ec_number, feature_id"
kescience,pathway,protect,genome,2,"feature_id, genome_id"
kbase,pangenome,kescience,annotation,2,"cog, genome_id"
arkinlab,genome,protect,annotation,2,"ec_number, feature_id"
arkinlab,genome,refdata,structural,2,"ec_number, feature_id"
enigma,multiomics,kbase,pathway,2,"genome_id, kegg_pathway"
enigma,multiomics,kbase,pangenome,2,"feature_id, genome_id"
refdata,structural,planetmicrobe,annotation,1,pfam
kbase,genome,protect,integration,1,feature_id
refdata,structural,planetmicrobe,taxonomy,1,ncbi_taxon_id
refdata,structural,kbase,reference_protein,1,gene_cluster_id
refdata,structural,kbase,taxonomy,1,ncbi_taxon_id
nmdc,field_observational,planetmicrobe,field_observational,1,sample_id
refdata,structural,protect,multiomics,1,protein_id
refdata,structural,protect,taxonomy,1,ncbi_taxon_id
refdata,structural,nmdc,fitness_phenotype,1,ncbi_taxon_id
refdata,structural,nmdc,taxonomy,1,ncbi_taxon_id
nmdc,field_observational,protect,environment,1,sample_id
refdata,structural,enigma,taxonomy,1,ncbi_taxon_id
nmdc,field_observational,protect,taxonomy,1,sample_id
kbase,genome,nmdc,integration,1,feature_id
nmdc,integration,protect,environment,1,sample_id
netl,taxonomy,nmdc,fitness_phenotype,1,sample_id
nmdc,integration,planetmicrobe,field_observational,1,sample_id
nmdc,integration,netl,taxonomy,1,sample_id
nmdc,integration,ese,environment,1,sample_id
nmdc,integration,ese,integration,1,sample_id
netl,taxonomy,planetmicrobe,field_observational,1,sample_id
netl,taxonomy,protect,taxonomy,1,sample_id
netl,taxonomy,msyscolo,taxonomy,1,gtdb_taxonomy
nmdc,taxonomy,planetmicrobe,field_observational,1,sample_id
nmdc,integration,enigma,taxonomy,1,sample_id
refdata,structural,netl,literature,1,pmid_doi
nmdc,taxonomy,protect,environment,1,sample_id
nmdc,integration,netl,literature,1,sample_id
nmdc,integration,kescience,literature,1,compound_id
kbase,multiomics,refdata,multiomics,1,protein_id
kbase,multiomics,protect,multiomics,1,protein_id
kbase,multiomics,kescience,structural,1,protein_id
kbase,multiomics,kescience,literature,1,protein_id
