tenant_a,topic_a,tenant_b,topic_b,shared_keys,keys
arkinlab,annotation,nmdc,multiomics,1,ec_number
arkinlab,annotation,nmdc,biochemistry,1,ec_number
arkinlab,annotation,nmdc,annotation,1,ec_number
kescience,fitness_phenotype,netl,literature,1,lat_lon
phagefoundry,mobile_phage,kescience,fitness_phenotype,1,ec_number
phagefoundry,mobile_phage,arkinlab,annotation,1,ec_number
msyscolo,genome,refdata,taxonomy,1,genome_id
msyscolo,genome,refdata,genome,1,genome_id
msyscolo,genome,protect,genome,1,genome_id
msyscolo,genome,phagefoundry,mobile_phage,1,genome_id
kescience,annotation,nmdc,multiomics,1,cog
kescience,annotation,nmdc,annotation,1,cog
kescience,annotation,refdata,taxonomy,1,genome_id
kescience,annotation,refdata,genome,1,genome_id
kescience,annotation,protect,genome,1,genome_id
kescience,annotation,msyscolo,genome,1,genome_id
protect,genome,planetmicrobe,taxonomy,1,ncbi_taxon_id
kescience,taxonomy,refdata,genome,1,genome_id
kescience,taxonomy,protect,genome,1,genome_id
kescience,taxonomy,phagefoundry,mobile_phage,1,genome_id
kescience,taxonomy,msyscolo,genome,1,genome_id
kescience,pathway,protect,multiomics,1,kegg_pathway
kescience,pathway,protect,taxonomy,1,eggnog
kescience,pathway,enigma,taxonomy,1,eggnog
kescience,pathway,nmdc,integration,1,feature_id
kescience,pathway,kbase,multiomics,1,feature_id
kescience,pathway,kbase,genome,1,feature_id
kescience,pathway,arkinlab,annotation,1,ec_number
kescience,pathway,refdata,taxonomy,1,genome_id
kescience,taxonomy,refdata,taxonomy,1,genome_id
protect,genome,kbase,taxonomy,1,ncbi_taxon_id
protect,genome,planetmicrobe,field_observational,1,sample_id
protect,genome,nmdc,field_observational,1,sample_id
protect,genome,netl,taxonomy,1,sample_id
protect,genome,ese,environment,1,sample_id
protect,genome,ese,integration,1,sample_id
protect,genome,arkinlab,field_observational,1,sample_id
protect,genome,refdata,literature,1,ncbi_taxon_id
protect,genome,netl,literature,1,sample_id
protect,genome,kescience,structural,1,ncbi_taxon_id
protect,genome,kbase,multiomics,1,feature_id
protect,genome,kbase,genome,1,feature_id
phagefoundry,mobile_phage,kbase,genome,1,feature_id
phagefoundry,mobile_phage,planetmicrobe,taxonomy,1,ncbi_taxon_id
phagefoundry,mobile_phage,kbase,taxonomy,1,ncbi_taxon_id
phagefoundry,mobile_phage,refdata,multiomics,1,protein_id
phagefoundry,mobile_phage,protect,environment,1,sample_id
phagefoundry,mobile_phage,planetmicrobe,field_observational,1,sample_id
phagefoundry,mobile_phage,nmdc,field_observational,1,sample_id
phagefoundry,mobile_phage,netl,taxonomy,1,sample_id
phagefoundry,mobile_phage,ese,environment,1,sample_id
phagefoundry,mobile_phage,ese,integration,1,sample_id
phagefoundry,mobile_phage,arkinlab,field_observational,1,sample_id
phagefoundry,mobile_phage,refdata,literature,1,ncbi_taxon_id
phagefoundry,mobile_phage,netl,literature,1,sample_id
phagefoundry,mobile_phage,kescience,literature,1,protein_id
phagefoundry,mobile_phage,nmdc,pathway,1,kegg_pathway
