orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS00335	A4249_RS00335		ATP-binding protein	-0.314	0.308	-0.445	-0.160
Brev2	A4249_RS00340	A4249_RS00340		hypothetical protein	-1.458	-0.309	-1.922	-0.447
Brev2	A4249_RS00355	A4249_RS00355		Txe/YoeB family addiction module toxin	1.701	-0.047	-0.735	-0.035
Brev2	A4249_RS00360	A4249_RS00360		type II toxin-antitoxin system prevent-host-death family antitoxin	-1.752	-1.690	0.557	-0.843
Brev2	A4249_RS00365	A4249_RS00365		hypothetical protein	-1.211	-1.115	-2.396	-0.556
Brev2	A4249_RS00370	A4249_RS00370		acyl-CoA dehydrogenase family protein	0.031	-0.827	-0.058	-1.338
Brev2	A4249_RS00375	A4249_RS00375		acyl-CoA dehydrogenase C-terminal domain-containing protein	1.752	-35.086	1.630	-32.422
Brev2	A4249_RS00380	A4249_RS00380		MerR family DNA-binding transcriptional regulator	-2.724	-4.058	-2.134	-5.483
Brev2	A4249_RS00395	A4249_RS00395		DUF2975 domain-containing protein	-0.235	0.507	0.299	-0.148
Brev2	A4249_RS00400	A4249_RS00400		YdiU family protein	-0.327	-0.233	-1.450	-1.044
Brev2	A4249_RS00410	A4249_RS00410		OmpA family protein	-1.087	-1.361	-0.502	-1.789
Brev2	A4249_RS00415	A4249_RS00415		NAD-dependent deacylase	0.437	0.593	-0.316	0.627
Brev2	A4249_RS00420	A4249_RS00420		S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	0.471	0.174	2.381	-0.455
Brev2	A4249_RS00425	A4249_RS00425		VOC family protein	2.737	0.216	2.210	1.053
Brev2	A4249_RS00430	A4249_RS00430		glutathione S-transferase family protein	-0.169	0.237	-0.058	0.679
Brev2	A4249_RS00435	A4249_RS00435		S-formylglutathione hydrolase	1.587	0.918	1.118	0.936
Brev2	A4249_RS00440	A4249_RS00440		hypothetical protein	-0.715	-0.078	-1.018	0.319
Brev2	A4249_RS00450	A4249_RS00450		MBL fold metallo-hydrolase	0.610	0.932	-0.632	0.816
Brev2	A4249_RS00470	A4249_RS00470		bifunctional diguanylate cyclase/phosphodiesterase	-0.272	-1.295	-0.607	-0.082
Brev2	A4249_RS00475	A4249_RS00475		NADH:flavin oxidoreductase/NADH oxidase	-1.648	-0.644	0.033	0.023
Brev2	A4249_RS00480	A4249_RS00480		hypothetical protein	1.396	0.121	0.129	0.508
Brev2	A4249_RS00485	A4249_RS00485		thioesterase family protein	0.315	2.867	0.850	0.741
Brev2	A4249_RS00495	A4249_RS00495		aldo/keto reductase	0.153	0.699	0.195	0.575
Brev2	A4249_RS00500	A4249_RS00500		BolA family transcriptional regulator	0.737	1.542	-2.532	1.058
Brev2	A4249_RS00505	A4249_RS00505		GNAT family N-acetyltransferase	1.705	1.663	1.398	0.840
Brev2	A4249_RS00510	A4249_RS00510		DNA repair protein RadC	-0.819	-0.934	-0.283	0.031
Brev2	A4249_RS00515	A4249_RS00515		hypothetical protein	1.200	1.273	2.070	0.853
Brev2	A4249_RS00525	A4249_RS00525		molybdopterin-binding protein	-0.371	-0.545	-1.435	-0.163
Brev2	A4249_RS00530	A4249_RS00530		outer membrane protein transport protein	-2.450	1.320	-2.562	0.585
Brev2	A4249_RS00545	A4249_RS00545		hypothetical protein	0.186	0.579	0.338	1.040
Brev2	A4249_RS00550	A4249_RS00550		hypothetical protein	-0.592	-0.372	-1.598	0.353
Brev2	A4249_RS00555	A4249_RS00555		excinuclease ABC subunit UvrB	-3.552	-3.924	-2.736	-3.438
Brev2	A4249_RS00560	A4249_RS00560		class I SAM-dependent DNA methyltransferase	0.519	0.387	0.083	0.642
Brev2	A4249_RS00565	A4249_RS00565		helix-turn-helix transcriptional regulator	-0.828	-0.130	-1.360	-1.224
Brev2	A4249_RS00570	A4249_RS00570		hypothetical protein	0.106	0.439	0.661	0.750
Brev2	A4249_RS00575	A4249_RS00575		hypothetical protein	-2.382	-1.158	-2.008	-1.635
Brev2	A4249_RS00580	A4249_RS00580		helix-turn-helix transcriptional regulator	-1.387	-3.235	-0.977	-3.507
Brev2	A4249_RS00585	A4249_RS00585		Ada metal-binding domain-containing protein	-0.602	-0.915	0.789	-1.398
Brev2	A4249_RS00590	A4249_RS00590		methylated-DNA--[protein]-cysteine S-methyltransferase	0.232	-0.217	-0.556	-0.018
Brev2	A4249_RS00595	A4249_RS00595		tetratricopeptide repeat protein	-0.355	-0.415	1.211	0.109
Brev2	A4249_RS00600	A4249_RS00600		LamG domain-containing protein	0.205	0.172	-2.016	0.843
Brev2	A4249_RS00605	A4249_RS00605		host attachment protein	-0.976	-1.124	-0.103	-1.729
Brev2	A4249_RS00610	A4249_RS00610		methyl-accepting chemotaxis protein	-0.022	0.594	-0.378	-0.519
Brev2	A4249_RS00615	A4249_RS00615		threonine ammonia-lyase, biosynthetic	-10.044	-13.359	-10.442	-12.171
Brev2	A4249_RS00620	A4249_RS00620		quinolinate synthase NadA	0.005	0.817	1.414	0.009
Brev2	A4249_RS00625	A4249_RS00625		peptidase M50	0.613	0.295	0.658	0.185
Brev2	A4249_RS00630	A4249_RS00630		L-aspartate oxidase	-1.443	0.721	-0.170	0.267
Brev2	A4249_RS00635	A4249_RS00635		carboxylating nicotinate-nucleotide diphosphorylase	-0.521	-0.227	0.275	-0.147
Brev2	A4249_RS00640	A4249_RS00640		cell wall hydrolase	1.516	1.258	1.365	-1.402
Brev2	A4249_RS00655	A4249_RS00655		PAS domain S-box protein	0.146	-0.561	4.723	0.619
Brev2	A4249_RS00660	A4249_RS00660		cell wall hydrolase	-0.198	-0.215	-0.584	-1.295
Brev2	A4249_RS00665	A4249_RS00665		PAS domain-containing protein	-0.861	0.213	-2.003	-0.667
Brev2	A4249_RS00675	A4249_RS00675		aldo/keto reductase	-0.172	0.638	0.007	1.352
Brev2	A4249_RS00685	A4249_RS00685		hypothetical protein	0.245	1.371	-0.113	-2.040
Brev2	A4249_RS00700	A4249_RS00700		hypothetical protein	0.015	1.139	0.347	-0.405
Brev2	A4249_RS00705	A4249_RS00705		glutathione S-transferase	-0.009	0.546	1.689	0.621
Brev2	A4249_RS00710	A4249_RS00710		hypothetical protein	-2.416	-1.339	-2.249	-2.593
Brev2	A4249_RS00715	A4249_RS00715		cation:dicarboxylase symporter family transporter	6.580	1.647	17.082	1.991
