orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS00335	A4249_RS00335		ATP-binding protein	-0.043	0.049	-0.075	-0.023
Brev2	A4249_RS00340	A4249_RS00340		hypothetical protein	-0.329	-0.066	-0.386	-0.098
Brev2	A4249_RS00355	A4249_RS00355		Txe/YoeB family addiction module toxin	0.395	-0.013	-0.203	-0.010
Brev2	A4249_RS00360	A4249_RS00360		type II toxin-antitoxin system prevent-host-death family antitoxin	-0.572	-0.484	0.183	-0.340
Brev2	A4249_RS00365	A4249_RS00365		hypothetical protein	-0.225	-0.214	-0.434	-0.108
Brev2	A4249_RS00370	A4249_RS00370		acyl-CoA dehydrogenase family protein	0.004	-0.111	-0.008	-0.187
Brev2	A4249_RS00375	A4249_RS00375		acyl-CoA dehydrogenase C-terminal domain-containing protein	0.186	-5.067	0.181	-5.323
Brev2	A4249_RS00380	A4249_RS00380		MerR family DNA-binding transcriptional regulator	-0.500	-1.383	-0.600	-1.906
Brev2	A4249_RS00395	A4249_RS00395		DUF2975 domain-containing protein	-0.083	0.244	0.119	-0.056
Brev2	A4249_RS00400	A4249_RS00400		YdiU family protein	-0.043	-0.031	-0.195	-0.150
Brev2	A4249_RS00410	A4249_RS00410		OmpA family protein	-0.219	-0.261	-0.102	-0.304
Brev2	A4249_RS00415	A4249_RS00415		NAD-dependent deacylase	0.062	0.087	-0.051	0.104
Brev2	A4249_RS00420	A4249_RS00420		S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	0.062	0.023	0.326	-0.061
Brev2	A4249_RS00425	A4249_RS00425		VOC family protein	0.616	0.077	0.456	0.385
Brev2	A4249_RS00430	A4249_RS00430		glutathione S-transferase family protein	-0.028	0.040	-0.010	0.132
Brev2	A4249_RS00435	A4249_RS00435		S-formylglutathione hydrolase	0.218	0.126	0.148	0.131
Brev2	A4249_RS00440	A4249_RS00440		hypothetical protein	-0.552	-0.029	-0.837	0.195
Brev2	A4249_RS00450	A4249_RS00450		MBL fold metallo-hydrolase	0.093	0.144	-0.096	0.124
Brev2	A4249_RS00470	A4249_RS00470		bifunctional diguanylate cyclase/phosphodiesterase	-0.040	-0.190	-0.091	-0.012
Brev2	A4249_RS00475	A4249_RS00475		NADH:flavin oxidoreductase/NADH oxidase	-0.251	-0.091	0.006	0.003
Brev2	A4249_RS00480	A4249_RS00480		hypothetical protein	0.232	0.020	0.027	0.088
Brev2	A4249_RS00485	A4249_RS00485		thioesterase family protein	0.064	0.502	0.190	0.175
Brev2	A4249_RS00495	A4249_RS00495		aldo/keto reductase	0.020	0.097	0.029	0.077
Brev2	A4249_RS00500	A4249_RS00500		BolA family transcriptional regulator	0.178	0.364	-0.667	0.284
Brev2	A4249_RS00505	A4249_RS00505		GNAT family N-acetyltransferase	0.496	0.427	0.414	0.341
Brev2	A4249_RS00510	A4249_RS00510		DNA repair protein RadC	-0.149	-0.182	-0.054	0.006
Brev2	A4249_RS00515	A4249_RS00515		hypothetical protein	0.192	0.204	0.364	0.143
Brev2	A4249_RS00525	A4249_RS00525		molybdopterin-binding protein	-0.072	-0.108	-0.355	-0.033
Brev2	A4249_RS00530	A4249_RS00530		outer membrane protein transport protein	-0.351	0.185	-0.389	0.082
Brev2	A4249_RS00545	A4249_RS00545		hypothetical protein	0.059	0.169	0.136	0.284
Brev2	A4249_RS00550	A4249_RS00550		hypothetical protein	-0.082	-0.059	-0.257	0.053
Brev2	A4249_RS00555	A4249_RS00555		excinuclease ABC subunit UvrB	-0.427	-0.475	-0.345	-0.421
