pathway,col,n,lambda,beta,SE,p
Cobalamin,cobalamin_z,1574,0.7452,-0.010617019403010753,0.0039804902593619015,0.007725701310185462
Fe–S cluster,fes_assembly_z,1574,0.7428,-0.0011065081023535121,0.0036083618836836727,0.7591495992990254
Heme,heme_z,1574,0.7433,-0.004436710794354075,0.0046055373640546795,0.33552382783634105
Molybdopterin,molybdopterin_z,1574,0.7416,-0.003429761182047499,0.003967016559849589,0.3874071561183665
Siroheme,siroheme_z,1574,0.7432,-0.0036295134185494516,0.004171419567186321,0.3843837561323382
