ko_id,gene_name,subcategory,D,lambda,is_resistance,is_double_signal,n_ncbi_total,n_ncbi_plasmid,plasmid_frac
K02626,pdaD,Unknown,-0.0918743792029899,0.6248466095395938,False,False,,,
K02826,qoxA,Unknown,-0.3714484970954664,0.9849380104101708,False,False,,,
K02827,qoxB,Unknown,-0.3973799084792742,0.941150246826185,False,False,,,
K03101,lspA,Unknown,0.4494784129549179,0.510750767913368,False,False,,,
K03197,virB2,Unknown,0.237694565382412,0.3127005518449267,False,False,,,
K03199,virB4,Unknown,0.2631094409759143,0.3604752602336547,False,False,,,
K03297,emrE,Resistance/Detoxification,0.1593936643486114,0.5161859521140738,True,False,344075.0,460.0,0.001336917823149
K03306,TC.PIT,Unknown,0.0490020145995619,0.4235369537018262,False,False,,,
K03325,ACR3,Resistance/Detoxification,0.339733727498808,0.5419485256329538,True,False,67357.0,26.0,0.0003860029395608
K03446,emrB,Resistance/Detoxification,0.0224186110024233,0.6930795793230609,True,False,1337450.0,97.0,7.25260757411492e-05
K03453,TC.BASS,Unknown,0.19184735861278,0.4859029121321077,False,False,,,
K03501,gidB,Unknown,0.3238810299171052,0.4578819616867641,False,False,,,
K03523,bioY,Transport/Homeostasis,-0.0383914921879719,0.3913104502221118,False,False,,,
K03543,emrA,Resistance/Detoxification,0.0214388722777696,0.5255323907886912,True,False,1296082.0,80.0,6.172448965420398e-05
K03568,tldD,Unknown,-0.094979562149143,0.6505415134519655,False,False,,,
K03577,acrR,Sensing/Regulation,-0.2249504040732616,0.644982214252815,False,False,,,
K03611,dsbB,Unknown,-0.1826557879857757,0.5870980844942508,False,False,,,
K03635,MOCS2B,Cofactor Biosynthesis,-0.0197190761501119,0.5305892439358237,False,False,,,
K03637,moaC,Unknown,0.1012992551604774,0.4416726524138724,False,False,,,
K03655,recG,Unknown,0.1905163047104019,0.5033356760951497,False,False,,,
K03673,dsbA,Unknown,-0.1640021129964883,0.6413594922712997,False,False,,,
K03701,uvrA,Unknown,0.2155706638618574,0.5469154747276513,False,False,,,
K03712,marR,Resistance/Detoxification,-0.1148435016553082,0.1401017028549039,True,False,1272919.0,135.0,0.0001060554520751
K03737,por,Unknown,-0.0272547111754948,0.5284138531898231,False,False,,,
K03741,arsC,Resistance/Detoxification,0.3305092861920083,0.5678439827444475,True,False,2196004.0,8325.0,0.0037909767013174
K03760,eptA,Unknown,0.0198441675352147,0.2391202276283753,False,False,,,
K03781,katE,Unknown,0.1558706872316831,0.5106238795839142,False,False,,,
K03802,cphA,Unknown,0.017261926146982,0.3854170734373203,False,False,,,
K03814,mtgA,Unknown,-0.1165742504414166,0.5478824364692876,False,False,,,
K03820,lnt,Unknown,-0.098207275820099,0.4149389906610167,False,False,,,
K03837,sdaC,Unknown,-0.2498005341324427,0.0001059596688143,False,False,,,
K03893,arsB,Resistance/Detoxification,0.0760177795403512,0.6387928613856244,True,False,1323478.0,6228.0,0.0047057827935182
K03894,iucA,Unknown,0.1403507258590062,0.8425275084676371,False,False,,,
K03895,iucC,Transport/Homeostasis,0.2053873726125384,0.7231830134027047,False,False,,,
K03897,iucD,Unknown,0.3540835172019286,0.2369457486129448,False,True,266957.0,4786.0,0.0179279809107833
K03937,NDUFS4,Metal-dependent Metabolism,-0.3240677377173403,0.4706177357639979,False,False,,,
K03939,NDUFS6,Metal-dependent Metabolism,-0.1195187220387837,0.6325860487116701,False,False,,,
K04047,dps,Unknown,0.1136787036819831,0.5415248631218398,False,False,,,
K04080,ibpA,Transport/Homeostasis,-0.23390969278032,0.617782294526991,False,False,,,
K04081,ibpB,Transport/Homeostasis,-0.5769400961749647,0.0001049014244908,False,False,,,
K04564,SOD2,Metal-dependent Metabolism,0.0498723995153049,0.6809726461698998,False,False,,,
K04773,sppA,Unknown,-0.0891786094407293,0.6694469638454599,False,False,,,
K04774,sohB,Unknown,-0.3192653849940358,0.5203696045802791,False,False,,,
K05368,fre,Unknown,-0.4391093476548626,0.9379865631585788,False,False,,,
K05539,dusA,Unknown,-0.2147861149229616,0.4839579362306489,False,False,,,
K05540,dusB,Unknown,0.1764667757661788,0.5416252547006304,False,False,,,
K05802,mscK,Transport/Homeostasis,-0.1556543329166348,0.4265257308913912,False,False,,,
K05804,rob,Sensing/Regulation,-0.5099104285556966,0.2774994624228533,False,False,,,
K05810,LACC1,Unknown,5.600140388799379e-05,0.4798021619240378,False,False,,,
K05836,hutC,Sensing/Regulation,-0.0955433358770761,0.5505290168106605,False,False,,,
K05908,doxDA,Metal-dependent Metabolism,0.2539129834282109,0.0001059596688143,False,True,11.0,0.0,0.0
K06042,cobH-cbiC,Transport/Homeostasis,0.0694989179717053,0.5698196134757932,False,False,,,
K06168,CDK5RAP1,Unknown,0.161492980769258,0.4580018283525746,False,False,,,
K06179,rluC,Unknown,-0.2507632011602556,0.5513667630776469,False,False,,,
K06201,cutC,Transport/Homeostasis,0.0440335326343589,0.4739694010470983,False,False,,,
K06941,rlmN,Unknown,0.1105750702330187,0.5646158162240252,False,False,,,
K07084,yuiF,Unknown,-0.1928660254895235,0.325509230247851,False,False,,,
K07165,fecR,Unknown,0.0632295464770616,0.672325251218534,False,False,,,
K07229,yqjH,Unknown,0.0082316150108333,0.4976408326750631,False,False,,,
K07233,pcoB,Resistance/Detoxification,0.0677723009629557,0.6870217318107015,True,False,196887.0,6032.0,0.0306368627689994
K07240,chrA,Resistance/Detoxification,0.1713873784304337,0.5772331476755415,True,False,501806.0,5724.0,0.0114067986433003
K07241,hoxN,Transport/Homeostasis,0.1305675338043004,0.3413308758187686,False,False,,,
K07243,FTR,Transport/Homeostasis,0.1526269210282279,0.3169310018580765,False,False,,,
K07263,pqqL,Transport/Homeostasis,-0.0956995304196555,0.6352343615662023,False,False,,,
K07277,SAM50,Unknown,-0.163088081171513,0.7049821893637634,False,False,,,
K07338,K07338,Unknown,-0.1172134466146622,0.8176384610681908,False,False,,,
K07552,bcr,Resistance/Detoxification,-0.0224124303550788,0.4517028265069407,True,False,464936.0,148.0,0.0003183233821429
K07643,basS,Sensing/Regulation,-0.5016958018923035,0.0001059596688143,False,False,,,
K07644,cusS,Sensing/Regulation,0.0083402600439183,0.5829791855461725,False,False,,,
K07665,cusR,Resistance/Detoxification,-0.0154155637693482,0.4088795708368367,True,False,623208.0,314.0,0.0005038446233039
K07690,evgA,Sensing/Regulation,-0.3150054676251039,0.0001059596688143,False,False,,,
K07722,nikR,Sensing/Regulation,0.1276861714113713,0.6470273544161742,False,False,,,
K07771,basR,Sensing/Regulation,-0.5270465821004886,0.0001059596688143,False,False,,,
K07785,nrsD,Resistance/Detoxification,0.8212616730726315,0.0888993673574643,True,True,16.0,2.0,0.125
K07787,cusA,Resistance/Detoxification,0.249871715033394,0.7903100387029138,True,False,479135.0,251.0,0.0005238607073163
K07789,mdtC,Resistance/Detoxification,-0.1089589979223298,0.5137463807829915,True,False,1249189.0,205.0,0.0001641064722792
K07796,cusC,Resistance/Detoxification,0.2581630650281558,0.8464795493793671,True,False,472427.0,214.0,0.0004529800371274
K07799,mdtA,Resistance/Detoxification,-0.1115353111295437,0.6541274386101386,True,False,1014740.0,85.0,8.376529948558251e-05
K07807,K07807,Unknown,0.4257515678313338,0.9363595865206678,False,False,,,
K08151,tetA,Resistance/Detoxification,0.0860237131200403,0.7165888679170402,True,False,70534.0,954.0,0.0135253920095273
