ko_id,gene_name,n_bvbrc_total,n_bvbrc_plasmid,bvbrc_plasmid_frac,subcategory,D,lambda,is_resistance,is_double_signal
K00520,merA,64601,2929,0.04533985542019473,Resistance/Detoxification,0.6462936544464741,0.527460399489741,True,False
K00537,arsC,489855,2703,0.00551795939614784,Resistance/Detoxification,-0.0357573340702886,0.3820554324895516,True,False
K01551,arsA,77555,2069,0.02667784153181613,Resistance/Detoxification,0.1260919345619269,0.7322121892903733,True,False
K01799,nicE,29,4,0.13793103448275862,Resistance/Detoxification,0.1389728405580302,0.5183890662101167,True,False
K03297,emrE,69961,66,0.000943382741813296,Resistance/Detoxification,0.1593936643486114,0.5161859521140738,True,False
K03325,ACR3,15756,10,0.0006346788525006347,Resistance/Detoxification,0.339733727498808,0.5419485256329538,True,False
K03446,emrB,220483,76,0.00034469777715288706,Resistance/Detoxification,0.0224186110024233,0.6930795793230609,True,False
K03543,emrA,153042,43,0.0002809686229923812,Resistance/Detoxification,0.0214388722777696,0.5255323907886912,True,False
K03712,marR,174903,77,0.0004402440209716243,Resistance/Detoxification,-0.1148435016553082,0.1401017028549039,True,False
K03741,arsC,489855,2740,0.005593491951699993,Resistance/Detoxification,0.3305092861920083,0.5678439827444475,True,False
K03893,arsB,281935,1885,0.0066859382481777715,Resistance/Detoxification,0.0760177795403512,0.6387928613856244,True,False
K03897,iucD,36014,371,0.010301549397456545,Unknown,0.3540835172019286,0.2369457486129448,False,True
K05908,doxDA,6,0,0.0,Metal-dependent Metabolism,0.2539129834282109,0.0001059596688143,False,True
K07233,pcoB,25090,1708,0.06807493025109605,Resistance/Detoxification,0.0677723009629557,0.6870217318107015,True,False
K07240,chrA,135127,1653,0.012232936422772652,Resistance/Detoxification,0.1713873784304337,0.5772331476755415,True,False
K07552,bcr,114175,31,0.00027151302824611343,Resistance/Detoxification,-0.0224124303550788,0.4517028265069407,True,False
K07665,cusR,111397,126,0.0011310897061859834,Resistance/Detoxification,-0.0154155637693482,0.4088795708368367,True,False
K07785,nrsD,11,2,0.18181818181818182,Resistance/Detoxification,0.8212616730726315,0.0888993673574643,True,True
K07787,cusA,91537,97,0.0010596807848192533,Resistance/Detoxification,0.249871715033394,0.7903100387029138,True,False
K07789,mdtC,160947,49,0.00030444804811521805,Resistance/Detoxification,-0.1089589979223298,0.5137463807829915,True,False
K07796,cusC,86943,44,0.0005060786952371094,Resistance/Detoxification,0.2581630650281558,0.8464795493793671,True,False
K07799,mdtA,105779,60,0.0005672203367398066,Resistance/Detoxification,-0.1115353111295437,0.6541274386101386,True,False
K08151,tetA,81200,3339,0.04112068965517241,Resistance/Detoxification,0.0860237131200403,0.7165888679170402,True,False
K08160,mdfA,92304,11,0.00011917143352400763,Resistance/Detoxification,-0.3847327888942652,0.779887391946795,True,False
K08161,mdtG,131156,29,0.00022111073835737595,Resistance/Detoxification,-0.1281418934523305,0.682988269770346,True,False
K08167,smvA,25406,7,0.0002755254664252539,Resistance/Detoxification,-0.0410637766983518,0.8297695984496107,True,False
K08170,norB,42365,116,0.002738109288327629,Resistance/Detoxification,0.2388247547189204,0.0332455178537299,True,True
K08355,aoxA,27,0,0.0,Resistance/Detoxification,0.4234318815466451,0.8776552691142935,True,False
K08356,aoxB,24,0,0.0,Resistance/Detoxification,0.562213100734908,0.0001059596688143,True,True
K08721,oprJ,8102,43,0.00530733152308072,Resistance/Detoxification,0.0670769593809649,0.9998940403311856,True,False
K09771,TC.SMR3,0,0,,Resistance/Detoxification,0.1264053450991196,0.4911916577549345,True,False
K11741,sugE,204526,482,0.0023566685898125423,Resistance/Detoxification,0.186325589818198,0.4777012817507137,True,False
K11811,arsH,72859,1942,0.026654222539425464,Resistance/Detoxification,0.1379157977997354,0.4581856903980537,True,False
