orgId	locusId	sysName	geneName	desc	set1IT067 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set1IT070 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set2IT059 M63_quarter_strength	set2IT062 CPG	set2IT063 M63_quarter_strength	set4IT033 CPG	set4IT034 M63_quarter_strength
RalstoniaGMI1000	RS_RS00010	RS_RS00010		membrane protein insertion efficiency factor YidD	-2.078	-0.408	-1.597	-0.158	-0.522	-0.315	-0.606
RalstoniaGMI1000	RS_RS00025	RS_RS00025		hypothetical protein	0.652	0.385	-0.103	0.735	1.050	0.542	0.721
RalstoniaGMI1000	RS_RS00030	RS_RS00030		hypothetical protein	0.027	0.033	-1.380	1.082	0.403	-0.170	0.891
RalstoniaGMI1000	RS_RS00040	RS_RS00040		multidrug transporter	-1.566	-0.059	-4.368	-1.064	-4.726	-0.116	-4.416
RalstoniaGMI1000	RS_RS00045	RS_RS00045		multidrug efflux RND transporter permease subunit	-0.014	-1.054	-2.703	-0.821	-3.806	-0.610	-4.121
RalstoniaGMI1000	RS_RS00050	RS_RS00050		MexE family multidrug efflux RND transporter periplasmic adaptor subunit	-0.868	-1.203	-1.135	-1.442	-3.806	0.942	-2.109
RalstoniaGMI1000	RS_RS00055	RS_RS00055		TetR family transcriptional regulator	0.321	-1.586	-1.261	-3.449	-2.186	-2.954	-2.256
RalstoniaGMI1000	RS_RS00060	RS_RS00060		hypothetical protein	-0.742	-0.730	0.060	-0.892	-0.929	-0.199	-0.334
RalstoniaGMI1000	RS_RS00065	RS_RS00065		NAD(P)/FAD-dependent oxidoreductase	-0.611	-0.343	-0.477	1.125	1.368	-1.000	-0.815
RalstoniaGMI1000	RS_RS00070	RS_RS00070		dioxygenase	0.485	-0.596	-1.094	1.757	0.085	-0.643	0.773
RalstoniaGMI1000	RS_RS00075	RS_RS00075		3-phosphoglycerate dehydrogenase	-0.687	1.327	-0.277	-0.224	-0.758	0.406	0.854
RalstoniaGMI1000	RS_RS00080	RS_RS00080		phosphoenolpyruvate carboxykinase	-1.166	-0.218	0.029	1.239	0.725	0.957	0.812
RalstoniaGMI1000	RS_RS00085	RS_RS00085		DNA-binding response regulator	0.707	0.236	0.724	2.030	1.178	2.623	-0.297
RalstoniaGMI1000	RS_RS00095	RS_RS00095		hydroxypyruvate isomerase	-0.149	-1.557	0.715	0.618	-0.459	-0.376	-0.626
RalstoniaGMI1000	RS_RS00100	RS_RS00100		DNA-binding response regulator	-1.142	0.068	0.920	-0.495	1.441	-0.383	-0.962
RalstoniaGMI1000	RS_RS00105	RS_RS00105		sensor histidine kinase	-1.738	-1.169	-0.372	1.006	0.556	2.505	0.247
