orgId	locusId	sysName	geneName	desc	set1IT067 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set1IT070 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set2IT059 M63_quarter_strength	set2IT062 CPG	set2IT063 M63_quarter_strength	set4IT033 CPG	set4IT034 M63_quarter_strength
RalstoniaGMI1000	RS_RS00120	RS_RS00120		sel1 repeat family protein	-0.150	-0.060	-0.070	0.044	0.011	0.067	-0.124
RalstoniaGMI1000	RS_RS00125	RS_RS00125		hypothetical protein	-0.002	-0.088	0.405	0.448	0.161	0.365	0.225
RalstoniaGMI1000	RS_RS00130	RS_RS00130		methionine biosynthesis protein MetW	-0.580	-0.806	-1.333	0.104	-1.018	0.006	-1.504
RalstoniaGMI1000	RS_RS00135	RS_RS00135		homoserine O-acetyltransferase	-2.129	-2.723	-3.271	0.113	-2.945	0.078	-3.621
RalstoniaGMI1000	RS_RS00140	RS_RS00140		NAD-dependent succinate-semialdehyde dehydrogenase	-1.686	-2.333	0.215	-0.255	-0.034	-0.213	-0.004
RalstoniaGMI1000	RS_RS00145	RS_RS00145		4-aminobutyrate--2-oxoglutarate transaminase	-0.126	-0.190	-0.146	-0.085	-0.098	0.011	-0.077
RalstoniaGMI1000	RS_RS00150	RS_RS00150		PLP-dependent aminotransferase family protein	-0.004	-0.031	-0.039	0.051	-0.107	0.010	-0.148
RalstoniaGMI1000	RS_RS00155	RS_RS00155		nucleoid occlusion factor SlmA	-0.137	-0.363	-0.110	0.400	-0.132	0.255	-0.018
RalstoniaGMI1000	RS_RS00160	RS_RS00160		pyrimidine 5'-nucleotidase	-0.030	-0.344	-0.065	0.057	-0.043	-0.412	-0.274
RalstoniaGMI1000	RS_RS00170	RS_RS00170		RNA polymerase sigma factor	-0.052	-0.250	-0.059	-0.086	-0.115	0.086	-0.195
RalstoniaGMI1000	RS_RS00175	RS_RS00175		anti-sigma factor	-0.005	0.449	0.197	-0.356	-1.207	0.104	0.381
RalstoniaGMI1000	RS_RS00190	RS_RS00190		copper chaperone PCu(A)C	0.091	-0.599	0.194	0.161	-0.100	-0.393	0.044
RalstoniaGMI1000	RS_RS00195	RS_RS00195		sensor histidine kinase	-0.123	-0.013	-0.030	-0.332	-0.306	-0.190	-0.031
RalstoniaGMI1000	RS_RS00200	RS_RS00200		DNA-binding response regulator	-0.421	-0.037	-0.509	0.038	0.207	-0.404	0.060
RalstoniaGMI1000	RS_RS00205	RS_RS00205		hypothetical protein	0.073	0.064	-0.038	0.037	-0.141	-0.157	0.054
RalstoniaGMI1000	RS_RS00210	RS_RS00210		HslU--HslV peptidase ATPase subunit	-0.417	-0.363	-0.073	0.184	0.251	0.098	-0.064
RalstoniaGMI1000	RS_RS00215	RS_RS00215		HslU--HslV peptidase proteolytic subunit	-0.155	-0.116	0.024	0.000	-0.241	-0.059	-0.041
RalstoniaGMI1000	RS_RS00220	RS_RS00220		ABC transporter substrate-binding protein	-0.169	-0.635	-0.107	-0.289	0.187	-0.502	-0.049
RalstoniaGMI1000	RS_RS00225	RS_RS00225		GTP-binding protein	-0.246	-0.185	-0.042	0.469	0.442	-0.002	0.088
RalstoniaGMI1000	RS_RS00230	RS_RS00230		RNA polymerase-binding protein DksA	-0.959	-2.617	-1.857	-2.629	-2.785	-1.685	-1.962
RalstoniaGMI1000	RS_RS00235	RS_RS00235		GTP-binding protein	-0.148	-0.181	-0.223	0.013	-0.120	-0.061	-0.209
RalstoniaGMI1000	RS_RS00240	RS_RS00240		transcriptional repressor	-0.078	-0.294	-0.404	0.557	0.237	0.023	-0.137
RalstoniaGMI1000	RS_RS00245	RS_RS00245		6-phosphogluconolactonase	-0.127	-0.008	-0.393	0.017	-0.285	0.022	-0.223
RalstoniaGMI1000	RS_RS00250	RS_RS00250		FAD-binding oxidoreductase	0.011	-0.112	0.008	0.103	0.204	0.124	0.020
