genus_lower,biome_H_std,ko_per_mb_total_z,disc_per_mb_z
acetivibrio,0.4275926902345719,-0.926602294329764,-0.9632497257865136
acetobacter,0.46654571183649296,0.9824604841961331,1.4592545501473886
acetobacterium,0.4637180779075109,-0.9249568672954805,-1.1968061940534453
acholeplasma,0.38738683009306457,0.29129803286259465,1.2947240262423125
achromobacter,0.663911196804297,-0.5975330531736527,-0.06910345427308531
acidaminococcus,0.41941665400054295,-0.052727983107503006,-0.8558122993012526
acidiferrobacter,0.55795754052461,1.3643754757120024,0.3796179543048588
acidiphilium,0.22963588509471405,0.5544612744017013,0.4635350881948108
acidithiobacillus,0.5108562922991642,1.5945205584897102,0.1546418486246925
acidobacterium,0.45402340948489,0.9601034150906731,-0.4297776877295811
acidocella,0.25486878437356314,1.053230024775722,0.40726632242872113
acidovorax,0.5942461547666732,0.18930308968018295,0.060492045892825225
acinetobacter,0.5318247041287792,0.45680814104734146,0.6407642870097393
actinobacillus,0.3128527063692128,1.2539820556748138,2.152238968494371
actinomyces,0.3913423322627311,-0.7196679241818312,0.41502363648039475
actinoplanes,0.5675121701043155,-1.6976878975468528,-1.1333094369397994
acuticoccus,0.5712246877367455,-0.8667079248620565,-0.16469473662248416
adlercreutzia,0.5743913746928087,-0.9965634613567298,-1.924060855400977
aequorivita,0.5545964870475447,0.6126463127359594,0.13714099569043103
aerococcus,0.1463801522387964,-0.258995429201161,0.5945030385591347
aeromicrobium,0.5378366147963868,-0.2984455747415662,0.9284841496843407
aeromonas,0.5977557312446149,0.16977459337816977,0.42946125051997314
aggregatibacter,0.26223035120124677,1.3119967831327697,1.8756519595949952
agitococcus,0.6848100927932987,0.5150269170309169,0.65105871896739
agrobacterium,0.49483691931559026,-0.7810102584759262,0.3781913651361082
agrococcus,0.4437415228350886,0.7095396379230149,0.1296928365100484
agromyces,0.6036268847267058,-0.6925224052745488,-0.22077086047552072
akkermansia,0.41530719622164114,-0.6700905387822647,-1.560843863996974
alcaligenes,0.44731205754267633,0.33133577385325,1.4015248550222517
alcanivorax,0.6877312356845666,1.0804400092326274,1.864585546444988
algibacter,0.3895206486198373,-0.22026597185561794,-1.1038051515550265
algoriphagus,0.5937753379533018,-0.25313525620907734,-0.9990425587605986
aliarcobacter,0.5424337068922996,2.043056892576731,1.247058727865994
alicyclobacillus,0.536771097222252,-0.19876740535602974,-0.4420478877241346
aliidiomarina,0.4302380925800054,2.4650965911313256,2.296901664506814
aliikangiella,0.7501167537138564,-0.043215972896197004,-0.5714163471707842
alishewanella,0.6309664166151647,1.4472194439611248,0.785109551485863
alistipes,0.3318654243727384,-0.7109926194590457,-0.18815314112002615
alkalibacterium,0.41106325970604685,0.8204806581694353,1.5755360564006897
alkalihalobacillus,0.5859885441348465,-0.6014614765943276,0.018620876936910398
alkalispirochaeta,0.5503103987295023,-0.9891261287318054,-0.9753031071813355
allosphingosinicella,0.6246484545066989,-0.5062496862997521,0.15471583213915013
alteromonas,0.5880172362038482,0.7460985023435255,0.45341909599026925
altibacter,0.40552304918344895,1.6761160403849586,-0.03369826778311043
amaricoccus,0.6114650054083923,0.14399032925728425,1.4113239841887444
amphibacillus,0.48135829062603885,0.7822678092449922,1.4326231058452061
amphiplicatus,0.5245737656896643,1.3730671343014476,0.9282828741994238
amycolatopsis,0.6194546417696719,-1.4481579714439838,-1.3604316841764235
amylibacter,0.3997855444337425,1.4308786727946914,2.772569284923604
anabaena,0.24672559049984422,-1.2252164920424473,-1.0553729131745824
anaerobutyricum,0.2504957002321394,-1.1782614873381425,-1.3495449877254169
anaerococcus,0.2632783573383076,0.6458604018797758,0.16300052107462784
anaerocolumna,0.6107248092757855,-1.1957772910278583,-1.3609465713979234
anaeromyxobacter,0.26950646797795164,-0.09173323801362572,0.04826020579109323
anaerostipes,0.42792316806437963,-1.1648685733360353,-1.5089492057222693
anaerotignum,0.4431913236537561,-0.8034806351913195,-0.3262550826964535
anaerotruncus,0.34342208333877056,-1.08121554796821,-0.7826022342048075
anaerovibrio,0.12809755332216044,0.10085602215753181,-0.8264352658313193
ancylomarina,0.4133817221950415,-0.4414140331209117,-0.5812062248775208
aneurinibacillus,0.49644472549630986,-0.6864905004139787,-0.5370216270181507
anoxybacillus,0.6658083593266552,1.0767168582309072,1.405703806475333
