otu_id,domain,phylum,class,order,family,genus
OTU_10025,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,,
OTU_10026,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,,
OTU_10027,Bacteria,WOR-1,WOR-1,WOR-1,WOR-1,WOR-1
OTU_10028,Bacteria,Patescibacteria,Gracilibacteria,,,
OTU_10029,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_1003,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,
OTU_10030,Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria
OTU_10031,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_10032,Bacteria,Acidobacteriota,Blastocatellia,11-24,11-24,11-24
OTU_10033,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SH3-11
OTU_10034,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophales,Omnitrophales
OTU_10035,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,KD3-93
OTU_10036,Bacteria,Patescibacteria,ABY1,Candidatus_Kerfeldbacteria,Candidatus_Kerfeldbacteria,Candidatus_Kerfeldbacteria
OTU_10037,Bacteria,Verrucomicrobiota,Chlamydiae,LD1-PA32,LD1-PA32,LD1-PA32
OTU_10038,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15
OTU_10039,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_1004,Bacteria,Patescibacteria,ABY1,Candidatus_Buchananbacteria,Candidatus_Buchananbacteria,Candidatus_Buchananbacteria
OTU_10040,Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria
