otu_id,domain,phylum,class,order,family,genus
OTU_12138,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria
OTU_12139,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas
OTU_1214,Bacteria,Spirochaetota,MVP-15,MVP-15,MVP-15,MVP-15
OTU_12140,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sulfuricellaceae,Ferritrophicum
OTU_12141,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014
OTU_12142,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12143,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,Iainarchaeales,Candidatus_Iainarchaeum
OTU_12144,Bacteria,Patescibacteria,ABY1,Candidatus_Uhrbacteria,Candidatus_Uhrbacteria,Candidatus_Uhrbacteria
OTU_12145,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12146,Bacteria,Patescibacteria,Berkelbacteria,Berkelbacteria,Berkelbacteria,Berkelbacteria
OTU_12147,Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22
OTU_12148,Bacteria,,,,,
OTU_12149,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_1215,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,
OTU_12150,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12151,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,,
OTU_12152,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_12153,Bacteria,Patescibacteria,Parcubacteria,Paceibacterales,Paceibacteraceae,Candidatus_Paceibacter
OTU_12154,Bacteria,Patescibacteria,Parcubacteria,GWA2-38-13b,GWA2-38-13b,GWA2-38-13b
OTU_12155,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
OTU_12156,Bacteria,,,,,
OTU_12157,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Moranbacteria,Candidatus_Moranbacteria,Candidatus_Moranbacteria
OTU_12158,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Shapirobacteria,Candidatus_Shapirobacteria,Candidatus_Shapirobacteria
OTU_12159,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
OTU_1216,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria
OTU_12160,Bacteria,Patescibacteria,,,,
OTU_12161,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,
OTU_12162,Bacteria,Desulfobacterota,,,,
OTU_12163,Bacteria,Proteobacteria,Alphaproteobacteria,,,
OTU_12164,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,,
OTU_12165,Bacteria,,,,,
OTU_12166,Bacteria,,,,,
OTU_12167,Bacteria,Proteobacteria,Alphaproteobacteria,,,
OTU_12168,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,M2PT2-76_termite_group
OTU_12169,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
OTU_1217,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Trichlorobacter
OTU_12170,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Brennerbacteria,Candidatus_Brennerbacteria,Candidatus_Brennerbacteria
OTU_12171,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12172,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,
OTU_12173,Bacteria,Dependentiae,Babeliae,Babeliales,,
OTU_12174,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12175,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,,
OTU_12176,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12177,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophales,Omnitrophales
OTU_12178,Archaea,,,,,
OTU_12179,Bacteria,Dependentiae,Babeliae,Babeliales,,
OTU_1218,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
OTU_12180,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria
OTU_12181,Bacteria,,,,,
OTU_12182,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_12183,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Woesearchaeales,Woesearchaeales
OTU_12184,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
OTU_12185,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_2,Subgroup_2,Subgroup_2
OTU_12186,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Jorgensenbacteria,Candidatus_Jorgensenbacteria,Candidatus_Jorgensenbacteria
OTU_12187,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12188,Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25
OTU_12189,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_1219,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12190,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia
OTU_12191,Archaea,,,,,
OTU_12192,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_12193,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12194,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_12195,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_12196,Bacteria,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria,Candidatus_Magasanikbacteria
OTU_12197,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_12198,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12199,Bacteria,Chloroflexi,TK17,TK17,TK17,TK17
OTU_122,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,
OTU_1220,Bacteria,Patescibacteria,ABY1,Candidatus_Falkowbacteria,Candidatus_Falkowbacteria,Candidatus_Falkowbacteria
OTU_12200,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,
OTU_12201,Bacteria,Patescibacteria,ABY1,,,
OTU_12202,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,,
OTU_12203,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinimonadaceae,Chitinimonas
OTU_12204,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,
OTU_12205,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliales,Babeliales
OTU_12206,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Woesearchaeales,Woesearchaeales
OTU_12207,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,
OTU_12208,Bacteria,Proteobacteria,Alphaproteobacteria,,,
OTU_12209,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilaceae
OTU_1221,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
OTU_12210,Bacteria,,,,,
OTU_12211,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
OTU_12212,Bacteria,Elusimicrobiota,Elusimicrobia,Lineage_IV,Lineage_IV,Lineage_IV
OTU_12213,Bacteria,Patescibacteria,ABY1,Candidatus_Kuenenbacteria,Candidatus_Kuenenbacteria,Candidatus_Kuenenbacteria
OTU_12214,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter
OTU_12215,Bacteria,SAR324_clade,SAR324_clade,SAR324_clade,SAR324_clade,SAR324_clade
OTU_12216,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
OTU_12217,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,
OTU_12218,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_12219,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_1222,Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria
OTU_12220,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
OTU_12221,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_12222,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria
OTU_12223,Bacteria,Chloroflexi,Dehalococcoidia,,,
OTU_12224,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_12225,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II
OTU_12226,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Lloydbacteria,Candidatus_Lloydbacteria,Candidatus_Lloydbacteria
OTU_12227,Bacteria,,,,,
OTU_12228,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_12229,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_1223,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26
OTU_12230,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12231,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,
OTU_12232,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosotaleales,Nitrosotaleaceae,Nitrosotaleaceae
OTU_12233,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_12234,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,
OTU_12235,Bacteria,Desulfobacterota,,,,
OTU_12236,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Moranbacteria,Candidatus_Moranbacteria,Candidatus_Moranbacteria
OTU_12237,Bacteria,Patescibacteria,ABY1,Candidatus_Buchananbacteria,Candidatus_Buchananbacteria,Candidatus_Buchananbacteria
OTU_12238,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,
OTU_12239,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup_12,Subgroup_12,Subgroup_12
OTU_1224,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12240,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_12241,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214_group
OTU_12242,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214_group
OTU_12243,Bacteria,Patescibacteria,,,,
OTU_12244,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,
OTU_12245,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12246,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,
OTU_12247,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12248,Bacteria,Chloroflexi,TK10,TK10,TK10,TK10
OTU_12249,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214_group
OTU_1225,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_12250,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12251,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulforegulaceae,Desulforegula
OTU_12252,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,CG1-02-32-21,CG1-02-32-21
OTU_12253,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
OTU_12254,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,
OTU_12255,Bacteria,,,,,
OTU_12256,Bacteria,Desulfobacterota,,,,
OTU_12257,Bacteria,Patescibacteria,ABY1,Candidatus_Uhrbacteria,Candidatus_Uhrbacteria,Candidatus_Uhrbacteria
OTU_12258,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,
OTU_12259,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_1226,Bacteria,NB1-j,NB1-j,NB1-j,NB1-j,NB1-j
OTU_12260,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,
OTU_12261,Bacteria,Firmicutes,Clostridia,,,
OTU_12262,Bacteria,Patescibacteria,ABY1,Candidatus_Kuenenbacteria,Candidatus_Kuenenbacteria,Candidatus_Kuenenbacteria
OTU_12263,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II
OTU_12264,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42
OTU_12265,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Woesearchaeales,Woesearchaeales
OTU_12266,Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionales,Vampirovibrionales
OTU_12267,Bacteria,Chloroflexi,,,,
OTU_12268,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria
OTU_12269,Bacteria,Elusimicrobiota,Elusimicrobia,Lineage_IV,Lineage_IV,Lineage_IV
OTU_1227,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Woesebacteria,Candidatus_Woesebacteria,Candidatus_Woesebacteria
OTU_12270,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter
OTU_12271,Bacteria,Elusimicrobiota,Elusimicrobia,Lineage_IV,Lineage_IV,Lineage_IV
OTU_12272,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_12273,Bacteria,Proteobacteria,Alphaproteobacteria,,,
OTU_12274,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,KD3-93
OTU_12275,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_12276,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,
OTU_12277,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,
OTU_12278,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Benthic_Group_D_and_DHVEG-1,Marine_Benthic_Group_D_and_DHVEG-1,Marine_Benthic_Group_D_and_DHVEG-1
OTU_12279,Archaea,Aenigmarchaeota,Aenigmarchaeia,Aenigmarchaeales,Aenigmarchaeales,Aenigmarchaeales
OTU_1228,Bacteria,Planctomycetota,Pla4_lineage,Pla4_lineage,Pla4_lineage,Pla4_lineage
OTU_12280,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
OTU_12281,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
OTU_12282,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
OTU_12283,Bacteria,Elusimicrobiota,Lineage_IIb,Lineage_IIb,Lineage_IIb,Lineage_IIb
OTU_12284,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II
OTU_12285,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_12286,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,
OTU_12287,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_12288,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU_12289,Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria
OTU_1229,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17
OTU_12290,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,
OTU_12291,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,Iainarchaeales,Candidatus_Iainarchaeum
OTU_12292,Bacteria,Firmicutes,,,,
OTU_12293,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12294,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
OTU_12295,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,
OTU_12296,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium]_coprostanoligenes_group,[Eubacterium]_coprostanoligenes_group
OTU_12297,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,
OTU_12298,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas
OTU_12299,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,Gastranaerophilales,Gastranaerophilales
OTU_123,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group
OTU_1230,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Parachlamydia
OTU_12300,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus
OTU_12301,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214_group
OTU_12302,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,
OTU_12303,Bacteria,Chloroflexi,Dehalococcoidia,,,
OTU_12304,Bacteria,Acidobacteriota,Subgroup_5,Subgroup_5,Subgroup_5,Subgroup_5
OTU_12305,Bacteria,Patescibacteria,Gracilibacteria,,,
OTU_12306,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,,
OTU_12307,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Moranbacteria,Candidatus_Moranbacteria,Candidatus_Moranbacteria
OTU_12308,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Brennerbacteria,Candidatus_Brennerbacteria,Candidatus_Brennerbacteria
OTU_12309,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae
OTU_1231,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12310,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,Candidatus_Brocadia
OTU_12311,Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionales,Vampirovibrionales
OTU_12312,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter
OTU_12313,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,
OTU_12314,Bacteria,Patescibacteria,ABY1,Candidatus_Falkowbacteria,Candidatus_Falkowbacteria,Candidatus_Falkowbacteria
OTU_12315,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria
OTU_12316,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Paracaedibacter
OTU_12317,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,
OTU_12318,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49
OTU_12319,Bacteria,,,,,
OTU_1232,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
OTU_12320,Bacteria,,,,,
OTU_12321,Bacteria,Myxococcota,Polyangia,Blfdi19,Blfdi19,Blfdi19
OTU_12322,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,
OTU_12323,Bacteria,Elusimicrobiota,Lineage_IIc,Lineage_IIc,Lineage_IIc,Lineage_IIc
OTU_12324,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_12325,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,
OTU_12326,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Woesearchaeales,Woesearchaeales
OTU_12327,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12328,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12329,Bacteria,Desulfobacterota,,,,
OTU_1233,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella
OTU_12330,Bacteria,,,,,
OTU_12331,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_12332,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria
OTU_12333,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Giovannonibacteria,Candidatus_Giovannonibacteria,Candidatus_Giovannonibacteria
OTU_12334,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Captivus
OTU_12335,Bacteria,Bacteroidota,Bacteroidia,,,
OTU_12336,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Woesearchaeales,Woesearchaeales
OTU_12337,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria,Candidatus_Yanofskybacteria
OTU_12338,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,,
OTU_12339,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_1234,Bacteria,,,,,
OTU_12340,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
OTU_12341,Bacteria,Patescibacteria,,,,
OTU_12342,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,Micrarchaeales,Micrarchaeales
OTU_12343,Bacteria,Nitrospirota,Thermodesulfovibrionia,,,
OTU_12344,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Amesbacteria,Candidatus_Amesbacteria,Candidatus_Amesbacteria
OTU_12345,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiogranum
OTU_12346,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
OTU_12347,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus
OTU_12348,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,M2PT2-76_termite_group
OTU_12349,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Daviesbacteria,Candidatus_Daviesbacteria,Candidatus_Daviesbacteria
OTU_1235,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014
OTU_12350,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
OTU_12351,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Woykebacteria,Candidatus_Woykebacteria,Candidatus_Woykebacteria
OTU_12352,Bacteria,,,,,
OTU_12353,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_12354,Bacteria,,,,,
OTU_12355,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12356,Bacteria,,,,,
OTU_12357,Bacteria,,,,,
OTU_12358,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,,
OTU_12359,Bacteria,,,,,
OTU_1236,Bacteria,Actinobacteriota,Actinobacteria,,,
OTU_12360,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,Micrarchaeales,Micrarchaeales
OTU_12361,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,
OTU_12362,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,Desulfobaccaceae,Desulfobacca
OTU_12363,Bacteria,Patescibacteria,ABY1,Candidatus_Buchananbacteria,Candidatus_Buchananbacteria,Candidatus_Buchananbacteria
OTU_12364,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,
OTU_12365,Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peribacteria,Candidatus_Peribacteria,Candidatus_Peribacteria
OTU_12366,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,,
OTU_12367,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,GWF2-44-16,GWF2-44-16
OTU_12368,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,AKAU3564_sediment_group,AKAU3564_sediment_group
OTU_12369,Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49
OTU_1237,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,
OTU_12370,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1
OTU_12371,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17
OTU_12372,Bacteria,FCPU426,FCPU426,FCPU426,FCPU426,FCPU426
OTU_12373,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Lloydbacteria,Candidatus_Lloydbacteria,Candidatus_Lloydbacteria
OTU_12374,Bacteria,,,,,
OTU_12375,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
OTU_12376,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
OTU_12377,Bacteria,Patescibacteria,Parcubacteria,,,
OTU_12378,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,,
OTU_12379,Bacteria,Proteobacteria,Gammaproteobacteria,EPR3968-O8a-Bc78,EPR3968-O8a-Bc78,EPR3968-O8a-Bc78
OTU_1238,Bacteria,Nitrospirota,Thermodesulfovibrionia,,,
OTU_12380,Bacteria,Proteobacteria,Gammaproteobacteria,,,
OTU_12381,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Woesearchaeales,Woesearchaeales
OTU_12382,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma
OTU_12383,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,
