srr,experiment,well,timepoint,collection_date,cwm_metal_types
SRR28246023,EVO09,GP03,1,2009-02-13,1.5908919793495844
SRR28246022,EVO09,FW215,1,2009-02-13,1.4421032389775745
SRR28246021,EVO09,MLSG4,1,2009-02-26,1.0818686838427818
SRR28246025,EVO09,MLSB3,1,2009-02-13,1.1020774519517595
SRR28246037,EVO09,MLSG4,1,2009-01-12,1.3897833507183401
SRR28246024,EVO09,FW202,1,2009-02-13,1.578410190767494
SRR28246020,EVO09,FW216,1,2009-02-26,1.1657197394269978
SRR28246019,EVO09,MLSA3,1,2009-02-26,1.0544333918860544
SRR28246029,EVO09,FW216,1,2009-02-13,1.38894138187394
SRR28246036,EVO09,MLSA3,1,2009-01-12,1.5726258557885897
SRR28246031,EVO09,FW215,1,2009-01-12,1.5484182541944373
SRR28246018,EVO09,GP01,1,2009-02-26,1.225551041812599
SRR28246035,EVO09,GP01,1,2009-01-12,1.5141056150765044
SRR28246026,EVO09,GP01,1,2009-02-13,1.2090149183657428
SRR28246032,EVO09,GP03,1,2009-01-12,1.3635140814513553
SRR28246027,EVO09,MLSA3,1,2009-02-13,1.4274299018351668
SRR28246030,EVO09,MLSG4,1,2009-02-13,1.0134473465989513
SRR28246033,EVO09,FW202,1,2009-01-12,1.5427535845142588
SRR28246040,EVO17,GP01,2,2018-04-26,1.152102101638614
SRR28246034,EVO09,MLSB3,1,2009-01-12,1.4286940676077902
SRR28246038,EVO17,GP03,1,2018-04-26,1.0990684669814317
SRR28246028,EVO17,FW215,1,2017-12-14,1.466049606780492
SRR28246039,EVO17,GP03,1,2017-12-07,1.286378750334121
SRR28246041,EVO17,FW216,9,2017-12-14,1.39144884849787
SRR28246042,EVO17,FW216,8,2017-12-14,1.6102890332531512
SRR28246052,EVO17,GP01,1,2018-02-01,1.0906669216369302
SRR28246051,EVO17,GP03,1,2018-02-01,1.2296817935352256
SRR28246043,EVO17,FW216,7,2017-12-14,1.6057332610954358
SRR28246044,EVO17,FW216,1,2017-12-07,1.2305647089583058
SRR28246047,EVO17,FW216,4,2017-12-14,1.634801826404356
SRR28246045,EVO17,FW216,6,2017-12-14,1.593991617831923
SRR28246046,EVO17,FW216,5,2017-12-14,1.5856613206497452
SRR28246048,EVO17,FW216,3,2017-12-14,1.6120573496622417
SRR28246049,EVO17,FW216,2,2017-12-14,1.58142247311609
SRR28246061,EVO17,FW215,1,2018-01-04,1.511400766894272
SRR28246055,EVO17,FW215,1,2017-12-07,1.233599125736907
SRR28246057,EVO17,GP03,1,2018-01-04,1.2147986813921552
SRR28246053,EVO17,MLSB3,1,2018-02-01,1.0370108126272684
SRR28246060,EVO17,FW216,1,2018-01-04,1.1498847773447793
SRR28246058,EVO17,GP01,1,2018-01-04,1.2919991236934383
SRR28246054,EVO17,FW216,1,2018-02-01,1.0400406020571333
SRR28246062,EVO17,GP03,1,2017-12-28,1.5143890127389514
SRR28246059,EVO17,MLSB3,1,2018-01-04,1.15468762435012
SRR28246064,EVO17,MLSB3,2,2017-12-28,1.1332937832492898
