srr,experiment,well,timepoint,collection_date,cwm_metal_types
SRR28246066,EVO17,GP03,1,2018-12-20,1.1808804220730569
SRR28246063,EVO17,GP01,1,2017-12-28,1.0919651135331747
SRR28246065,EVO17,MLSB3,1,2017-12-28,1.1637115244497893
SRR28246056,EVO17,FW215,1,2018-02-01,1.3361405011043075
SRR28246067,EVO17,FW216,1,2017-12-28,1.2262391954453067
SRR28246070,EVO17,MLSB3,1,2018-04-26,1.0364411295174802
SRR28246068,EVO17,FW215,1,2017-12-28,1.1737109631751754
SRR28246050,EVO17,FW216,1,2017-12-14,1.5155899169002176
SRR28246072,EVO17,FW215,1,2018-04-26,1.3733541615425695
SRR28246076,EVO17,FW216,1,2018-03-29,1.157398349849073
SRR28246073,EVO17,GP03,1,2018-03-29,1.0538677197543909
SRR28246078,EVO17,GP01,1,2017-12-07,1.2517828069897403
SRR28246081,EVO17,MLSB3,2,2018-03-29,1.0598709182027137
SRR28246074,EVO17,GP01,1,2018-03-29,1.101310761967634
SRR28246069,EVO17,GP01,1,2018-04-26,1.2285026373345547
SRR28246100,EVO17,GP01,2,2017-12-21,1.4795732392090708
SRR28246101,EVO17,GP01,1,2017-12-21,1.4693083648093155
SRR28246102,EVO17,MLSB3,4,2017-12-21,1.2992474242403573
SRR28246103,EVO17,MLSB3,3,2017-12-21,1.2794227772313362
SRR28246104,EVO17,MLSB3,2,2017-12-21,1.2865189400846642
SRR28246105,EVO17,GP01,1,2018-12-20,1.291377798188293
SRR28246106,EVO17,MLSB3,1,2017-12-21,1.2981169036010727
SRR28246075,EVO17,MLSB3,1,2018-03-01,1.0549356359289872
SRR28246107,EVO17,FW216,6,2017-12-21,1.3392192301137857
SRR28246108,EVO17,FW216,5,2017-12-21,1.3302227137586446
SRR28246109,EVO17,FW216,4,2017-12-21,1.3313575026185855
SRR28246110,EVO17,FW216,3,2017-12-21,1.328266755682801
SRR28246112,EVO09,GP03,1,2009-11-05,1.3312393058161625
SRR28246111,EVO17,FW216,2,2017-12-21,1.3118947950008975
SRR28246113,EVO09,MLSB3,1,2009-11-05,1.1583354503693628
SRR28246114,EVO09,GP01,1,2009-11-05,1.2856992412326698
SRR28246116,EVO09,MLSA3,1,2009-11-05,1.3893157335874171
SRR28246117,EVO09,FW216,1,2009-11-05,1.2793551019855414
SRR28246115,EVO17,FW216,1,2017-12-21,1.3337080080459933
SRR28246118,EVO09,MLSG4,1,2009-11-05,1.1095813665263285
SRR28246119,EVO09,FW215,1,2009-06-29,1.3940749509592194
SRR28246120,EVO09,GP03,1,2009-06-29,1.120393883853726
SRR28246121,EVO09,FW202,1,2009-06-29,1.037428122741186
SRR28246122,EVO09,MLSB3,1,2009-06-29,1.0195507510465658
SRR28246123,EVO09,GP01,1,2009-06-29,1.113340674199643
SRR28246125,EVO09,FW216,1,2009-06-29,1.0586730302679694
SRR28246124,EVO09,MLSA3,1,2009-06-29,1.0707991738680163
SRR28246127,EVO09,MLSG4,1,2009-06-29,1.0183916086488196
SRR28246128,EVO09,FW215,1,2009-04-30,1.2107147201897508
SRR28246126,EVO17,FW215,1,2017-12-21,1.6141600767336441
SRR28246130,EVO09,MLSB3,1,2009-04-30,1.0758652326401659
SRR28246129,EVO09,FW202,1,2009-04-30,1.041326874629105
SRR28246131,EVO09,GP01,1,2009-04-30,1.0436160662825635
SRR28246132,EVO09,MLSA3,1,2009-04-30,1.0550854693912597
SRR28246133,EVO09,FW216,1,2009-04-30,1.0549511460135668
SRR28246134,EVO09,MLSG4,1,2009-04-30,1.0183820266761403
SRR28246135,EVO09,FW215,1,2009-03-12,1.2329944372289534
SRR28246136,EVO09,GP03,1,2009-03-12,1.060954274703609
SRR28246137,EVO17,GP03,1,2017-12-14,1.830790912633182
SRR28246138,EVO09,FW202,1,2009-03-12,1.123420649477517
SRR28246139,EVO09,MLSB3,1,2009-03-12,1.136421652994624
SRR28246140,EVO09,GP01,1,2009-03-12,1.3834618896417663
SRR28246142,EVO09,FW216,1,2009-03-12,1.188005606518655
SRR28246141,EVO09,MLSA3,1,2009-03-12,1.0853885361638105
SRR28246143,EVO09,MLSG4,1,2009-03-12,1.091420161624035
SRR28246144,EVO09,FW215,1,2009-02-26,1.364859963404667
SRR28246145,EVO09,GP03,1,2009-02-26,1.0331264517950598
SRR28246146,EVO09,FW202,1,2009-02-26,1.0422742522671302
SRR28246147,EVO09,MLSB3,1,2009-02-26,1.0652727337796717
SRR28246148,EVO17,MLSB3,1,2017-12-14,1.3906877699623186
SRR28246149,EVO17,FW216,1,2018-12-20,1.1895960213830115
SRR28246150,EVO17,FW215,1,2018-12-20,1.4341855074035588
SRR28246071,EVO17,FW216,1,2018-04-26,1.2265580812403132
SRR28246077,EVO17,FW215,1,2018-03-29,1.3116416080745568
SRR28246082,EVO17,MLSB3,1,2018-03-29,1.274604409995137
SRR28246085,EVO17,FW216,20,2017-12-14,1.4270859575132502
SRR28246079,EVO17,GP03,1,2018-03-01,1.0545045725786004
SRR28246080,EVO17,GP01,1,2018-03-01,1.159263502634421
SRR28246084,EVO17,FW215,1,2018-03-01,1.22241861361176
SRR28246083,EVO17,FW216,1,2018-03-01,1.1343771010859451
SRR28246090,EVO17,FW216,16,2017-12-14,1.407669253174322
SRR28246089,EVO17,MLSB3,1,2017-12-07,1.098875936493863
SRR28246087,EVO17,FW216,18,2017-12-14,1.4091537107587802
SRR28246094,EVO17,FW216,12,2017-12-14,1.4003910506249622
SRR28246086,EVO17,FW216,19,2017-12-14,1.412308566949812
SRR28246092,EVO17,FW216,14,2017-12-14,1.3202094518769816
SRR28246088,EVO17,FW216,17,2017-12-14,1.4338532532202317
SRR28246096,EVO17,FW216,0,2017-12-14,1.4203265035374912
SRR28246091,EVO17,FW216,15,2017-12-14,1.4080066441433816
SRR28246099,EVO17,GP03,1,2017-12-21,1.7989060814761417
SRR28246097,EVO17,GP03,3,2017-12-21,1.219470600718125
SRR28246093,EVO17,FW216,13,2017-12-14,1.3948164937596275
SRR28246098,EVO17,GP03,2,2017-12-21,1.689397420435566
SRR28246095,EVO17,FW216,11,2017-12-14,1.393159757179761
