genus_clean,n_otus_gw,mean_gw_prevalence_pct,mean_fold_enrichment_gw,genus_lower,genus_clean_lower,is_nitrifier,mean_n_metal_types
Anaerotruncus,3,0.3284072249589491,0.7229533308041544,anaerotruncus,anaerotruncus,0,1.0
Anaerovibrio,2,0.06157635467980296,0.34826930565244263,anaerovibrio,anaerovibrio,0,1.0
Ancylobacter,2,4.649014778325124,0.8442861195816986,ancylobacter,ancylobacter,0,1.3333333333333333
Ancylomarina,3,0.06157635467980296,0.04517110135057859,ancylomarina,ancylomarina,0,1.0
Anoxybacillus,10,1.8657635467980296,2.6516002061370503,anoxybacillus,anoxybacillus,0,1.1666666666666667
Anseongella,1,0.3694581280788177,0.37219659656958415,anseongella,anseongella,0,1.0
Aquaticitalea,2,0.6773399014778325,1.1713901600400354,aquaticitalea,aquaticitalea,0,1.0
Aquicella,26,0.4878741947707465,1.2372749398827039,aquicella,aquicella,0,1.0
Aquimarina,1,0.06157635467980296,0.3478437890645342,aquimarina,aquimarina,0,1.2222222222222223
Aquisediminimonas,3,6.403940886699508,1.8509712868373691,aquisediminimonas,aquisediminimonas,0,1.0
Arachnia,2,0.06157635467980296,8.129973596741493,arachnia,arachnia,0,1.5
Arenibacter,6,0.06157635467980296,0.1396846520488507,arenibacter,arenibacter,0,1.3333333333333333
Arenicella,1,0.06157635467980296,0.025427410505768383,arenicella,arenicella,0,1.0
Arenimonas,17,2.6803824978267166,1.3515542109938807,arenimonas,arenimonas,0,1.3333333333333333
Aridibacter,6,1.1904761904761905,0.5791139545216214,aridibacter,aridibacter,0,1.0
Aromatoleum,7,1.7681210415200561,12.569642829331206,aromatoleum,aromatoleum,0,2.2
Arthrobacter,18,0.43103448275862066,1.8919341883785217,arthrobacter,arthrobacter,0,1.105263157894737
Aurantimonas,3,1.2315270935960594,0.8456772914049994,aurantimonas,aurantimonas,0,1.3333333333333333
Aureimonas,6,1.7036124794745484,1.1213856854165056,aureimonas,aureimonas,0,1.0
Azoarcus,9,3.106185002736727,2.4695523231669427,azoarcus,azoarcus,0,2.0
Azonexus,9,2.983032293377121,1.6090040047379826,azonexus,azonexus,0,1.3333333333333333
Azospira,13,4.585070102311482,2.6050135817858266,azospira,azospira,0,3.0
Azospirillum,19,2.151931553020482,1.3504273393870954,azospirillum,azospirillum,0,1.0
Azovibrio,2,2.0935960591133003,2.4671319994502876,azovibrio,azovibrio,0,1.0
Bacillus,70,0.9737860661505983,1.977924026556256,bacillus,bacillus,0,1.1764705882352942
Bacteroides,61,1.1023176936122103,1.302728431509649,bacteroides,bacteroides,0,1.121212121212121
Balneola,2,0.12315270935960591,0.3830531526318558,balneola,balneola,0,1.0
Bavariicoccus,2,0.06157635467980296,0.14484991006043701,bavariicoccus,bavariicoccus,0,2.0
Bellilinea,1,0.9852216748768473,1.113875693607341,bellilinea,bellilinea,0,1.0
Belnapia,4,2.1859605911330053,0.2092452005050281,belnapia,belnapia,0,2.0
Bifidobacterium,22,1.2175324675324675,3.459841021739516,bifidobacterium,bifidobacterium,0,1.1333333333333333
Blastococcus,2,6.280788177339902,0.516160442863402,blastococcus,blastococcus,0,1.0
Blastomonas,3,10.899014778325125,1.5211156450638577,blastomonas,blastomonas,0,1.75
Blautia,48,0.23604269293924465,7.855106805876823,blautia,blautia,0,1.0
Bordetella,3,0.2257799671592775,1.5703913042230149,bordetella,bordetella,0,1.5
Bosea,5,0.4433497536945813,1.438077844741072,bosea,bosea,0,1.4285714285714286
Bowmanella,1,0.3694581280788177,2.4703908621353485,bowmanella,bowmanella,0,1.0
Brachybacterium,4,2.8325123152709364,0.7799950390603415,brachybacterium,brachybacterium,0,1.0
Bradyrhizobium,20,1.3146551724137931,0.9991645612920206,bradyrhizobium,bradyrhizobium,0,1.2
Brevibacillus,16,0.4387315270935961,0.6628916965184202,brevibacillus,brevibacillus,0,1.25
Brevibacterium,11,1.281907747424989,1.4264294002523967,brevibacterium,brevibacterium,0,1.0
Brevilactibacter,6,0.16420361247947454,0.19433059054227966,brevilactibacter,brevilactibacter,0,1.0
Brevundimonas,22,5.701410658307211,1.737176988853463,brevundimonas,brevundimonas,0,1.4761904761904765
Brochothrix,3,1.1699507389162562,0.5779438648546322,brochothrix,brochothrix,0,2.0
Brooklawnia,6,0.24630541871921183,0.17870004364326866,brooklawnia,brooklawnia,0,1.5
Buchananella,1,0.12315270935960591,0.986028077227904,buchananella,buchananella,0,1.0
Burkholderia,11,1.2147335423197492,2.0844140971224303,burkholderia,burkholderia,0,1.763157894736842
Butyricimonas,6,0.24630541871921183,1.3279038521887752,butyricimonas,butyricimonas,0,1.0
Caecibacter,2,0.06157635467980296,0.2496330061524972,caecibacter,caecibacter,0,1.0
Caenispirillum,5,0.4679802955665025,1.148868337572878,caenispirillum,caenispirillum,0,1.0
Capnocytophaga,11,0.15673981191222572,2.552205816330908,capnocytophaga,capnocytophaga,0,1.0
Caproiciproducens,5,0.3201970443349754,0.541640572925644,caproiciproducens,caproiciproducens,0,1.0
Carnobacterium,3,0.14367816091954022,0.1068426247664006,carnobacterium,carnobacterium,0,1.0
Castellaniella,2,0.12315270935960591,2.1879716429446874,castellaniella,castellaniella,0,2.0
Caulobacter,34,2.2022602144306,1.255647422755182,caulobacter,caulobacter,0,1.2307692307692308
Cellulomonas,7,0.571780436312456,0.294804009784791,cellulomonas,cellulomonas,0,1.2307692307692308
Cellulophaga,2,0.6157635467980296,1.3505787679399484,cellulophaga,cellulophaga,0,1.0
Cellulosimicrobium,1,1.7857142857142856,0.7819523348755597,cellulosimicrobium,cellulosimicrobium,0,1.0
Cellvibrio,15,3.12807881773399,0.6069051419967533,cellvibrio,cellvibrio,0,2.0
Cerasibacillus,1,0.8620689655172413,3.236606159467943,cerasibacillus,cerasibacillus,0,1.0
Chelatococcus,15,0.7553366174055829,0.5876151095246077,chelatococcus,chelatococcus,0,2.0
Chiayiivirga,7,2.8149190710767074,1.3202057996828302,chiayiivirga,chiayiivirga,0,1.0
Chitinimonas,9,0.9783798576902024,2.5271510671213155,chitinimonas,chitinimonas,0,2.0
Chitinophaga,19,0.5995592429349236,0.2620695584177484,chitinophaga,chitinophaga,0,1.0
Chlorobaculum,1,0.06157635467980296,0.508876147524007,chlorobaculum,chlorobaculum,0,1.0
Chlorobium,2,0.21551724137931033,0.5904419676433084,chlorobium,chlorobium,0,1.4285714285714286
Christensenella,2,0.06157635467980296,0.4678959105206217,christensenella,christensenella,0,1.0
Chromobacterium,1,5.911330049261084,2.8518833031009296,chromobacterium,chromobacterium,0,1.0
Chryseobacterium,20,1.1360837438423645,1.0416030688565703,chryseobacterium,chryseobacterium,0,1.09375
Chryseolinea,16,1.6086822660098523,0.6447461583872186,chryseolinea,chryseolinea,0,1.0
Citricoccus,2,0.06157635467980296,0.16683464752014288,citricoccus,citricoccus,0,1.0
Citrobacter,7,0.967628430682618,2.9599448057463396,citrobacter,citrobacter,0,3.7
Clostridioides,2,0.83128078817734,1.202835844244916,clostridioides,clostridioides,0,1.2
Clostridium,115,1.8869136860141358,2.4473414949150825,clostridium,clostridium,0,1.1363636363636365
Cobetia,2,0.06157635467980296,0.2497122072294629,cobetia,cobetia,0,2.0
Cohnella,20,0.08928571428571429,0.5529234109556328,cohnella,cohnella,0,1.0
Collinsella,11,0.957232422749664,2.335679551871427,collinsella,collinsella,0,1.0
Colwellia,2,0.3078817733990148,0.14003662305832854,colwellia,colwellia,0,1.0
Comamonas,14,2.4410626319493316,1.4177236903488681,comamonas,comamonas,0,1.7272727272727273
Companilactobacillus,1,0.6157635467980296,0.6414316986675841,companilactobacillus,companilactobacillus,0,1.0
Coprobacter,1,0.49261083743842365,0.6699813445557842,coprobacter,coprobacter,0,1.0
Corynebacterium,93,0.6078182107103131,5.600866838983906,corynebacterium,corynebacterium,0,1.0655737704918034
Crateriforma,2,0.12315270935960591,0.24091523571415524,crateriforma,crateriforma,0,1.0
