genus_lower,biome_H_std,ko_per_mb_total_z,ko_per_mb_tier1_z,ko_per_mb_tier2_z,abr_per_mb_z
acetivibrio,0.4275926902345719,-0.926602294329764,-0.6039569906703962,-0.6514304221589292,-0.23608862491216925
acetobacter,0.46654571183649296,0.9824604841961331,1.0285155998085682,0.6066621415717235,-0.1381025987459427
acetobacterium,0.4637180779075109,-0.9249568672954805,-0.9850336933263063,-0.6717143842986639,-0.14046244641398997
acholeplasma,0.38738683009306457,0.29129803286259465,0.9764377593707179,-0.839369504006195,-0.2582805125838608
achromobacter,0.663911196804297,-0.5975330531736527,2.543269725576589,0.17380536762226223,0.45205202263025174
acidaminococcus,0.41941665400054295,-0.052727983107503006,0.9753779877024398,-0.7683394702821081,-0.11206000187864747
acidiferrobacter,0.55795754052461,1.3643754757120024,-0.321405737058957,-0.509550823866849,-0.22006379160275363
acidiphilium,0.22963588509471405,0.5544612744017013,1.6447771508338171,0.6760725486536704,-0.25367490477849086
acidithiobacillus,0.5108562922991642,1.5945205584897102,1.386508592750547,0.21529036597858475,-0.0979111074605113
acidobacterium,0.45402340948489,0.9601034150906731,-0.27072630896531275,0.3505937912802027,-0.25402006390137716
acidocella,0.25486878437356314,1.053230024775722,1.2452144511585448,1.3204143641129666,-0.23062076341610702
acidovorax,0.5942461547666732,0.18930308968018295,1.9756906335135072,1.3695892800103515,-0.009350061734186484
acinetobacter,0.5318247041287792,0.45680814104734146,2.140620022459483,2.0389961555723204,8.51652395367259
actinobacillus,0.3128527063692128,1.2539820556748138,0.37041155238434387,-0.6481647874129158,-0.050587160817528086
actinomyces,0.3913423322627311,-0.7196679241818312,-1.0785863034421346,-0.3940402007926323,-0.22298963111942724
actinoplanes,0.5675121701043155,-1.6976878975468528,-1.2247786972085575,-0.8718945452471865,-0.1714463423957372
acuticoccus,0.5712246877367455,-0.8667079248620565,0.2006600254197057,-0.489708337050143,-0.24987673248556838
adlercreutzia,0.5743913746928087,-0.9965634613567298,-1.0811636737631032,-0.8747941150352281,-0.21885837715980241
aequorivita,0.5545964870475447,0.6126463127359594,-0.037803151788350794,0.24120956995286044,-0.24717821674753476
aerococcus,0.1463801522387964,-0.258995429201161,0.5578995497049292,-0.45046939769661193,0.13952681075329648
