otu_genus,n_otus,mean_levins_B_std,sd_levins_B_std,mean_n_envs,n_nitrifier_otus,nitrifier_role,is_nitrifier,kingdom,phylum,genus_lower,bac_rep_acc,arc_rep_acc,gtdb_genus_lower,n_species_with_amr,mean_n_metal_amr_clusters,mean_n_unique_metal_genes,mean_metal_core_fraction,mean_n_metal_types,mean_n_Hg,mean_n_As,mean_n_Cu,mean_n_Zn,mean_n_Cd,mean_n_Cr,mean_n_Ni,mean_n_metal_amr_clusters_z,mean_metal_core_fraction_z,mean_n_metal_types_z,mean_levins_B_std_filtered,n_otus_filtered
Actinomyces,46,0.3839530393121795,0.1983904357323854,7.782608695652174,0,,0,Bacteria,Actinobacteria,actinomyces,GB_GCA_915063485.1,,actinomyces,4.0,1.5,1.5,0.0,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,-0.2696924313849768,-1.0844772539736884,-0.6658412241973445,0.41907192642748753,14.0
Actinoplanes,11,0.5098604734595926,0.1486323589710213,10.363636363636363,0,,0,Bacteria,Actinobacteria,actinoplanes,GB_GCA_000715855.1,,actinoplanes,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-1.0844772539736884,-0.6658412241973445,0.5763253530287319,3.0
Acuticoccus,8,0.4236972261623514,0.2112951093315666,7.75,0,,0,Bacteria,Proteobacteria,acuticoccus,RS_GCF_001927245.1,,acuticoccus,1.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631393478644931,-1.0844772539736884,1.6313335389656427,0.48786159825102343,2.0
Aequorivita,12,0.5648046598666581,0.1733467566348515,7.666666666666667,0,,0,Bacteria,Bacteroidetes,aequorivita,GB_GCA_002364215.1,,aequorivita,2.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,0.2285367192797442,-0.6658412241973445,0.5713817757460143,4.0
Aeribacillus,3,0.4890222514514307,0.1733521360111214,10.0,0,,0,Bacteria,Firmicutes,aeribacillus,RS_GCF_007827555.1,,aeribacillus,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-1.0844772539736884,-0.6658412241973445,0.5797112603200927,2.0
Aerococcus,9,0.1613865759267352,0.1722630822111126,8.88888888888889,0,,0,Bacteria,Firmicutes,aerococcus,GB_GCA_002440555.1,,aerococcus,3.0,2.333333333333333,2.333333333333333,0.3333333333333333,2.333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0920818383018202,-0.2091346051380667,2.397058460019972,0.1374804455894213,4.0
Aeromicrobium,13,0.4141154009518707,0.175231678527617,9.692307692307692,0,,0,Bacteria,Actinobacteria,aeromicrobium,GB_GCA_000471045.1,,aeromicrobium,3.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-0.2091346051380667,-0.6658412241973445,0.44165661616075375,5.0
Aeromonas,28,0.3982554828576561,0.244438500729178,5.892857142857143,0,,0,Bacteria,Proteobacteria,aeromonas,RS_GCF_000014805.1,,aeromonas,25.0,11.16,6.96,0.4497804471514148,2.24,5.6,3.32,0.0,0.0,0.0,0.0,0.0,1.7891695636349751,0.096658770038281,2.18265548212476,0.4245054094016747,5.0
Aggregatibacter,14,0.2077721836231953,0.1787256783485509,7.071428571428571,0,,0,Bacteria,Proteobacteria,aggregatibacter,GB_GCA_017160915.1,,aggregatibacter,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3762587872348708,-1.0844772539736884,-0.6658412241973445,0.3072085596831917,4.0
Agrobacterium,18,0.4734861854421249,0.1598909047598026,8.61111111111111,0,,0,Bacteria,Proteobacteria,agrobacterium,GB_GCA_000949895.1,,agrobacterium,21.0,4.142857142857143,1.9047619047619049,0.0476190476190476,1.3333333333333333,1.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.29358687810732,-0.9594283041400282,0.0998836968569844,0.5508582627386814,7.0
Agrococcus,7,0.4064369919612249,0.1971291692806409,11.285714285714286,0,,0,Bacteria,Actinobacteria,agrococcus,GB_GCA_007988785.1,,agrococcus,2.0,2.0,1.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,-1.0844772539736884,-0.6658412241973445,0.5036433384062174,2.0
Ahrensia,4,0.3142766213180742,0.3854904921648918,7.0,0,,0,Bacteria,Proteobacteria,ahrensia,GB_GCA_024639025.1,,ahrensia,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,-1.0844772539736884,-0.6658412241973445,0.13058129705497276,2.0
Albimonas,3,0.4728819207919001,0.2984144691956129,9.0,0,,0,Bacteria,Proteobacteria,albimonas,RS_GCF_900106695.1,,albimonas,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1631260755350828,-1.0844772539736884,1.6313335389656427,0.47288192079190017,3.0
Alcaligenes,10,0.5121045976578114,0.1625986146291874,5.3,0,,0,Bacteria,Proteobacteria,alcaligenes,GB_GCA_023425645.1,,alcaligenes,4.0,11.5,6.5,0.0,1.5,9.75,0.75,0.0,0.0,0.0,0.0,0.0,1.861634685612903,-1.0844772539736884,0.4827461573841491,0.42107608103843214,4.0
Alcanivorax,14,0.3314728691410984,0.268285444853506,7.0,0,,0,Bacteria,Proteobacteria,alcanivorax,GB_GCA_002389055.1,,alcanivorax,13.0,5.307692307692308,3.615384615384616,0.3294871794871795,1.8461538461538465,2.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.5418513554719083,-0.2192347126246315,1.2779220369405686,0.3487658276662587,10.0
Algoriphagus,28,0.4451380473952729,0.2175433415269612,7.0,0,,0,Bacteria,Bacteroidetes,algoriphagus,GB_GCA_001314815.1,,algoriphagus,6.0,1.3333333333333333,1.1666666666666667,0.9166666666666666,1.1666666666666667,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.3052145500016082,1.3227150303242714,-0.2829787636701797,0.4126884652777332,18.0
