"response","predictor","n_taxa","lambda","beta","SE","t_stat","p_value","AIC","delta_AIC","r2_pgls","logL"
"biome_H_std","ko_per_mb_total_z",601,0.769832754296808,-0.022960328739059,0.00610073869193561,-3.76353256523011,0.000184015580945854,-920.276720760176,-12.0196726130919,0.00616731316706554,464.138360380088
"biome_H_std","disc_per_mb_z",601,0.783856570666434,-0.0200519234751806,0.00610808029240426,-3.28285197889693,0.00108745025180555,-916.96366764991,-8.70661950282602,-0.0213476347362358,462.481833824955
