genus_lower,mean_B_soil_std,n_otus
comamonas,0.43416834357294737,20
conexibacter,0.6443537206145822,20
coprococcus,0.18886415768956055,19
coraliomargarita,0.26792922755551046,9
corynebacterium,0.2876690192268086,179
coxiella,0.5334218606687023,16
craurococcus,0.44818579481133025,7
croceitalea,0.5267028253584913,5
crocinitomix,0.5322948509234408,9
cryptanaerobacter,0.5438303604698635,6
cupriavidus,0.6817447318579385,10
curvibacter,0.5044190435450112,15
cutibacterium,0.48073057678741055,59
cyanobium,0.35892243516543587,5
cyanothece,0.2791685374467498,5
cyclobacterium,0.3940829775953781,5
cypionkella,0.6713740964664662,15
cytobacillus,0.6865063838274444,8
daejeonella,0.4454496456804238,15
dechloromonas,0.357614282137095,18
dehalobacter,0.3727766835860448,6
deinococcus,0.3870787178396647,74
delftia,0.649293923756232,9
denitratisoma,0.3561292592801894,13
desnuesiella,0.22445038238308443,11
desulfallas,0.5969354946808647,15
desulfatiferula,0.46142094164862674,5
desulfatitalea,0.3740833121504708,7
desulfitobacterium,0.36987597632354435,16
desulfobacter,0.5132916204652013,9
desulfobacterium,0.5305626260234888,7
desulfobacula,0.6315145847906548,10
desulfobulbus,0.48507490096846123,22
desulfocapsa,0.4189513067673037,9
desulfomicrobium,0.49962462155292553,5
desulfomonile,0.3248853599820921,12
desulfopila,0.4921952028626545,8
desulfoprunum,0.3885125620845591,9
desulforhopalus,0.48050871373859555,20
desulfosarcina,0.47411254459012264,6
desulfosporosinus,0.464676728351103,24
desulfotalea,0.6048879579960603,5
desulfotomaculum,0.5548769407700646,11
desulfovibrio,0.44035291553591227,58
desulfurivibrio,0.4625566582918129,5
desulfuromonas,0.4447453931923003,26
devosia,0.6151150225854168,42
dialister,0.3594338966164928,16
dickeya,0.49542440972948154,8
dietzia,0.34839785142022117,5
dokdonella,0.6335095022834903,10
dokdonia,0.5252083789502152,7
domibacillus,0.645862312553073,6
dongia,0.6096430811654823,9
dorea,0.28817939627588707,18
dulcicalothrix,0.6761243380087818,7
duncaniella,0.5178993192603525,21
duodenibacillus,0.36618435853527215,6
dyadobacter,0.5892289689440988,33
dyella,0.6290743017988137,6
dysgonomonas,0.5367570098755208,30
echinicola,0.4524626169691696,6
edaphobacter,0.45344228336315534,9
effusibacillus,0.4733448366107062,6
eisenbergiella,0.23136410674021474,5
emergencia,0.4830092058745284,5
emticicia,0.6230047653517508,7
endomicrobium,0.7001758355897258,10
endozoicomonas,0.3251737777750725,11
enterocloster,0.3927186167745974,10
enterococcus,0.501842390540906,40
enterovibrio,0.21335119101783648,6
enterovirga,0.5625345267688269,11
erwinia,0.6313045924211823,7
erysipelatoclostridium,0.4962468427458846,8
erysipelothrix,0.33678688509125587,7
