"response","predictor","n_taxa","lambda","beta","SE","t_stat","p_value","AIC","delta_AIC","r2_pgls","logL"
"biome_H_std","ko_per_mb_total_z",482,0.266977304054575,-0.00231135213331035,0.00537549380568501,-0.429979498974758,0.667403521230333,-893.399131546284,1.82146238243456,0.00352421787909618,450.699565773142
"biome_H_std","ko_per_mb_tier1_z",482,0.294660525315014,0.00668847055464818,0.00580573572981284,1.1520452989795,0.249875917395818,-894.528277663294,0.692316265423869,-0.00636187417644796,451.264138831647
"biome_H_std","ko_per_mb_tier2_z",482,0.274866213461601,0.00406219785102571,0.0047939124332774,0.847365884872568,0.397213515198178,-893.940803326588,1.27979060213067,0.0038610612567519,450.970401663294
