sra_id,title,expxml,runs,platform,bases,spots,samplename,biosample
32160897,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""108803"" total_bases=""54619106"" total_size=""28001590"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biologic","                                <Run acc=""SRR28246028"" total_spots=""108803"" total_bases=""54619106"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>               ",,,,,
32160896,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""34115"" total_bases=""17125730"" total_size=""10282283"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biologica","                                <Run acc=""SRR28246029"" total_spots=""34115"" total_bases=""17125730"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160895,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""54424"" total_bases=""27320848"" total_size=""14140812"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biologica","                                <Run acc=""SRR28246030"" total_spots=""54424"" total_bases=""27320848"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160894,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""28438"" total_bases=""14275876"" total_size=""7903176"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246031"" total_spots=""28438"" total_bases=""14275876"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160893,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""33329"" total_bases=""16731158"" total_size=""9560619"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246032"" total_spots=""33329"" total_bases=""16731158"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160892,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""37373"" total_bases=""18761246"" total_size=""10310686"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biologica","                                <Run acc=""SRR28246033"" total_spots=""37373"" total_bases=""18761246"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160891,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""33330"" total_bases=""16731660"" total_size=""9201293"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246034"" total_spots=""33330"" total_bases=""16731660"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160890,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""29716"" total_bases=""14917432"" total_size=""8061665"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246035"" total_spots=""29716"" total_bases=""14917432"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160889,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""26139"" total_bases=""13121778"" total_size=""7211609"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246036"" total_spots=""26139"" total_bases=""13121778"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160888,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""18585"" total_bases=""9329670"" total_size=""5262785"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological ","                                <Run acc=""SRR28246037"" total_spots=""18585"" total_bases=""9329670"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                 ",,,,,
