compound_id	name	source_short	npc_pathway	best_tier	deep_tier	rescued	callable	callable_basis	n_strains	n_high	n_genera	n_field	top_field_prev	organism_dark_reason
Cc1_66	Brassylic acid	groundwater	Fatty acids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_54	Hexadecanedioic acid	groundwater	Fatty acids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_8	alpha-hydroxyisobutyric acid	groundwater	Fatty acids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_53	12-Hydroxydodecanoic acid	groundwater	Fatty acids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_17	sn-glycero-3-phosphocholine	groundwater	Fatty acids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_44	6-methylchromone	groundwater	Polyketides	T3_kegg	T3_kegg	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_109	3-hydroxybenzyl alcohol	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_172	4-(4-Hydroxyphenyl)butan-2-one	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_30	zingerone	groundwater	Shikimates and Phenylpropanoids	T3_kegg	T3_kegg	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_108	3-(2-Hydroxyphenyl)propionic acid	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_113	6-aminochromen-2-one	groundwater	Shikimates and Phenylpropanoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_220	2-Hydroxychalcone 	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_33	7-hydroxyflavanone	groundwater	Shikimates and Phenylpropanoids	T3_kegg	T3_kegg	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_58	2-Hydroxyphenylacetic acid	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		only_generic_rxns
Cc1_142	guaiacol	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_129	Cinnamic acid	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		only_biosynthetic_signatures
Cc1_3	caffeic acid	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		only_biosynthetic_signatures
Cc1_118	ANETHOLE	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_175	Benzylideneacetone	groundwater	Shikimates and Phenylpropanoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_104	(±)-Dihydroactinidiolide	groundwater	Terpenoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_100	(S)-(-)-Perillic acid	groundwater	Terpenoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_126	CARVEOL	groundwater	Terpenoids	T3_kegg	T3_kegg	False	False		0	0	0	0		kegg_no_rxn_in_genomes
Cc1_99	(1R)-(-)-Nopol	groundwater	Terpenoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_36	ketopinic acid	groundwater	Terpenoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
Cc1_49	(+)-Nootkatone	groundwater	Terpenoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
ZJTJUVIJVLLGSP-UHFFFAOYSA-N	lumichrome	necromass	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		no_kegg
GDNYELSKMFYCBB-UHFFFAOYSA-N	2,3-dihydro-1H-indole-7-carboxylic acid	necromass	Alkaloids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
OLNJUISKUQQNIM-UHFFFAOYSA-N	INDOLE-3-CARBOXALDEHYDE	necromass	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
OVYWMEWYEJLIER-UHFFFAOYSA-N	6-Hydroxyquinoline	necromass	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		no_kegg
QNRXNRGSOJZINA-UHFFFAOYSA-N	(2S)indoline-2-carboxylic acid	necromass	Alkaloids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
IPCSVZSSVZVIGE-UHFFFAOYSA-N	Palmitic Acid	necromass	Fatty acids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		only_biosynthetic_signatures
FVMDYYGIDFPZAX-UHFFFAOYSA-N	3-Hydroxyphenylacetic acid	necromass	Shikimates and Phenylpropanoids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		only_generic_rxns
CRDAMVZIKSXKFV-YFVJMOTDSA-N	Farnesol	necromass	Terpenoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		only_biosynthetic_signatures
DSSYKIVIOFKYAU-XCBNKYQSSA-N	D-camphor	necromass	Terpenoids	T2_3_reaction	T2_kegg_degrad	False	False		0	0	0	0		kegg_no_rxn_in_genomes
FQTLCLSUCSAZDY-SDNWHVSQSA-N	NEROLIDOL	necromass	Terpenoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		no_kegg
RGZSQWQPBWRIAQ-UHFFFAOYSA-N	Bisabolol	necromass	Terpenoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		no_kegg
VZJHQHUOVIDRCF-DGMCESFYSA-N	(-)-Isolongifolol	necromass	Terpenoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
NVEQFIOZRFFVFW-UHFFFAOYSA-N	b-Caryophyllene oxide	necromass	Terpenoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
XVULBTBTFGYVRC-HHUCQEJWSA-N	Sclareol	necromass	Terpenoids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
IBRKLUSXDYATLG-LURJTMIESA-N	SALSOLINOL	necromass	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
QWJIWJWEGVAMEB-UHFFFAOYSA-N	1H-pyrrolo[3,2-b]pyridine-5-carboxylic acid	necromass	Alkaloids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
WJJMNDUMQPNECX-UHFFFAOYSA-N	2,6-Pyridinedicarboxylic acid	necromass	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		no_kegg
WVMBPWMAQDVZCM-UHFFFAOYSA-N	N-methylanthranilic acid 	necromass	Alkaloids	T2_3_reaction	T2_3_reaction	False	False		0	0	0	0		kegg_no_rxn_in_genomes
AFDXODALSZRGIH-QPJJXVBHSA-N	4-Methoxycinnamic acid	necromass	Shikimates and Phenylpropanoids	T0_dark	T0_dark	False	False		0	0	0	0		no_kegg
