genus	relab	sample_id	macro_env	env_medium	env_broad	gold_ecosystem_type	gold_specific	lat	lon	n_compounds	pathways
Nocardioides	0.4285900220087382	nmdc:bsm-12-h26y9x12	periphyton	epipsammon	freshwater river biome			39.758206	-102.447148	1	Shikimates and Phenylpropanoids
Hydrogenophaga	0.27763462226196695	nmdc:bsm-12-4xrt8184	periphyton	epiphyton	freshwater river biome			39.758206	-102.447148	4	Shikimates and Phenylpropanoids
Mycobacterium	0.22039949907699224	nmdc:bsm-11-wwkbjm31	soil	soil	terrestrial biome	Soil	Bulk soil	42.427091	-72.229737	1	Shikimates and Phenylpropanoids
Mycobacterium	0.21181295636857475	nmdc:bsm-11-55yy5h50	soil	soil	terrestrial biome	Soil	Unclassified	45.850153	-121.989672	1	Shikimates and Phenylpropanoids
Mycobacterium	0.19594938158689448	nmdc:bsm-11-268k4561	soil	soil	terrestrial biome	Soil	Unclassified	42.478565	-72.259572	1	Shikimates and Phenylpropanoids
Variovorax	0.18812465499061615	nmdc:bsm-12-7bht5w61	freshwater	stream water	freshwater stream biome			39.890674	-105.911293	4	Shikimates and Phenylpropanoids
Sphingomonas	0.184527751143444	nmdc:bsm-11-cp8crw45	soil			Soil	Desert	28.72122816	83.91438789	1	Shikimates and Phenylpropanoids
Mucilaginibacter	0.1839327379498756	nmdc:bsm-11-mrymeq51	soil			Soil	Unclassified	40.7988	-76.33928	2	Alkaloids,Shikimates and Phenylpropanoids
Pseudomonas	0.17590123165450472	nmdc:bsm-12-jvz5b207	periphyton	epilithon	freshwater river biome			68.669753	-149.143018	3	Shikimates and Phenylpropanoids
Polaromonas	0.15579259630824427	nmdc:bsm-12-2072vp28	periphyton	epilithon	freshwater river biome			68.669753	-149.143018	4	Shikimates and Phenylpropanoids
Streptomyces	0.15196735891119084	nmdc:bsm-11-anbvsb66	other			Volcanic	Unclassified	19.389305	-155.2485	2	Shikimates and Phenylpropanoids
Sphingomonas	0.1465958430030345	nmdc:bsm-11-e90czr72	soil			Soil	Desert	-13.773333	-71.071389	1	Shikimates and Phenylpropanoids
Polaromonas	0.1374464488694128	nmdc:bsm-12-8jx26682	periphyton	epilithon	freshwater river biome			65.153224	-147.503973	4	Shikimates and Phenylpropanoids
Polaromonas	0.1208572079942435	nmdc:bsm-12-vs8yyb35	periphyton	epilithon	freshwater river biome			65.153224	-147.503973	4	Shikimates and Phenylpropanoids
Streptomyces	0.11936185382573693	nmdc:bsm-11-3agf7q54	soil	soil	terrestrial biome	Soil	Unclassified	37.082813	-119.743324	2	Shikimates and Phenylpropanoids
Hydrogenophaga	0.1170368758926848	nmdc:bsm-12-sx9xm190	periphyton	epiphyton	freshwater river biome			39.758206	-102.447148	4	Shikimates and Phenylpropanoids
Pseudomonas	0.10605704320617479	nmdc:bsm-12-5p6w0758	periphyton	epilithon	freshwater river biome			68.669753	-149.143018	3	Shikimates and Phenylpropanoids
Curvibacter	0.09947179387793074	nmdc:bsm-12-xrqxg668	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	1	Alkaloids
Burkholderia	0.09924386637027502	nmdc:bsm-12-7bht5w61	freshwater	stream water	freshwater stream biome			39.890674	-105.911293	4	Alkaloids,Shikimates and Phenylpropanoids
Rhizobacter	0.09897116673544583	nmdc:bsm-12-ytt3gd26	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	1	Shikimates and Phenylpropanoids
Pseudomonas	0.09644730511667789	nmdc:bsm-12-spm8c909	periphyton	epilithon	freshwater river biome			68.669753	-149.143018	3	Shikimates and Phenylpropanoids
Sphingomonas	0.09627451916845041	nmdc:bsm-12-6nry3463	other	epixylon	freshwater river biome			35.957378	-84.279251	1	Shikimates and Phenylpropanoids
Rhizobacter	0.08660542290168763	nmdc:bsm-12-1j0ykg32	periphyton	epilithon	freshwater river biome			40.034962	-105.544164	1	Shikimates and Phenylpropanoids
Rhizobacter	0.08490264004556539	nmdc:bsm-12-y3fkh689	periphyton	epilithon	freshwater river biome			40.034962	-105.544164	1	Shikimates and Phenylpropanoids
Reyranella	0.08406563727185304	nmdc:bsm-12-vs8yyb35	periphyton	epilithon	freshwater river biome			65.153224	-147.503973	2	Shikimates and Phenylpropanoids
Methylibium	0.07914329668068135	nmdc:bsm-12-ytt3gd26	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	2	Alkaloids,Shikimates and Phenylpropanoids
Variovorax	0.07491025171104462	nmdc:bsm-12-pd2xkw94	periphyton	epilithon	freshwater river biome			33.750993	-111.508091	4	Shikimates and Phenylpropanoids
Nocardioides	0.07421953078082198	nmdc:bsm-11-29d9a657	soil			Soil	Bulk soil	38.920487572	-106.948785516	1	Shikimates and Phenylpropanoids
Streptomyces	0.07291153963212141	nmdc:bsm-11-8s8j4g78	soil			Soil	Agricultural land	1.435145214	103.7113599	2	Shikimates and Phenylpropanoids
Terriglobus	0.07129206194303077	nmdc:bsm-12-rh6bk825	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	1	Shikimates and Phenylpropanoids
Nitrobacter	0.0701900552358598	nmdc:bsm-11-8s8j4g78	soil			Soil	Agricultural land	1.435145214	103.7113599	1	Shikimates and Phenylpropanoids
Nocardioides	0.06829959683271472	nmdc:bsm-11-38kptn16	soil	soil	terrestrial biome	Soil	Unclassified	47.136134	-99.232896	1	Shikimates and Phenylpropanoids
Variovorax	0.06654407149460198	nmdc:bsm-12-16z3kh85	periphyton	epilithon	freshwater river biome			38.945861	-96.443022	4	Shikimates and Phenylpropanoids
Rhodoferax	0.06538546350115351	nmdc:bsm-12-kzfen933	periphyton	epilithon	freshwater river biome			44.95011	-110.58715	3	Shikimates and Phenylpropanoids
Hydrogenophaga	0.06531658740867216	nmdc:bsm-12-qzn8aj54	periphyton	epiphyton	freshwater river biome			39.758206	-102.447148	4	Shikimates and Phenylpropanoids
Methylibium	0.06494263617859872	nmdc:bsm-12-czm55566	periphyton	epipsammon	freshwater river biome			39.891366	-105.915395	2	Alkaloids,Shikimates and Phenylpropanoids
Caulobacter	0.06319127425250126	nmdc:bsm-12-8k0st921	freshwater	stream water	freshwater stream biome			35.692201	-83.504427	3	Alkaloids,Shikimates and Phenylpropanoids
Methylibium	0.05975317045471228	nmdc:bsm-12-jefz6z20	periphyton	epipsammon	freshwater river biome			39.891366	-105.915395	2	Alkaloids,Shikimates and Phenylpropanoids
Herbaspirillum	0.05937548211539949	nmdc:bsm-12-kxmx6b22	periphyton	epipsammon	freshwater river biome			33.750993	-111.508091	2	Shikimates and Phenylpropanoids
Novosphingobium	0.05714997346797204	nmdc:bsm-13-w2cwcx50	other			Sand microcosm	Unclassified	46.37228379	-119.2717467	1	Shikimates and Phenylpropanoids
Burkholderia	0.056124906688475834	nmdc:bsm-11-jghcvb50	soil	soil	terrestrial biome	Soil	Unclassified	31.840609	-110.917189	4	Alkaloids,Shikimates and Phenylpropanoids
Novosphingobium	0.05529161628028397	nmdc:bsm-13-4jtymw61	other			Sand microcosm	Unclassified	46.37228379	-119.2717467	1	Shikimates and Phenylpropanoids
Novosphingobium	0.05427362474123277	nmdc:bsm-13-fw3n4813	other			Sand microcosm	Unclassified	46.37228379	-119.2717467	1	Shikimates and Phenylpropanoids
Massilia	0.04817314279077861	nmdc:bsm-11-p2nnmv96	soil	soil	terrestrial biome	Soil	Unclassified	42.45243	-72.250472	1	Shikimates and Phenylpropanoids
Rhodanobacter	0.04785048172864879	nmdc:bsm-11-nyaw3p87	soil	soil	terrestrial biome	Soil	Unclassified	63.831139	-145.747612	1	Shikimates and Phenylpropanoids
Massilia	0.04620514674062659	nmdc:bsm-12-kxmx6b22	periphyton	epipsammon	freshwater river biome			33.750993	-111.508091	1	Shikimates and Phenylpropanoids
Reyranella	0.044588027300563174	nmdc:bsm-11-cbs2ss75	soil	soil	terrestrial biome	Soil	Unclassified	45.825842	-121.960125	2	Shikimates and Phenylpropanoids
Rhodoferax	0.04342145991346526	nmdc:bsm-12-2mjmy131	periphyton	epilithon	freshwater river biome			39.105061	-96.603829	3	Shikimates and Phenylpropanoids
Rhodoferax	0.0422208748974114	nmdc:bsm-12-xrqxg668	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	3	Shikimates and Phenylpropanoids
Reyranella	0.04215085410609007	nmdc:bsm-11-6qgwc522	plant			Roots	Unclassified	35.8443	-83.9607	2	Shikimates and Phenylpropanoids
Paraburkholderia	0.04156545311193646	nmdc:bsm-11-hj945k50	soil	soil	terrestrial biome	Soil	Bulk soil	65.174447	-147.478155	5	Alkaloids,Shikimates and Phenylpropanoids
Rhodanobacter	0.041546957309730896	nmdc:bsm-11-hj945k50	soil	soil	terrestrial biome	Soil	Bulk soil	65.174447	-147.478155	1	Shikimates and Phenylpropanoids
Paraburkholderia	0.04138755033387977	nmdc:bsm-11-yqbvt475	soil			Soil	Unclassified	40.798	-76.341133	5	Alkaloids,Shikimates and Phenylpropanoids
Mesorhizobium	0.040578446202266485	nmdc:bsm-11-bja22k98	plant			Roots	Unclassified	35.8444	-83.9599	1	Alkaloids
Pseudoxanthomonas	0.039797914673078014	nmdc:bsm-11-e90czr72	soil			Soil	Desert	-13.773333	-71.071389	1	Shikimates and Phenylpropanoids
Magnetospirillum	0.03860511040785381	nmdc:bsm-12-zcfkaz45	other	epixylon	freshwater river biome			35.957378	-84.279251	1	Shikimates and Phenylpropanoids
Afipia	0.0379029879018243	nmdc:bsm-13-3p3ehg08	other			Sand microcosm	Unclassified	46.37228379	-119.2717467	1	Alkaloids
Mesorhizobium	0.03350223914156736	nmdc:bsm-11-dx4vst02	soil	soil	terrestrial biome	Soil	Unclassified	44.041571	-71.28692	1	Alkaloids
Burkholderia	0.03346963533345161	nmdc:bsm-12-vkxx8d53	other	epixylon	freshwater river biome			32.960365	-87.407688	4	Alkaloids,Shikimates and Phenylpropanoids
Mesorhizobium	0.03124848734059943	nmdc:bsm-12-e36jqk24	periphyton	epilithon	freshwater river biome			39.891366	-105.915395	1	Alkaloids
Brevundimonas	0.031204648300771614	nmdc:bsm-12-2k8h8655	periphyton	epilithon	freshwater river biome			34.444218	-96.624201	1	Shikimates and Phenylpropanoids
Paraburkholderia	0.031039944053906317	nmdc:bsm-11-tvhbxs22	soil	soil	terrestrial biome	Soil	Unclassified	42.45243	-72.250472	5	Alkaloids,Shikimates and Phenylpropanoids
Rhodanobacter	0.030693508211902726	nmdc:bsm-11-j7mtz083	soil			Soil	Bulk soil	65.16166658	-147.4864426	1	Shikimates and Phenylpropanoids
Pedobacter	0.03059409638091703	nmdc:bsm-11-mrymeq51	soil			Soil	Unclassified	40.7988	-76.33928	1	Shikimates and Phenylpropanoids
Afipia	0.02789704736964965	nmdc:bsm-13-4jtymw61	other			Sand microcosm	Unclassified	46.37228379	-119.2717467	1	Alkaloids
Ramlibacter	0.027308799924495572	nmdc:bsm-12-q6ydka19	periphyton	epilithon	freshwater river biome			38.945861	-96.443022	2	Shikimates and Phenylpropanoids
Sphingopyxis	0.026456511722485247	nmdc:bsm-12-pd2xkw94	periphyton	epilithon	freshwater river biome			33.750993	-111.508091	1	Shikimates and Phenylpropanoids
Rhizobium	0.025960580376724687	nmdc:bsm-11-bja22k98	plant			Roots	Unclassified	35.8444	-83.9599	2	Alkaloids,Shikimates and Phenylpropanoids
Massilia	0.02552936885540608	nmdc:bsm-12-x4wqda06	periphyton	epilithon	freshwater river biome			68.669753	-149.143018	1	Shikimates and Phenylpropanoids
Escherichia	0.02540950766051442	nmdc:bsm-12-kvbxw112	freshwater	stream water	freshwater stream biome			32.961588	-87.408223	1	Shikimates and Phenylpropanoids
Arthrobacter	0.025247300537109375	nmdc:bsm-11-h8mpw025	soil	soil	terrestrial biome	Soil	Unclassified	37.033983	-119.250835	2	Shikimates and Phenylpropanoids
Afipia	0.02401619704731975	nmdc:bsm-11-9t9j3p04	soil	soil	terrestrial biome	Soil	Unclassified	63.831139	-145.747612	1	Alkaloids
Rhizobium	0.023651483274969257	nmdc:bsm-11-b2w6cr26	plant			Roots	Unclassified	35.8444	-83.9599	2	Alkaloids,Shikimates and Phenylpropanoids
Cellvibrio	0.02289947350727562	nmdc:bsm-12-d2aqjm16	freshwater	stream water	freshwater stream biome			44.258957	-122.165861	1	Shikimates and Phenylpropanoids
Caballeronia	0.02249173639401876	nmdc:bsm-12-4b4kz682	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	3	Alkaloids,Shikimates and Phenylpropanoids
Duganella	0.022383008650683767	nmdc:bsm-12-kxmx6b22	periphyton	epipsammon	freshwater river biome			33.750993	-111.508091	2	Shikimates and Phenylpropanoids
Ramlibacter	0.022227955420055068	nmdc:bsm-12-kzfen933	periphyton	epilithon	freshwater river biome			44.95011	-110.58715	2	Shikimates and Phenylpropanoids
Janthinobacterium	0.021627100871540923	nmdc:bsm-12-kxmx6b22	periphyton	epipsammon	freshwater river biome			33.750993	-111.508091	1	Shikimates and Phenylpropanoids
Caulobacter	0.02144600911499873	nmdc:bsm-12-7hvc8132	other	epixylon	freshwater river biome			32.960365	-87.407688	3	Alkaloids,Shikimates and Phenylpropanoids
Mucilaginibacter	0.021019113708510315	nmdc:bsm-11-d3kwey28	soil	soil	terrestrial biome	Soil	Unclassified	40.043663	-105.569904	2	Alkaloids,Shikimates and Phenylpropanoids
Ramlibacter	0.020513968149976334	nmdc:bsm-12-xrqxg668	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	2	Shikimates and Phenylpropanoids
Cellvibrio	0.020352538197113777	nmdc:bsm-12-fg2c7t30	freshwater	stream water	freshwater stream biome			18.110265	-66.986411	1	Shikimates and Phenylpropanoids
Mucilaginibacter	0.020042974410925726	nmdc:bsm-11-hj945k50	soil	soil	terrestrial biome	Soil	Bulk soil	65.174447	-147.478155	2	Alkaloids,Shikimates and Phenylpropanoids
Terriglobus	0.019945566425728093	nmdc:bsm-11-2zyckv39	soil	soil	terrestrial biome	Soil	Unclassified	31.870334	-110.856598	1	Shikimates and Phenylpropanoids
Roseateles	0.018978998575699763	nmdc:bsm-12-8ad2jj17	periphyton	epilithon	freshwater river biome			39.105061	-96.603829	2	Shikimates and Phenylpropanoids
Caulobacter	0.01890447194319746	nmdc:bsm-11-p2nnmv96	soil	soil	terrestrial biome	Soil	Unclassified	42.45243	-72.250472	3	Alkaloids,Shikimates and Phenylpropanoids
Rhizobium	0.01871585955759919	nmdc:bsm-11-k1twxb65	plant			Roots	Unclassified	35.8443	-83.9607	2	Alkaloids,Shikimates and Phenylpropanoids
Rugosibacter	0.018662267276765582	nmdc:bsm-13-4jtymw61	other			Sand microcosm	Unclassified	46.37228379	-119.2717467	2	Shikimates and Phenylpropanoids
Sphingobium	0.018068839273008896	nmdc:bsm-12-sx9xm190	periphyton	epiphyton	freshwater river biome			39.758206	-102.447148	2	Shikimates and Phenylpropanoids
Cellvibrio	0.01803627144053305	nmdc:bsm-12-qr3qfn72	periphyton	epiphyton	freshwater river biome			39.758206	-102.447148	1	Shikimates and Phenylpropanoids
Sphingobium	0.017913318938499043	nmdc:bsm-12-ptpq5430	periphyton	epilithon	freshwater river biome			65.153224	-147.503973	2	Shikimates and Phenylpropanoids
Curvibacter	0.017362043019615362	nmdc:bsm-12-4b4kz682	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	1	Alkaloids
Collimonas	0.017070392275770396	nmdc:bsm-12-kxmx6b22	periphyton	epipsammon	freshwater river biome			33.750993	-111.508091	3	Shikimates and Phenylpropanoids
Pseudoxanthomonas	0.016252137985473897	nmdc:bsm-12-asmkhd16	periphyton	epilithon	freshwater river biome			38.945861	-96.443022	1	Shikimates and Phenylpropanoids
Acidovorax	0.015977426038397864	nmdc:bsm-12-kzfen933	periphyton	epilithon	freshwater river biome			44.95011	-110.58715	5	Alkaloids,Shikimates and Phenylpropanoids
Roseateles	0.014253565952269724	nmdc:bsm-12-1cvvb960	periphyton	epilithon	freshwater river biome			38.89431	-78.147258	2	Shikimates and Phenylpropanoids
Roseateles	0.01411267070508232	nmdc:bsm-12-n41etz05	other	epixylon	freshwater river biome			32.960365	-87.407688	2	Shikimates and Phenylpropanoids
Sphingopyxis	0.01363289534697687	nmdc:bsm-12-ptpq5430	periphyton	epilithon	freshwater river biome			65.153224	-147.503973	1	Shikimates and Phenylpropanoids
Magnetospirillum	0.013311829488898167	nmdc:bsm-11-bx86p094	soil			Soil	Shrubland	44.60695	-123.238343	1	Shikimates and Phenylpropanoids
Rugosibacter	0.013289499318796178	nmdc:bsm-12-3hemqc29	periphyton	epipsammon	freshwater river biome			33.750993	-111.508091	2	Shikimates and Phenylpropanoids
Terriglobus	0.013069360045589028	nmdc:bsm-11-f44cm251	soil	soil	terrestrial biome	Soil	Unclassified	42.424246	-72.258285	1	Shikimates and Phenylpropanoids
Tardiphaga	0.013010569918600475	nmdc:bsm-11-p2nnmv96	soil	soil	terrestrial biome	Soil	Unclassified	42.45243	-72.250472	1	Shikimates and Phenylpropanoids
Arthrobacter	0.012341437979242111	nmdc:bsm-11-z74kbw36	soil	soil	terrestrial biome	Soil	Unclassified	40.810934	-104.729248	2	Shikimates and Phenylpropanoids
Acidovorax	0.01227201053174523	nmdc:bsm-12-xrqxg668	periphyton	epipsammon	freshwater river biome			37.059719	-119.257549	5	Alkaloids,Shikimates and Phenylpropanoids
Acidovorax	0.012018608026092937	nmdc:bsm-12-vs8yyb35	periphyton	epilithon	freshwater river biome			65.153224	-147.503973	5	Alkaloids,Shikimates and Phenylpropanoids
Curvibacter	0.011960507329182054	nmdc:bsm-12-kzfen933	periphyton	epilithon	freshwater river biome			44.95011	-110.58715	1	Alkaloids
Brevundimonas	0.01182662356619203	nmdc:bsm-12-vs8yyb35	periphyton	epilithon	freshwater river biome			65.153224	-147.503973	1	Shikimates and Phenylpropanoids
