genus	relab	sample_id	macro_env	env_medium	env_broad	gold_ecosystem_type	gold_specific	lat	lon	n_compounds	pathways
Pandoraea	0.005420963203628974	nmdc:bsm-12-jzx7gn33	freshwater	lake water	freshwater lake biome			68.630699	-149.611405	1	Shikimates and Phenylpropanoids
Ensifer	0.005390994263929213	nmdc:bsm-11-2zwg9712	soil	soil	terrestrial biome	Soil	Unclassified	38.883308	-78.120371	2	Shikimates and Phenylpropanoids
Cupriavidus	0.0051949199212408545	nmdc:bsm-11-hncxy943	soil			Soil	Bulk soil	44.230556	-122.191464	5	Alkaloids,Shikimates and Phenylpropanoids
Klebsiella	0.005178192876071566	nmdc:bsm-11-4x2qkj21	soil	soil	terrestrial biome	Soil	Unclassified	44.041571	-71.28692	1	Shikimates and Phenylpropanoids
Intrasporangium	0.004989969714379957	nmdc:bsm-11-y2x26s57	soil	soil	terrestrial biome	Soil	Unclassified	40.818931	-104.748858	1	Alkaloids
Asticcacaulis	0.004891880518411245	nmdc:bsm-12-nqxz1w54	periphyton	epiphyton	freshwater river biome			39.758206	-102.447148	1	Shikimates and Phenylpropanoids
Cupriavidus	0.00488382088506548	nmdc:bsm-12-18a1tv89	other	epipelon	freshwater river biome			39.095637	-77.983216	5	Alkaloids,Shikimates and Phenylpropanoids
Ensifer	0.004814868651755997	nmdc:bsm-11-hncxy943	soil			Soil	Bulk soil	44.230556	-122.191464	2	Shikimates and Phenylpropanoids
Ensifer	0.004778259268813227	nmdc:bsm-11-ncna5c73	soil	soil	terrestrial biome	Soil	Unclassified	38.883308	-78.120371	2	Shikimates and Phenylpropanoids
Asticcacaulis	0.004761260225427033	nmdc:bsm-12-kvbxw112	freshwater	stream water	freshwater stream biome			32.961588	-87.408223	1	Shikimates and Phenylpropanoids
Candidimonas	0.004679119129201369	nmdc:bsm-11-y2x26s57	soil	soil	terrestrial biome	Soil	Unclassified	40.818931	-104.748858	1	Shikimates and Phenylpropanoids
Alcaligenes	0.004456958010974862	nmdc:bsm-12-8fe35m91	periphyton	epipsammon	freshwater river biome			39.891366	-105.915395	3	Alkaloids,Shikimates and Phenylpropanoids
Pusillimonas	0.004362806673644289	nmdc:bsm-11-n0kmyd38	soil			Soil	Unclassified	40.8008	-76.3414833	2	Shikimates and Phenylpropanoids
Klebsiella	0.004323918183691156	nmdc:bsm-12-b3q7rm85	periphyton	epiphyton	freshwater river biome			39.758206	-102.447148	1	Shikimates and Phenylpropanoids
Collimonas	0.00428145458984375	nmdc:bsm-11-h8mpw025	soil	soil	terrestrial biome	Soil	Unclassified	37.033983	-119.250835	3	Shikimates and Phenylpropanoids
Pusillimonas	0.0042436186399112735	nmdc:bsm-11-ec3gfh22	soil	soil	terrestrial biome	Soil	Unclassified	42.537308	-72.179312	2	Shikimates and Phenylpropanoids
Asticcacaulis	0.004182738760819338	nmdc:bsm-11-p065np87	soil	soil	terrestrial biome	Soil	Unclassified	40.463078	-103.03289	1	Shikimates and Phenylpropanoids
Achromobacter	0.00417524962283107	nmdc:bsm-12-nkqy0t66	periphyton	epilithon	freshwater river biome			45.790835	-121.933788	3	Alkaloids,Shikimates and Phenylpropanoids
Aminobacter	0.003988892182480822	nmdc:bsm-12-e36jqk24	periphyton	epilithon	freshwater river biome			39.891366	-105.915395	1	Shikimates and Phenylpropanoids
Leifsonia	0.0039227673311112545	nmdc:bsm-11-30npyx54	soil			Soil	Unclassified	40.8008	-76.34145	1	Shikimates and Phenylpropanoids
Staphylococcus	0.003919751712094529	nmdc:bsm-11-g3a6t898	soil	soil	terrestrial biome	Soil	Unclassified	63.887138	-149.301221	2	Shikimates and Phenylpropanoids
Achromobacter	0.003879338872396573	nmdc:bsm-12-sch2y947	freshwater	stream water	freshwater stream biome			35.692201	-83.504427	3	Alkaloids,Shikimates and Phenylpropanoids
Comamonas	0.00387132866658927	nmdc:bsm-12-k6zv3c87	periphyton	epipsammon	freshwater river biome			33.378517	-97.782312	3	Alkaloids,Shikimates and Phenylpropanoids
Leifsonia	0.0036917568599490113	nmdc:bsm-11-223nqw71	soil	soil	terrestrial biome	Soil	Unclassified	37.127266	-119.759842	1	Shikimates and Phenylpropanoids
Citrobacter	0.003557916064657321	nmdc:bsm-12-e9tm8r60	periphyton	epilithon	freshwater river biome			39.095637	-77.983216	1	Shikimates and Phenylpropanoids
Achromobacter	0.0034825648854630666	nmdc:bsm-12-kxmx6b22	periphyton	epipsammon	freshwater river biome			33.750993	-111.508091	3	Alkaloids,Shikimates and Phenylpropanoids
