compound_id	name	npc_pathway	inchikey	kegg_id	chebi_id	best_tier	was_dark	deep_tier	rescued	kegg_n_rxn	kegg_n_degpw	kegg_deg_maps	new_kegg	kegg_via	analog	analog_kind	analog_tier	analog_pathway	lit_n	lit_screened	lit_top_pmids	lit_top_title	fb_carbon	msd_match	msd_n_rxn	has_kegg	lit_strong
KWILGNNWGSNMPA-UHFFFAOYSA-N	Mellein / Ochracin	Shikimates and Phenylpropanoids	KWILGNNWGSNMPA-UHFFFAOYSA-N		CHEBI:38760	T5_lit	False	T5_lit	False	0	0								0	0			False	inchikey	0	False	True
Cc1_216	(-)-Perillyl alcohol	Terpenoids	NDTYTMIUWGWIMO-SNVBAGLBSA-N	C02452	CHEBI:10782	T2_3_reaction	False	T2_kegg_degrad	False	3	1	00903:Limonene degradation							0	0			False	inchikey	19	True	False
Cc1_256	Tyramine	Alkaloids	DZGWFCGJZKJUFP-UHFFFAOYSA-N	C00483	CHEBI:15760	T2_3_reaction	False	T2_3_reaction	False	7	0								0	0			False	connectivity	31	True	True
Cc1_12	choline sulfate / choline o-sulfuric acid	Amino acids and Peptides	WXCQAWGXWVRCGP-UHFFFAOYSA-N	C00919	CHEBI:16822	T2_3_reaction	False	T2_3_reaction	False	2	0								0	0			False	inchikey	5	True	False
Cc1_25	5,6-Dimethylbenzimidazole	Alkaloids	LJUQGASMPRMWIW-UHFFFAOYSA-N	C03114	CHEBI:15890	T2_3_reaction	False	T2_3_reaction	False	4	0								0	0			False	inchikey	12	True	True
Cc1_23	acridone	Alkaloids	FZEYVTFCMJSGMP-UHFFFAOYSA-N	C20142	CHEBI:50756	T3_kegg	False	T3_kegg	False	0	0								0	0			False	inchikey	0	True	True
Cc1_121	BIOTIN	Alkaloids	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	C00120	CHEBI:15956	T2_3_reaction	False	T2_3_reaction	False	9	0								0	0			False	connectivity	50	True	True
Cc1_266	Triacetonamine	Alkaloids	JWUXJYZVKZKLTJ-UHFFFAOYSA-N		CHEBI:177813	T0_dark	True	T0_dark	False	0	0								2	0	28669342;20137920	Chemosensitizing Activity of Histone Deacetylases Inhibitory Cyclic Hydroxamic Acids for Combination Chemotherapy of Lymphatic Leukemia.	False		0	False	False
Cc1_9	xanthine	Alkaloids	LRFVTYWOQMYALW-UHFFFAOYSA-N	C00385	CHEBI:15318	T3_kegg	False	T2_3_kegg_rxn	False	17	0								0	0			False		0	True	True
Cc1_122	Cadaverine	Alkaloids	VHRGRCVQAFMJIZ-UHFFFAOYSA-N	C01672	CHEBI:18127	T2_3_reaction	False	T2_kegg_degrad	False	11	1	00310:Lysine degradation							0	0			False	connectivity	28	True	True
Cc1_96	4,6,8-trimethylhydroquinolin-2-one	Alkaloids	UHXASMSNKAVYHU-UHFFFAOYSA-N			T0_dark	True	T0_dark	False	0	0								23502	0	42255705;42254818;42247284	Probiotic-Mediated Vitamin D Supplementation Improves the Gut Microbiota and Vitamin D Receptor Composition in Obese Rats.	False		0	False	False
Cc1_147	Indole-3-butyric acid	Alkaloids	JTEDVYBZBROSJT-UHFFFAOYSA-N	D78109	CHEBI:33070	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	connectivity	5	True	True
Cc1_72	indole-3-acetonitrile	Alkaloids	DMCPFOBLJMLSNX-UHFFFAOYSA-N	C02938	CHEBI:17566	T2_3_reaction	False	T2_3_reaction	False	4	0								0	0			False	inchikey	21	True	True
Cc1_42	4-hydroxy-1-methyl-2-quinolone	Alkaloids	RTNPPPQVXREFKX-UHFFFAOYSA-N		CHEBI:227249	T0_dark	True	T0_dark	False	0	0								0	0			False		0	False	False
Cc1_24	1,4-dimethylquinolin-2(1h)-one	Alkaloids	CEONKCOBRZOYJS-UHFFFAOYSA-N			T0_dark	True	T0_dark	False	0	0								4772986	0	42258977;42258964;42258939	Nitrate boosts arsenic accumulation in hyperaccumulator Pteris vittata by coupling nitrogen assimilation with arsenic detoxification.	False		0	False	False
Cc1_41	2-hydroxyquinoline	Alkaloids	LISFMEBWQUVKPJ-UHFFFAOYSA-N	C06338	CHEBI:18289	T2_3_reaction	False	T2_3_reaction	False	2	0								0	0			False	inchikey	6	True	True
Cc1_208	Phenylethylamine	Alkaloids	BHHGXPLMPWCGHP-UHFFFAOYSA-N	C05332	CHEBI:18397	T2_3_reaction	False	T2_3_reaction	False	4	0								0	0			False	connectivity	16	True	True
Cc1_110	3-Indoleacrylic acid	Alkaloids, Shikimates and Phenylpropanoids	PLVPPLCLBIEYEA-AATRIKPKSA-N	C21283	CHEBI:132244	T2_3_reaction	False	T2_3_reaction	False	3	0								0	0			False	connectivity	4	True	False
Cc1_143	GUANIDINEACETIC ACID	Amino acids and Peptides	BPMFZUMJYQTVII-UHFFFAOYSA-N	C00581	CHEBI:16344	T2_3_reaction	False	T2_3_reaction	False	4	0								0	0			False	inchikey	8	True	False
Cc1_69	DODECANEDIOIC ACID	Fatty acids	TVIDDXQYHWJXFK-UHFFFAOYSA-N	C02678	CHEBI:4676	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	connectivity	2	True	False
Cc1_87	TETRADECANEDIOIC ACID	Fatty acids	HQHCYKULIHKCEB-UHFFFAOYSA-N		CHEBI:76308	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	connectivity	1	False	False
Cc1_76	Decanedioic acid/Sebacic acid	Fatty acids	CXMXRPHRNRROMY-UHFFFAOYSA-N	C08277	CHEBI:41865	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	connectivity	5	True	False
Cc1_66	Brassylic acid	Fatty acids	DXNCZXXFRKPEPY-UHFFFAOYSA-N		CHEBI:73718	T0_dark	True	T0_dark	False	0	0								12	0	40007373;35841183;34409840	Comparative metabolomics elucidates the early defense response mechanisms to Plutella xylostella infestation in Brassica napus.	False		0	False	False
Cc1_54	Hexadecanedioic acid	Fatty acids	QQHJDPROMQRDLA-UHFFFAOYSA-N	C19615	CHEBI:73722	T2_3_reaction	False	T2_3_reaction	False	1	0								0	0			False	connectivity	5	True	False
Cc1_8	alpha-hydroxyisobutyric acid	Fatty acids	BWLBGMIXKSTLSX-UHFFFAOYSA-N	C21297	CHEBI:50129	T2_3_reaction	False	T2_3_reaction	False	1	0								0	0			False	connectivity	5	True	False
Cc1_53	12-Hydroxydodecanoic acid	Fatty acids	ZDHCZVWCTKTBRY-UHFFFAOYSA-N	C08317	CHEBI:39567	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	connectivity	5	True	True
Cc1_17	sn-glycero-3-phosphocholine	Fatty acids	SUHOQUVVVLNYQR-MRVPVSSYSA-N	D07349	CHEBI:16870	T2_3_reaction	False	T2_3_reaction	False	0	0								0	0			False	inchikey	69	True	True
Cc1_44	6-methylchromone	Polyketides	HTXQVFXXVXOLCF-UHFFFAOYSA-N	D76209		T3_kegg	False	T3_kegg	False	0	0								0	0			False		0	True	False
