name	npc_pathway	source	genus	certainty	field_detected	n_comm_present	prevalence	mean_relab	max_relab
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Novosphingobium	medium	True	33.0	0.6470588235294118	0.00203120204219865	0.010382375284882249
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Acidovorax	medium	True	31.0	0.6078431372549019	0.003047539536033545	0.008774097874443896
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Rhodococcus	medium	True	29.0	0.5686274509803921	0.0025238682883528185	0.015282583621683967
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Streptomyces	medium	True	29.0	0.5686274509803921	0.0013462735582738415	0.006343713956170703
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Sphingobium	medium	True	27.0	0.5294117647058824	0.009450425166096984	0.13795535940382736
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Rhodoferax	medium	True	24.0	0.47058823529411764	0.009816421230829285	0.10901494049126362
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Bosea	medium	True	22.0	0.43137254901960786	0.0006152110183309007	0.0035837864557587743
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Comamonas	medium	True	21.0	0.4117647058823529	0.0034954895269494646	0.04749546877574559
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Variovorax	medium	True	20.0	0.39215686274509803	0.0021124450852839016	0.0173099880620772
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Hydrogenophaga	medium	True	19.0	0.37254901960784315	0.002952255869792746	0.016984408349310857
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Polaromonas	medium	True	19.0	0.37254901960784315	0.0008333985944347595	0.005849398582962597
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Cupriavidus	medium	True	18.0	0.35294117647058826	0.0008691618097792496	0.005534855117027819
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Sphingopyxis	medium	True	17.0	0.3333333333333333	0.0012827277641734426	0.008320975449003131
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Cellvibrio	medium	True	14.0	0.27450980392156865	0.00048546670541363884	0.0013181743285549513
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Magnetospirillum	medium	True	13.0	0.2549019607843137	0.0006972598682558104	0.0022244191794364805
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Achromobacter	medium	True	7.0	0.13725490196078433	0.0013240590353788574	0.0029246992914812985
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Arthrobacter	medium	True	7.0	0.13725490196078433	0.0011750846049172951	0.003364323698585537
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Nitrobacter	high	True	5.0	0.09803921568627451	0.0016641950898006262	0.00461361014994233
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Terriglobus	medium	True	2.0	0.0392156862745098	0.002512769813807876	0.00498434667984841
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Starkeya	medium	True	2.0	0.0392156862745098	0.0003089471082550667	0.0004943153732081067
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Leifsonia	medium	True	1.0	0.0196078431372549	0.003089471082550667	0.003089471082550667
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Collimonas	medium	False		0.0	0.0	
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Alteromonas	medium	False		0.0	0.0	
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Paraburkholderia	medium	False		0.0	0.0	
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Azonexus	medium	False		0.0	0.0	
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Rhizorhabdus	medium	False		0.0	0.0	
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Rhodospirillum	medium	False		0.0	0.0	
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Bernardetia	medium	False		0.0	0.0	
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Burkholderia	medium	False		0.0	0.0	
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Caballeronia	medium	False		0.0	0.0	
4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	groundwater	Rugosibacter	medium	False		0.0	0.0	
Abscisic acid	Terpenoids	groundwater	Microbacterium	medium	True	1.0	0.0196078431372549	0.00020596473883671115	0.00020596473883671115
Phenylethylamine	Alkaloids	groundwater	Acidovorax	medium	True	31.0	0.6078431372549019	0.003047539536033545	0.008774097874443896
Phenylethylamine	Alkaloids	groundwater	Mesorhizobium	medium	True	29.0	0.5686274509803921	0.002062685395691908	0.020060965562695668
Phenylethylamine	Alkaloids	groundwater	Curvibacter	medium	True	28.0	0.5490196078431373	0.0031505828464584115	0.024962926347009393
Phenylethylamine	Alkaloids	groundwater	Cupriavidus	medium	True	18.0	0.35294117647058826	0.0008691618097792496	0.005534855117027819
Phenylethylamine	Alkaloids	groundwater	Intrasporangium	medium	True	7.0	0.13725490196078433	0.001953722665536803	0.006590871642774757
Phenylethylamine	Alkaloids	groundwater	Achromobacter	medium	True	7.0	0.13725490196078433	0.0013240590353788574	0.0029246992914812985
Phenylethylamine	Alkaloids	groundwater	Methylibium	medium	True	2.0	0.0392156862745098	0.0010083614277790719	0.0016459863256520638
Phenylethylamine	Alkaloids	groundwater	Alcaligenes	medium	False		0.0	0.0	
