compound_id	name	npc_pathway	inchikey	kegg_id	chebi_id	fb_carbon	fb_conditions	fb_n_orgs	fb_orgs	msd_cpd	msd_match	msd_n_rxn	msd_rxn	has_kegg	lit	lit_hits	lit_generic	lit_strong	lit_example	any_linkage	best_tier
KWILGNNWGSNMPA-UHFFFAOYSA-N	Mellein / Ochracin	Shikimates and Phenylpropanoids	KWILGNNWGSNMPA-UHFFFAOYSA-N		CHEBI:38760	False		0		seed.compound:cpd46821	inchikey	0	False	False	True	6.0	False	True	6-hydroxymellein synthase cdmE; Highly reducing polyketide synthase cdmE; chrodrimanin B biosynthesis cluster protein E; EC 2.3.1.-	True	T5_lit
Cc1_216	(-)-Perillyl alcohol	Terpenoids	NDTYTMIUWGWIMO-SNVBAGLBSA-N	C02452	CHEBI:10782	False		0		seed.compound:cpd01614	inchikey	19	True	True	False			False		True	T2_3_reaction
Cc1_256	Tyramine	Alkaloids	DZGWFCGJZKJUFP-UHFFFAOYSA-N	C00483	CHEBI:15760	False		0		seed.compound:cpd00374	connectivity	31	True	True	True	21.0	True	True	Primary amine oxidase; 2-phenylethylamine oxidase; Copper amine oxidase; Tyramine oxidase; EC 1.4.3.21	True	T2_3_reaction
Cc1_12	choline sulfate / choline o-sulfuric acid	Amino acids and Peptides	WXCQAWGXWVRCGP-UHFFFAOYSA-N	C00919	CHEBI:16822	False		0		seed.compound:cpd00681	inchikey	5	True	True	False			False		True	T2_3_reaction
Cc1_25	5,6-Dimethylbenzimidazole	Alkaloids	LJUQGASMPRMWIW-UHFFFAOYSA-N	C03114	CHEBI:15890	False		0		seed.compound:cpd01997	inchikey	12	True	True	True	9.0	False	True	5,6-dimethylbenzimidazole synthase; DMB synthase; EC 1.13.11.79	True	T2_3_reaction
Cc1_23	acridone	Alkaloids	FZEYVTFCMJSGMP-UHFFFAOYSA-N	C20142	CHEBI:50756	False		0		seed.compound:cpd21375	inchikey	0	False	True	True	6.0	True	True	Acridone synthase 2; Acridone synthase II; EC 2.3.1.159	True	T3_kegg
Cc1_121	BIOTIN	Alkaloids	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	C00120	CHEBI:15956	False		0		seed.compound:cpd00104	connectivity	50	True	True	True	377.0	True	True	Biotin-dependent 3-methylcrotonyl-coenzyme A carboxylase alpha1 subunit; EC 6.3.4.14	True	T2_3_reaction
Cc1_266	Triacetonamine	Alkaloids	JWUXJYZVKZKLTJ-UHFFFAOYSA-N		CHEBI:177813	False		0				0	False	False	False			False		False	T0_dark
Cc1_9	xanthine	Alkaloids	LRFVTYWOQMYALW-UHFFFAOYSA-N	C00385	CHEBI:15318	False		0				0	False	True	True	243.0	True	True	7-methylxanthine methyltransferase 1; Theobromine synthase BTS1; EC 2.1.1.159	True	T3_kegg
Cc1_122	Cadaverine	Alkaloids	VHRGRCVQAFMJIZ-UHFFFAOYSA-N	C01672	CHEBI:18127	False		0		seed.compound:cpd01155	connectivity	28	True	True	True	21.0	True	True	Acetylpolyamine amidohydrolase 1; APAH 1; Acetylcadaverine deacetylase; Acetylpolyamine deacetylase; Acetylputrescine deacetylase; EC 3.5.1.-; EC 3.5.1.62	True	T2_3_reaction
