genus	env_class	source	n_present	n_class	prevalence	mean_relab	mean_present	max_relab	n_compounds	pathways
Pandoraea	soil	NMDC	961	2260	0.4252212389380531	8.601403041238891e-05	0.00020228065424765756	0.0024662397466582277	1	Shikimates and Phenylpropanoids
Pandoraea	freshwater	NMDC	77	723	0.10650069156293222	3.718195093277204e-05	0.0003491240327843401	0.005420963203628974	1	Shikimates and Phenylpropanoids
Pandoraea	plant	NMDC	19	119	0.15966386554621848	1.549382028138446e-05	9.704024281498687e-05	0.0002808471374260621	1	Shikimates and Phenylpropanoids
Paraburkholderia	soil	NMDC	1048	2260	0.46371681415929206	0.0014977242826457273	0.003229825266010824	0.04156545311193646	5	Alkaloids,Shikimates and Phenylpropanoids
Paraburkholderia	marine	PlanetMicrobe	54	302	0.17880794701986755	0.0014311128254837309	0.0014311128254837309	0.2412178	5	Alkaloids,Shikimates and Phenylpropanoids
Paraburkholderia	periphyton	NMDC	452	472	0.9576271186440678	0.0013303796556262087	0.0013892460120698462	0.013093808208833798	5	Alkaloids,Shikimates and Phenylpropanoids
Paraburkholderia	freshwater	NMDC	84	723	0.11618257261410789	0.00022839520018955083	0.0019658301159172055	0.014332239977987587	5	Alkaloids,Shikimates and Phenylpropanoids
Paraburkholderia	plant	NMDC	19	119	0.15966386554621848	0.00013622592925849575	0.0008532045043032103	0.002205482209563291	5	Alkaloids,Shikimates and Phenylpropanoids
Pedobacter	periphyton	NMDC	441	472	0.934322033898305	0.0009457859731209774	0.001012269794360774	0.006239590770927535	1	Shikimates and Phenylpropanoids
Pedobacter	soil	NMDC	994	2260	0.4398230088495575	0.0001510258219007138	0.0003433786292712406	0.03059409638091703	1	Shikimates and Phenylpropanoids
Pedobacter	freshwater	NMDC	83	723	0.11479944674965421	8.76973400804774e-05	0.0007639177937130741	0.004737530640499358	1	Shikimates and Phenylpropanoids
Pedobacter	plant	NMDC	19	119	0.15966386554621848	4.0148963425799556e-05	0.0002514592972457972	0.0010764342675531502	1	Shikimates and Phenylpropanoids
Pedobacter	marine	PlanetMicrobe	9	302	0.029801324503311258	4.002266700001359e-06	4.002266700001359e-06	0.000640406	1	Shikimates and Phenylpropanoids
Pigmentiphaga	periphyton	NMDC	439	472	0.9300847457627118	0.00029451275676962546	0.000316651528918595	0.00293430245682888	3	Shikimates and Phenylpropanoids
Pigmentiphaga	soil	NMDC	980	2260	0.4336283185840708	0.00010625592181960061	0.0002450391666452014	0.0033587572099758943	3	Shikimates and Phenylpropanoids
Pigmentiphaga	freshwater	NMDC	76	723	0.10511756569847856	3.8612489072085357e-05	0.00036732670525154885	0.0013455560371431643	3	Shikimates and Phenylpropanoids
