compound_id	name	npc_pathway	resolved_via	cid	inchikey	molecular_formula	smiles	iupac_name	kegg_id	chebi_id
KWILGNNWGSNMPA-UHFFFAOYSA-N	Mellein / Ochracin	Shikimates and Phenylpropanoids	inchikey	28516	KWILGNNWGSNMPA-UHFFFAOYSA-N	C10H10O3	CC1CC2=C(C(=CC=C2)O)C(=O)O1	8-hydroxy-3-methyl-3,4-dihydroisochromen-1-one		CHEBI:38760
Cc1_216	(-)-Perillyl alcohol	Terpenoids	name	369312	NDTYTMIUWGWIMO-SNVBAGLBSA-N	C10H16O	CC(=C)[C@H]1CCC(=CC1)CO	[(4S)-4-prop-1-en-2-ylcyclohexen-1-yl]methanol	C02452	CHEBI:10782
Cc1_256	Tyramine	Alkaloids	name	5610	DZGWFCGJZKJUFP-UHFFFAOYSA-N	C8H11NO	C1=CC(=CC=C1CCN)O	4-(2-aminoethyl)phenol	C00483	CHEBI:15760
Cc1_12	choline sulfate / choline o-sulfuric acid	Amino acids and Peptides	name	485	WXCQAWGXWVRCGP-UHFFFAOYSA-N	C5H13NO4S	C[N+](C)(C)CCOS(=O)(=O)[O-]	2-(trimethylazaniumyl)ethyl sulfate	C00919	CHEBI:16822
Cc1_25	5,6-Dimethylbenzimidazole	Alkaloids	name	675	LJUQGASMPRMWIW-UHFFFAOYSA-N	C9H10N2	CC1=CC2=C(C=C1C)N=CN2	5,6-dimethyl-1H-benzimidazole	C03114	CHEBI:15890
Cc1_23	acridone	Alkaloids	name	2015	FZEYVTFCMJSGMP-UHFFFAOYSA-N	C13H9NO	C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2	10H-acridin-9-one	C20142	CHEBI:50756
Cc1_121	BIOTIN	Alkaloids	name	171548	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	C10H16N2O3S	C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2	5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoic acid	C00120	CHEBI:15956
Cc1_266	Triacetonamine	Alkaloids	name	13220	JWUXJYZVKZKLTJ-UHFFFAOYSA-N	C9H17NO	CC1(CC(=O)CC(N1)(C)C)C	2,2,6,6-tetramethylpiperidin-4-one		CHEBI:177813
Cc1_9	xanthine	Alkaloids	name	1188	LRFVTYWOQMYALW-UHFFFAOYSA-N	C5H4N4O2	C1=NC2=C(N1)C(=O)NC(=O)N2	3,7-dihydropurine-2,6-dione	C00385	CHEBI:15318
Cc1_122	Cadaverine	Alkaloids	name	273	VHRGRCVQAFMJIZ-UHFFFAOYSA-N	C5H14N2	C(CCN)CCN	pentane-1,5-diamine	C01672	CHEBI:18127
Cc1_96	4,6,8-trimethylhydroquinolin-2-one	Alkaloids	name	268329	UHXASMSNKAVYHU-UHFFFAOYSA-N	C12H13NO	CC1=CC(=C2C(=C1)C(=CC(=O)N2)C)C	4,6,8-trimethyl-1H-quinolin-2-one		
Cc1_147	Indole-3-butyric acid	Alkaloids	name	8617	JTEDVYBZBROSJT-UHFFFAOYSA-N	C12H13NO2	C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O	4-(1H-indol-3-yl)butanoic acid	D78109	CHEBI:33070
Cc1_72	indole-3-acetonitrile	Alkaloids	name	351795	DMCPFOBLJMLSNX-UHFFFAOYSA-N	C10H8N2	C1=CC=C2C(=C1)C(=CN2)CC#N	2-(1H-indol-3-yl)acetonitrile	C02938	CHEBI:17566
Cc1_42	4-hydroxy-1-methyl-2-quinolone	Alkaloids	name	54686436	RTNPPPQVXREFKX-UHFFFAOYSA-N	C10H9NO2	CN1C2=CC=CC=C2C(=CC1=O)O	4-hydroxy-1-methylquinolin-2-one		CHEBI:227249
Cc1_24	1,4-dimethylquinolin-2(1h)-one	Alkaloids	name	97252	CEONKCOBRZOYJS-UHFFFAOYSA-N	C11H11NO	CC1=CC(=O)N(C2=CC=CC=C12)C	1,4-dimethylquinolin-2-one		
Cc1_41	2-hydroxyquinoline	Alkaloids	name	6038	LISFMEBWQUVKPJ-UHFFFAOYSA-N	C9H7NO	C1=CC=C2C(=C1)C=CC(=O)N2	1H-quinolin-2-one	C06338	CHEBI:18289
Cc1_208	Phenylethylamine	Alkaloids	name	1001	BHHGXPLMPWCGHP-UHFFFAOYSA-N	C8H11N	C1=CC=C(C=C1)CCN	2-phenylethanamine	C05332	CHEBI:18397
Cc1_110	3-Indoleacrylic acid	Alkaloids, Shikimates and Phenylpropanoids	name	5375048	PLVPPLCLBIEYEA-AATRIKPKSA-N	C11H9NO2	C1=CC=C2C(=C1)C(=CN2)/C=C/C(=O)O	(E)-3-(1H-indol-3-yl)prop-2-enoic acid	C21283	CHEBI:132244
Cc1_143	GUANIDINEACETIC ACID	Amino acids and Peptides	name	763	BPMFZUMJYQTVII-UHFFFAOYSA-N	C3H7N3O2	C(C(=O)O)N=C(N)N	2-(diaminomethylideneamino)acetic acid	C00581	CHEBI:16344
Cc1_69	DODECANEDIOIC ACID	Fatty acids	name	12736	TVIDDXQYHWJXFK-UHFFFAOYSA-N	C12H22O4	C(CCCCCC(=O)O)CCCCC(=O)O	dodecanedioic acid	C02678	CHEBI:4676
Cc1_87	TETRADECANEDIOIC ACID	Fatty acids	name	13185	HQHCYKULIHKCEB-UHFFFAOYSA-N	C14H26O4	C(CCCCCCC(=O)O)CCCCCC(=O)O	tetradecanedioic acid		CHEBI:76308
Cc1_76	Decanedioic acid/Sebacic acid	Fatty acids	name	5192	CXMXRPHRNRROMY-UHFFFAOYSA-N	C10H18O4	C(CCCCC(=O)O)CCCC(=O)O	decanedioic acid	C08277	CHEBI:41865
Cc1_66	Brassylic acid	Fatty acids	name	10458	DXNCZXXFRKPEPY-UHFFFAOYSA-N	C13H24O4	C(CCCCCC(=O)O)CCCCCC(=O)O	tridecanedioic acid		CHEBI:73718
Cc1_54	Hexadecanedioic acid	Fatty acids	name	10459	QQHJDPROMQRDLA-UHFFFAOYSA-N	C16H30O4	C(CCCCCCCC(=O)O)CCCCCCC(=O)O	hexadecanedioic acid	C19615	CHEBI:73722
Cc1_8	alpha-hydroxyisobutyric acid	Fatty acids	name	11671	BWLBGMIXKSTLSX-UHFFFAOYSA-N	C4H8O3	CC(C)(C(=O)O)O	2-hydroxy-2-methylpropanoic acid	C21297	CHEBI:50129
Cc1_53	12-Hydroxydodecanoic acid	Fatty acids	name	79034	ZDHCZVWCTKTBRY-UHFFFAOYSA-N	C12H24O3	C(CCCCCC(=O)O)CCCCCO	12-hydroxydodecanoic acid	C08317	CHEBI:39567
Cc1_17	sn-glycero-3-phosphocholine	Fatty acids	name	657272	SUHOQUVVVLNYQR-MRVPVSSYSA-N	C8H20NO6P	C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O	[(2R)-2,3-dihydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	D07349	CHEBI:16870
Cc1_44	6-methylchromone	Polyketides	name	594810	HTXQVFXXVXOLCF-UHFFFAOYSA-N	C10H8O2	CC1=CC2=C(C=C1)OC=CC2=O	6-methylchromen-4-one	D76209	
Cc1_109	3-hydroxybenzyl alcohol	Shikimates and Phenylpropanoids	name	102	OKVJCVWFVRATSG-UHFFFAOYSA-N	C7H8O2	C1=CC(=CC(=C1)O)CO	3-(hydroxymethyl)phenol	C03351	CHEBI:17069
Cc1_172	4-(4-Hydroxyphenyl)butan-2-one	Shikimates and Phenylpropanoids	name	21648	NJGBTKGETPDVIK-UHFFFAOYSA-N	C10H12O2	CC(=O)CCC1=CC=C(C=C1)O	4-(4-hydroxyphenyl)butan-2-one	D70581	CHEBI:68656
Cc1_30	zingerone	Shikimates and Phenylpropanoids	name	31211	OJYLAHXKWMRDGS-UHFFFAOYSA-N	C11H14O3	CC(=O)CCC1=CC(=C(C=C1)O)OC	4-(4-hydroxy-3-methoxyphenyl)butan-2-one	C17497	CHEBI:68657
Cc1_108	3-(2-Hydroxyphenyl)propionic acid	Shikimates and Phenylpropanoids	name	873	CJBDUOMQLFKVQC-UHFFFAOYSA-N	C9H10O3	C1=CC=C(C(=C1)CCC(=O)O)O	3-(2-hydroxyphenyl)propanoic acid	C01198	CHEBI:16104
Cc1_113	6-aminochromen-2-one	Shikimates and Phenylpropanoids	name	46153	ZOJAINJCZSVZGW-UHFFFAOYSA-N	C9H7NO2	C1=CC2=C(C=CC(=O)O2)C=C1N	6-aminochromen-2-one		
Cc1_220	2-Hydroxychalcone 	Shikimates and Phenylpropanoids	name	5367146	UDOOPSJCRMKSGL-ZHACJKMWSA-N	C15H12O2	C1=CC=C(C=C1)C(=O)/C=C/C2=CC=CC=C2O	(E)-3-(2-hydroxyphenyl)-1-phenylprop-2-en-1-one	D90823	
Cc1_33	7-hydroxyflavanone	Shikimates and Phenylpropanoids	name	1890	SWAJPHCXKPCPQZ-UHFFFAOYSA-N	C15H12O3	C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=CC=C3	7-hydroxy-2-phenyl-2,3-dihydrochromen-4-one	D90988	CHEBI:34483
Cc1_112	4-hydroxybenzaldehyde	Shikimates and Phenylpropanoids	name	126	RGHHSNMVTDWUBI-UHFFFAOYSA-N	C7H6O2	C1=CC(=CC=C1C=O)O	4-hydroxybenzaldehyde	C00633	CHEBI:17597
Cc1_38	salicylic acid	Shikimates and Phenylpropanoids	name	338	YGSDEFSMJLZEOE-UHFFFAOYSA-N	C7H6O3	C1=CC=C(C(=C1)C(=O)O)O	2-hydroxybenzoic acid	C00805	CHEBI:16914
