orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Methanococcus_S2	MMP_RS00035	MMP_RS00035		DUF2098 family protein	MMP_RS00455	MMP_RS00455		orotate phosphoribosyltransferase-like protein	17	0.521448932125538	FALSE
Methanococcus_S2	MMP_RS00035	MMP_RS00035		DUF2098 family protein	MMP_RS03090	MMP_RS03090		cation:proton antiporter	18	0.505670367444179	FALSE
Methanococcus_S2	MMP_RS00035	MMP_RS00035		DUF2098 family protein	MMP_RS06920	MMP_RS06920		AAA family ATPase	19	0.500016791774431	FALSE
Methanococcus_S2	MMP_RS00035	MMP_RS00035		DUF2098 family protein	MMP_RS08230	MMP_RS08230		50S ribosomal protein L11 methyltransferase	20	0.478047508107426	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS04900	MMP_RS04900		hypothetical protein	1	0.694980486396085	TRUE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS02010	MMP_RS02010		PHP domain-containing protein	2	0.614814582760193	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS00035	MMP_RS00035		DUF2098 family protein	3	0.599363017466328	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS00555	MMP_RS00555		MFS transporter	4	0.500008200446056	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS01440	MMP_RS01440		NAAT family transporter	5	0.484986914485725	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS03815	MMP_RS03815		excinuclease ABC subunit UvrA	6	0.482456835931076	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS01575	MMP_RS01575		aldolase	7	0.480423279052913	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS05485	MMP_RS05485		cysteine--tRNA ligase	8	0.478453025468448	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS03835	MMP_RS03835		MATE family efflux transporter	9	0.472135891058529	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS06970	MMP_RS06970		ribosomal protein S18-alanine N-acetyltransferase	10	0.467191100365395	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS02955	MMP_RS02955		DJ-1/PfpI family protein	11	0.454605062250606	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS03485	MMP_RS03485		TIGR00267 family protein	12	0.448717246144424	FALSE
Methanococcus_S2	MMP_RS00040	MMP_RS00040		TIGR03576 family pyridoxal phosphate-dependent enzyme	MMP_RS03680	MMP_RS03680		hypothetical protein	13	0.438521106204013	FALSE
