orgId	locusId	sysName	geneName	desc	set1IT067 CPG	set1IT068 M63_quarter_strength	set1IT071 CPG	set1IT072 M63_quarter_strength	set2IT036 CPG	set2IT037 M63_quarter_strength
RalstoniaUW163	UW163_RS00365	UW163_RS00365		CoA transferase	-0.089	-0.139	-0.150	-0.063	0.171	-0.045
RalstoniaUW163	UW163_RS00370	UW163_RS00370		DUF2214 domain-containing protein	0.016	0.265	0.004	0.043	-0.169	-0.039
RalstoniaUW163	UW163_RS00380	UW163_RS00380		tripartite tricarboxylate transporter permease	0.196	0.130	0.113	0.291	0.138	0.125
RalstoniaUW163	UW163_RS00390	UW163_RS00390		polyisoprenoid-binding protein	0.255	-0.197	-0.397	-0.396	-0.041	-0.088
RalstoniaUW163	UW163_RS00400	UW163_RS00400		membrane protein	-0.151	0.233	-0.330	0.175	-0.106	0.035
RalstoniaUW163	UW163_RS00405	UW163_RS00405		DUF3999 domain-containing protein	0.130	0.035	0.038	0.084	-0.146	0.002
RalstoniaUW163	UW163_RS00410	UW163_RS00410		DUF2339 domain-containing protein	0.028	-0.120	0.107	-0.066	-0.078	0.000
RalstoniaUW163	UW163_RS00415	UW163_RS00415		hypothetical protein	0.047	0.202	0.100	0.115	-0.183	0.001
RalstoniaUW163	UW163_RS00420	UW163_RS00420		peptidyl-prolyl cis-trans isomerase	0.397	0.108	-0.005	0.147	-0.167	-0.075
RalstoniaUW163	UW163_RS00425	UW163_RS00425		tRNA-Cys	-0.061	0.046	0.579	0.327	0.242	-0.031
RalstoniaUW163	UW163_RS00430	UW163_RS00430		gamma-glutamylcyclotransferase	0.089	0.206	0.216	0.039	0.206	0.420
RalstoniaUW163	UW163_RS00435	UW163_RS00435		MFS transporter	0.203	-0.039	0.286	0.490	-0.116	0.117
RalstoniaUW163	UW163_RS00440	UW163_RS00440		long-chain-fatty-acid--CoA ligase	0.098	0.089	0.031	0.161	0.088	0.023
RalstoniaUW163	UW163_RS00445	UW163_RS00445		thioredoxin	0.104	-0.118	0.166	-0.002	0.114	-0.228
RalstoniaUW163	UW163_RS00450	UW163_RS00450		DsbA family protein	-0.293	-0.285	-0.207	-0.335	0.091	0.288
RalstoniaUW163	UW163_RS00460	UW163_RS00460		catalase/peroxidase HPI	0.025	-0.002	0.011	-0.068	0.076	-0.251
RalstoniaUW163	UW163_RS00465	UW163_RS00465		tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA	-0.228	-0.102	-0.177	-0.095	-0.209	-0.323
RalstoniaUW163	UW163_RS00470	UW163_RS00470		AsmA family protein	0.138	0.123	-0.079	0.046	0.106	0.195
RalstoniaUW163	UW163_RS00475	UW163_RS00475		cytochrome C	-0.073	0.623	0.380	0.061	-0.452	-0.396
