orgId	locusId	sysName	geneName	desc	set1IT067 CPG	set1IT068 M63_quarter_strength	set1IT071 CPG	set1IT072 M63_quarter_strength	set2IT036 CPG	set2IT037 M63_quarter_strength
RalstoniaUW163	UW163_RS00085	UW163_RS00085		terminase	0.098	0.972	0.484	-0.154	0.252	0.348
RalstoniaUW163	UW163_RS00090	UW163_RS00090		hypothetical protein	1.453	2.012	0.271	-0.153	0.196	0.384
RalstoniaUW163	UW163_RS00095	UW163_RS00095		hypothetical protein	0.289	1.718	1.079	0.423	1.873	0.924
RalstoniaUW163	UW163_RS00100	UW163_RS00100		DUF3489 domain-containing protein	0.126	0.065	-0.516	-1.319	-0.015	0.060
RalstoniaUW163	UW163_RS00105	UW163_RS00105		hypothetical protein	0.183	0.824	-0.052	2.434	-0.038	0.167
RalstoniaUW163	UW163_RS00110	UW163_RS00110		hypothetical protein	1.540	-0.546	-1.223	0.576	0.225	1.123
RalstoniaUW163	UW163_RS00115	UW163_RS00115		hypothetical protein	-0.795	1.204	0.152	0.977	0.864	-0.582
RalstoniaUW163	UW163_RS00120	UW163_RS00120		hypothetical protein	-0.069	-0.025	0.652	1.497	-0.296	-0.353
RalstoniaUW163	UW163_RS00125	UW163_RS00125		DNA methylase N-4	-0.316	0.434	0.286	1.164	0.943	-0.474
RalstoniaUW163	UW163_RS00130	UW163_RS00130		DNA methylase N-4	-0.585	-0.803	-0.596	-0.236	-0.067	-0.913
RalstoniaUW163	UW163_RS00135	UW163_RS00135		hypothetical protein	-0.066	0.356	0.089	-0.455	1.569	0.587
RalstoniaUW163	UW163_RS00145	UW163_RS00145		hypothetical protein	-1.053	-0.026	0.511	0.313	-0.045	-1.270
RalstoniaUW163	UW163_RS00155	UW163_RS00155		hypothetical protein	-0.332	0.441	-0.156	-0.340	0.384	-0.809
RalstoniaUW163	UW163_RS00160	UW163_RS00160		hypothetical protein	0.001	-0.068	0.215	0.004	1.247	-0.184
RalstoniaUW163	UW163_RS00165	UW163_RS00165		phage related protein	0.468	-0.353	0.920	0.571	1.920	0.493
RalstoniaUW163	UW163_RS00170	UW163_RS00170		hypothetical protein	-0.299	1.648	1.657	1.130	-1.710	-0.803
RalstoniaUW163	UW163_RS00175	UW163_RS00175		DDE transposase family protein	-1.319	-1.239	-0.040	0.470	0.490	0.979
RalstoniaUW163	UW163_RS00190	UW163_RS00190		hypothetical protein	-0.261	-0.618	-0.455	-0.427	0.108	-1.252
RalstoniaUW163	UW163_RS00195	UW163_RS00195		hypothetical protein	-1.018	-0.672	1.338	0.289	-1.170	-0.818
RalstoniaUW163	UW163_RS00200	UW163_RS00200		hypothetical protein	-0.124	1.115	-0.235	0.582	0.133	0.304
RalstoniaUW163	UW163_RS00205	UW163_RS00205		hypothetical protein	0.167	0.938	0.426	0.328	0.842	-0.693
RalstoniaUW163	UW163_RS00210	UW163_RS00210		type III secretion system YopJ family effector PopP1	0.024	0.691	0.267	-0.217	-0.362	0.173
RalstoniaUW163	UW163_RS00220	UW163_RS00220		ATPase	1.223	0.268	-2.445	-0.439	0.138	0.860
RalstoniaUW163	UW163_RS00225	UW163_RS00225		transcriptional regulator	0.716	1.294	1.093	0.787	1.425	0.569
