orgId	locusId	sysName	geneName	desc	set1IT076 CPG	set1IT077 M63_quarter_strength	set1IT080 CPG	set3IT039 CPG	set3IT040 M63_quarter_strength	set4IT039 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT042 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT045 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi
RalstoniaBSBF1503	RALBFv3_RS00025	RALBFv3_RS00025		cytochrome c1	1.214	0.454	1.018	-0.276	0.741	-0.848	0.784	-0.156
RalstoniaBSBF1503	RALBFv3_RS00030	RALBFv3_RS00030		ATP-dependent chaperone ClpB	-1.857	0.619	-0.956	0.429	-0.183	-1.677	-0.019	0.373
RalstoniaBSBF1503	RALBFv3_RS00035	RALBFv3_RS00035		sulfate ABC transporter substrate-binding protein	-0.373	-1.130	0.778	-1.563	0.594	-0.710	-1.657	-0.636
RalstoniaBSBF1503	RALBFv3_RS00040	RALBFv3_RS00040		FMN reductase (NADPH)	0.440	0.924	-0.896	-0.291	-1.902	0.923	0.070	-0.884
RalstoniaBSBF1503	RALBFv3_RS00045	RALBFv3_RS00045		sulfonate ABC transporter substrate-binding protein	0.972	1.490	0.865	0.748	1.077	1.356	-1.749	1.892
RalstoniaBSBF1503	RALBFv3_RS00050	RALBFv3_RS00050		aliphatic sulfonate ABC transporter substrate-binding protein	0.302	-0.520	0.024	1.351	0.913	-1.991	0.429	-1.020
RalstoniaBSBF1503	RALBFv3_RS00055	RALBFv3_RS00055		alkanesulfonate monooxygenase, FMNH(2)-dependent	0.439	0.523	-0.096	2.264	0.914	-1.017	0.954	0.540
RalstoniaBSBF1503	RALBFv3_RS00060	RALBFv3_RS00060		sulfonate ABC transporter	1.212	2.996	2.109	-1.523	-0.530	-0.379	-0.937	-0.647
RalstoniaBSBF1503	RALBFv3_RS00075	RALBFv3_RS00075		EAL domain-containing protein	0.242	0.915	1.645	-1.051	0.560	-0.920	0.156	0.586
RalstoniaBSBF1503	RALBFv3_RS00080	RALBFv3_RS00080		serine hydrolase family protein	-0.008	1.534	-0.717	1.392	1.533	-0.022	-0.175	-0.585
RalstoniaBSBF1503	RALBFv3_RS00085	RALBFv3_RS00085		sulfate ABC transporter permease subunit CysT	-0.710	-1.264	2.182	1.602	-0.767	-0.329	-0.673	0.216
RalstoniaBSBF1503	RALBFv3_RS00090	RALBFv3_RS00090		sulfate ABC transporter permease subunit CysW	0.604	1.034	0.578	0.848	1.024	-0.040	-0.506	-0.051
RalstoniaBSBF1503	RALBFv3_RS00095	RALBFv3_RS00095		sulfate ABC transporter ATP-binding protein	1.250	0.644	2.026	1.179	0.992	-0.173	0.618	0.648
RalstoniaBSBF1503	RALBFv3_RS00100	RALBFv3_RS00100		CysB family HTH-type transcriptional regulator	0.034	-0.915	0.171	0.725	0.247	-1.129	0.451	0.033
RalstoniaBSBF1503	RALBFv3_RS00105	RALBFv3_RS00105		type III effector protein	1.378	0.037	0.620	1.140	0.539	0.518	0.145	0.191
RalstoniaBSBF1503	RALBFv3_RS00115	RALBFv3_RS00115		sensor histidine kinase	0.260	-0.578	0.753	0.571	0.196	0.494	-1.247	0.142
RalstoniaBSBF1503	RALBFv3_RS00120	RALBFv3_RS00120		DNA-binding response regulator	-0.378	-1.369	-0.485	0.675	-0.755	-0.311	0.705	0.948
RalstoniaBSBF1503	RALBFv3_RS00125	RALBFv3_RS00125		acetolactate synthase isozyme II (large subunit) protein	0.771	2.299	0.306	0.972	-0.896	0.921	0.832	1.072
RalstoniaBSBF1503	RALBFv3_RS00130	RALBFv3_RS00130		ribonuclease	0.098	0.542	1.219	-0.605	-1.220	-0.797	-0.936	-0.383
RalstoniaBSBF1503	RALBFv3_RS00135	RALBFv3_RS00135		gamma-glutamylcyclotransferase	1.862	1.816	0.873	1.592	0.933	0.515	-1.108	1.471
RalstoniaBSBF1503	RALBFv3_RS00140	RALBFv3_RS00140		GALA protein	0.778	-0.431	1.328	0.142	1.015	1.620	-0.009	-0.997
RalstoniaBSBF1503	RALBFv3_RS00145	RALBFv3_RS00145		GALA protein	-0.548	-1.761	-0.182	-0.334	-0.677	-2.094	0.144	-0.760
RalstoniaBSBF1503	RALBFv3_RS00150	RALBFv3_RS00150		isocitrate lyase	1.860	1.309	-0.346	0.935	0.316	-0.688	-0.142	-0.969
RalstoniaBSBF1503	RALBFv3_RS00155	RALBFv3_RS00155		universal stress protein	-0.642	-0.127	0.233	0.425	0.175	-0.549	-1.047	0.465
RalstoniaBSBF1503	RALBFv3_RS00165	RALBFv3_RS00165		haloacid dehalogenase type II	0.539	0.217	-0.508	-1.911	0.889	0.054	-0.998	-1.025
RalstoniaBSBF1503	RALBFv3_RS00170	RALBFv3_RS00170		malate synthase A	-0.550	-1.583	0.880	0.232	0.419	0.037	-0.813	1.629
