orgId	locusId	sysName	geneName	desc	set1IT085 CPG	set1IT086 M63_quarter_strength	set1IT089 CPG	set1IT090 M63_quarter_strength	set2IT016 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT019 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT022 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set3IT043 M63_quarter_strength
RalstoniaPSI07	RPSI07_RS00025	RPSI07_RS00025		DNA-binding protein	-0.483	-0.121	-0.373	0.144	-0.094	-0.907	0.005	0.702
RalstoniaPSI07	RPSI07_RS00030	RPSI07_RS00030		UTP--glucose-1-phosphate uridylyltransferase	-0.069	0.084	0.018	0.028	-0.172	-0.190	0.101	-0.105
RalstoniaPSI07	RPSI07_RS00035	RPSI07_RS00035		MFS transporter	-0.304	0.165	-0.186	-0.013	-0.262	-0.336	-0.024	0.063
RalstoniaPSI07	RPSI07_RS00040	RPSI07_RS00040		sensor histidine kinase	-0.207	0.004	-0.241	0.149	0.073	0.131	-0.059	-0.163
RalstoniaPSI07	RPSI07_RS00045	RPSI07_RS00045		sigma-54-dependent Fis family transcriptional regulator	-0.237	0.129	-0.210	0.089	-0.278	-0.046	-0.153	-0.035
RalstoniaPSI07	RPSI07_RS00050	RPSI07_RS00050		YhfC family intramembrane metalloprotease	-0.276	0.018	0.045	-0.071	-0.212	-0.376	0.121	0.005
RalstoniaPSI07	RPSI07_RS00055	RPSI07_RS00055		hypothetical protein	-0.855	-0.438	-0.570	-0.191	-0.804	-0.038	-0.118	-0.166
RalstoniaPSI07	RPSI07_RS00060	RPSI07_RS00060		PAS domain S-box protein	0.054	-0.003	0.048	0.151	-0.107	-0.073	-0.051	-0.089
RalstoniaPSI07	RPSI07_RS00065	RPSI07_RS00065		leu/ile/val-binding periplasmic (pbp) ABC transporter protein	0.026	-0.100	-0.345	0.304	-0.272	0.034	0.021	-0.122
RalstoniaPSI07	RPSI07_RS00070	RPSI07_RS00070		branched-chain amino acid ABC transporter permease	0.266	0.402	0.107	-0.410	-0.731	0.177	-0.186	-0.028
RalstoniaPSI07	RPSI07_RS00075	RPSI07_RS00075		branched-chain amino acid ABC transporter permease	0.439	0.409	0.338	0.062	-0.223	0.330	-0.175	0.933
