orgId	carbon_source	cpd_id	growth_rate	fba_status	predicted_growth	observed_growth	correct
Smeli	L-Malic acid disodium salt monohydrate	cpd00130	6.497173	optimal	True	True	True
Smeli	Sodium succinate dibasic hexahydrate	cpd00036	6.613194	optimal	True	True	True
Smeli	Sodium L-Lactate	cpd00159	6.497173	optimal	True	True	True
Smeli	D-Fructose	cpd00082	7.193298	optimal	True	True	True
Smeli	D-Glucose	cpd00027	7.193298	optimal	True	True	True
Smeli	Sodium D-Lactate	cpd00221	6.497173	optimal	True	False	False
Smeli	N-Acetyl-D-Glucosamine	cpd00122	5.801047	optimal	True	True	True
Smeli	D-Maltose monohydrate	cpd00179	8.58555	optimal	True	True	True
Smeli	Glycerol	cpd00100	6.613194	optimal	True	True	True
Smeli	a-Ketoglutaric acid disodium salt hydrate	cpd00024	6.729215	optimal	True	False	False
Smeli	D-Xylose	cpd00154	6.961257	optimal	True	True	True
Smeli	L-Proline	cpd00129	7.077277	optimal	True	True	True
Smeli	D-Trehalose dihydrate	cpd00794	8.58555	optimal	True	True	True
Smeli	L-Fucose	cpd00751	5.801047	optimal	True	True	True
Smeli	Trisodium citrate dihydrate	cpd00137	6.845236	optimal	True	False	False
Smeli	Potassium acetate	cpd00029	6.265131	optimal	True	False	False
Smeli	L-Rhamnose monohydrate	cpd00396	5.801047	optimal	True	True	True
Smeli	D-Sorbitol	cpd00588	7.309319	optimal	True	True	True
Smeli	D-Galactose	cpd00108	5.801047	optimal	True	True	True
Smeli	D-Cellobiose	cpd00158	5.801047	optimal	True	True	True
Smeli	D-Mannose	cpd00138	7.193298	optimal	True	True	True
Smeli	D-Gluconic Acid sodium salt	cpd00222	7.077277	optimal	True	False	False
Smeli	D-Ribose	cpd00105	6.961257	optimal	True	True	True
Smeli	D-Raffinose pentahydrate	cpd30716	5.801047	optimal	True	True	True
Smeli	m-Inositol	cpd00121	5.801047	optimal	True	True	True
Smeli	L-Glutamic acid monopotassium salt monohydrate	cpd00023	6.845236	optimal	True	False	False
Smeli	Sodium Fumarate dibasic	cpd00106	6.497173	optimal	True	False	False
Smeli	Sodium propionate	cpd00141	5.801047	optimal	True	False	False
Smeli	D-Glucosamine Hydrochloride	cpd00276	5.801047	optimal	True	True	True
Smeli	a-Cyclodextrin	cpd24451	5.801047	optimal	True	False	False
Smeli	Ethanol	cpd00363	6.497173	optimal	True	False	False
Smeli	D-Glucose-6-Phosphate sodium salt	cpd00079	7.193298	optimal	True	False	False
Smeli	D-Galacturonic Acid monohydrate	cpd00280	5.801047	optimal	True	False	False
Smeli	L-Alanine	cpd00035	6.497173	optimal	True	False	False
Smeli	L-Asparagine	cpd00132	5.883179	optimal	True	False	False
Smeli	Sodium butyrate	cpd00211	5.801047	optimal	True	False	False
Smeli	L-Leucine	cpd00107	6.205896	optimal	True	True	True
Smeli	L-Arabinose	cpd00224	5.801047	optimal	True	True	True
Phaeo	Sodium pyruvate	cpd00020	37.394149	optimal	True	True	True
Phaeo	Sodium D,L-Lactate	cpd00159	37.394149	optimal	True	True	True
Phaeo	L-Glutamine	cpd00053	37.394149	optimal	True	True	True
Phaeo	L-Malic acid disodium salt monohydrate	cpd00130	37.549958	optimal	True	True	True
Phaeo	Sodium succinate dibasic hexahydrate	cpd00036	37.549958	optimal	True	True	True
