bacdive_id	compound_name	chebi_id	utilization	genus	species_epithet
147167	D-galacturonic acid		+	Escherichia	coli
147167	urea		-	Escherichia	coli
147167	L-arabitol		-	Escherichia	coli
147167	lysine		+	Escherichia	coli
147167	arginine		-	Escherichia	coli
147167	ornithine		-	Escherichia	coli
147167	indole		produced	Escherichia	coli
147183	sorbitol		-	Escherichia	coli
147183	cellobiose		-	Escherichia	coli
147183	myo-inositol		-	Escherichia	coli
147183	L-rhamnose		+	Escherichia	coli
147183	trehalose		+	Escherichia	coli
147183	D-arabitol		-	Escherichia	coli
147183	L-arabinose		+	Escherichia	coli
147183	sucrose		-	Escherichia	coli
147183	D-glucose		+	Escherichia	coli
147183	tryptophan		+	Escherichia	coli
147183	malonate		-	Escherichia	coli
147183	palatinose		-	Escherichia	coli
147183	ribitol		-	Escherichia	coli
147183	maltose		+	Escherichia	coli
147183	D-mannitol		+	Escherichia	coli
147183	Potassium 5-ketogluconate		-	Escherichia	coli
147183	D-galacturonic acid		-	Escherichia	coli
147183	L-arabitol		-	Escherichia	coli
147183	urea		-	Escherichia	coli
147183	lysine		-	Escherichia	coli
147183	arginine		-	Escherichia	coli
147183	ornithine		-	Escherichia	coli
147183	indole		produced	Escherichia	coli
147194			produced	Escherichia	coli
147196	sorbitol		-	Escherichia	coli
147196	cellobiose		-	Escherichia	coli
147196	myo-inositol		-	Escherichia	coli
147196	L-rhamnose		-	Escherichia	coli
147196	trehalose		+	Escherichia	coli
147196	D-arabitol		-	Escherichia	coli
147196	L-arabinose		+	Escherichia	coli
147196	sucrose		+	Escherichia	coli
147196	D-glucose		+	Escherichia	coli
147196	tryptophan		+	Escherichia	coli
147196	malonate		-	Escherichia	coli
147196	palatinose		-	Escherichia	coli
147196	maltose		+	Escherichia	coli
147196	D-mannitol		-	Escherichia	coli
147196	Potassium 5-ketogluconate		-	Escherichia	coli
147196	D-galacturonic acid		-	Escherichia	coli
147196	L-arabitol		-	Escherichia	coli
147196	urea		+	Escherichia	coli
147196	arginine		-	Escherichia	coli
147196	lysine		-	Escherichia	coli
147196	L-arabinose		-	Escherichia	coli
147196	amygdalin		-	Escherichia	coli
147196	melibiose		-	Escherichia	coli
147196	sucrose		-	Escherichia	coli
147196	L-rhamnose		-	Escherichia	coli
147196	sorbitol		-	Escherichia	coli
147196	myo-inositol		-	Escherichia	coli
147196	D-mannitol		-	Escherichia	coli
147196	D-glucose		-	Escherichia	coli
147196	gelatin		-	Escherichia	coli
147196	tryptophan		-	Escherichia	coli
147196	urea		-	Escherichia	coli
147196	citrate		-	Escherichia	coli
147196	ornithine		-	Escherichia	coli
147196	lysine		-	Escherichia	coli
147196	arginine		-	Escherichia	coli
147196	ribitol		-	Escherichia	coli
147196	ornithine		-	Escherichia	coli
147196	indole		produced	Escherichia	coli
147196	acetoin		produced	Escherichia	coli
147196	indole		produced	Escherichia	coli
147196	hydrogen sulfide		produced	Escherichia	coli
147217	cellobiose		+	Klebsiella	pneumoniae
147217	sorbitol		+	Klebsiella	pneumoniae
147217	myo-inositol		+	Klebsiella	pneumoniae
147217	L-rhamnose		+	Klebsiella	pneumoniae
147217	trehalose		+	Klebsiella	pneumoniae
147217	D-arabitol		+	Klebsiella	pneumoniae
147217	L-arabinose		+	Klebsiella	pneumoniae
147217	sucrose		+	Klebsiella	pneumoniae
147217	D-glucose		+	Klebsiella	pneumoniae
147217	tryptophan		-	Klebsiella	pneumoniae
147217	malonate		+	Klebsiella	pneumoniae
147217	palatinose		+	Klebsiella	pneumoniae
147217	maltose		+	Klebsiella	pneumoniae
147217	ribitol		+	Klebsiella	pneumoniae
147217	D-mannitol		+	Klebsiella	pneumoniae
147217	Potassium 5-ketogluconate		-	Klebsiella	pneumoniae
147217	D-galacturonic acid		+	Klebsiella	pneumoniae
147217	L-arabitol		-	Klebsiella	pneumoniae
147217	urea		+	Klebsiella	pneumoniae
147217	lysine		+	Klebsiella	pneumoniae
147217	ornithine		+	Klebsiella	pneumoniae
147217	arginine		-	Klebsiella	pneumoniae
147217	L-arabinose		+	Klebsiella	pneumoniae
147217	amygdalin		+	Klebsiella	pneumoniae
147217	melibiose		+	Klebsiella	pneumoniae
147217	sucrose		+	Klebsiella	pneumoniae
147217	L-rhamnose		+	Klebsiella	pneumoniae
147217	sorbitol		+	Klebsiella	pneumoniae
147217	myo-inositol		+	Klebsiella	pneumoniae
147217	D-mannitol		+	Klebsiella	pneumoniae
147217	D-glucose		+	Klebsiella	pneumoniae
147217	gelatin		-	Klebsiella	pneumoniae
147217	tryptophan		-	Klebsiella	pneumoniae
147217	urea		+	Klebsiella	pneumoniae
147217	citrate		+	Klebsiella	pneumoniae
147217	ornithine		+	Klebsiella	pneumoniae
147217	lysine		-	Klebsiella	pneumoniae
147217	arginine		-	Klebsiella	pneumoniae
147217	indole		produced	Klebsiella	pneumoniae
147217	acetoin		produced	Klebsiella	pneumoniae
147217	indole		produced	Klebsiella	pneumoniae
147217	hydrogen sulfide		produced	Klebsiella	pneumoniae
147235			produced	Shewanella	putrefaciens
147262	sorbitol		+	Klebsiella	oxytoca
147262	cellobiose		+	Klebsiella	oxytoca
147262	myo-inositol		+	Klebsiella	oxytoca
147262	L-rhamnose		+	Klebsiella	oxytoca
147262	trehalose		+	Klebsiella	oxytoca
147262	D-arabitol		+	Klebsiella	oxytoca
147262	sucrose		+	Klebsiella	oxytoca
147262	L-arabinose		+	Klebsiella	oxytoca
147262	tryptophan		+	Klebsiella	oxytoca
147262	malonate		+	Klebsiella	oxytoca
147262	palatinose		+	Klebsiella	oxytoca
147262	ribitol		+	Klebsiella	oxytoca
147262	maltose		+	Klebsiella	oxytoca
147262	D-mannitol		+	Klebsiella	oxytoca
147262	Potassium 5-ketogluconate		-	Klebsiella	oxytoca
147262	D-galacturonic acid		+	Klebsiella	oxytoca
147262	L-arabitol		-	Klebsiella	oxytoca
147262	urea		+	Klebsiella	oxytoca
147262	lysine		+	Klebsiella	oxytoca
147262	arginine		-	Klebsiella	oxytoca
147262	ornithine		-	Klebsiella	oxytoca
147262	D-glucose		+	Klebsiella	oxytoca
147262	indole		produced	Klebsiella	oxytoca
147270			produced	Escherichia	coli
147275			produced	Sphingomonas	sp.
147327			produced	Escherichia	coli
147333	cellobiose		-	Escherichia	coli
147333	sorbitol		-	Escherichia	coli
147333	myo-inositol		-	Escherichia	coli
147333	L-rhamnose		-	Escherichia	coli
147333	D-arabitol		-	Escherichia	coli
147333	L-arabinose		+	Escherichia	coli
147333	sucrose		-	Escherichia	coli
147333	D-glucose		+	Escherichia	coli
147333	tryptophan		-	Escherichia	coli
147333	malonate		-	Escherichia	coli
147333	palatinose		-	Escherichia	coli
147333	ribitol		-	Escherichia	coli
147333	maltose		+	Escherichia	coli
147333	D-mannitol		+	Escherichia	coli
147333	Potassium 5-ketogluconate		-	Escherichia	coli
147333	D-galacturonic acid		+	Escherichia	coli
147333	L-arabitol		-	Escherichia	coli
147333	urea		-	Escherichia	coli
147333	lysine		-	Escherichia	coli
147333	arginine		-	Escherichia	coli
147333	ornithine		-	Escherichia	coli
147333	trehalose		+	Escherichia	coli
147333	indole		produced	Escherichia	coli
147428			produced	Escherichia	coli
147519	sorbitol		+	Klebsiella	pneumoniae subsp. ozaenae
147519	cellobiose		+	Klebsiella	pneumoniae subsp. ozaenae
147519	myo-inositol		+	Klebsiella	pneumoniae subsp. ozaenae
147519	L-rhamnose		+	Klebsiella	pneumoniae subsp. ozaenae
147519	trehalose		+	Klebsiella	pneumoniae subsp. ozaenae
147519	D-arabitol		+	Klebsiella	pneumoniae subsp. ozaenae
147519	L-arabinose		+	Klebsiella	pneumoniae subsp. ozaenae
147519	sucrose		-	Klebsiella	pneumoniae subsp. ozaenae
147519	D-glucose		+	Klebsiella	pneumoniae subsp. ozaenae
147519	tryptophan		-	Klebsiella	pneumoniae subsp. ozaenae
147519	malonate		-	Klebsiella	pneumoniae subsp. ozaenae
147519	palatinose		+	Klebsiella	pneumoniae subsp. ozaenae
147519	ribitol		+	Klebsiella	pneumoniae subsp. ozaenae
147519	maltose		+	Klebsiella	pneumoniae subsp. ozaenae
147519	D-mannitol		+	Klebsiella	pneumoniae subsp. ozaenae
147519	Potassium 5-ketogluconate		-	Klebsiella	pneumoniae subsp. ozaenae
147519	D-galacturonic acid		+	Klebsiella	pneumoniae subsp. ozaenae
147519	L-arabitol		-	Klebsiella	pneumoniae subsp. ozaenae
147519	urea		-	Klebsiella	pneumoniae subsp. ozaenae
147519	lysine		+	Klebsiella	pneumoniae subsp. ozaenae
147519	ornithine		-	Klebsiella	pneumoniae subsp. ozaenae
147519	arginine		-	Klebsiella	pneumoniae subsp. ozaenae
147519	indole		produced	Klebsiella	pneumoniae subsp. ozaenae
147530			produced	Sphingomonas	sp.
147740	malate		-	Sphingomonas	sp.
147740	adipate		+	Sphingomonas	sp.
147740	decanoate		-	Sphingomonas	sp.
147740	gluconate		-	Sphingomonas	sp.
147740	maltose		-	Sphingomonas	sp.
147740	N-acetylglucosamine		-	Sphingomonas	sp.
147740	D-mannitol		-	Sphingomonas	sp.
147740	D-mannose		-	Sphingomonas	sp.
147740	L-arabinose		-	Sphingomonas	sp.
147740	D-glucose		-	Sphingomonas	sp.
147740	gelatin		-	Sphingomonas	sp.
147740	esculin		+	Sphingomonas	sp.
147740	urea		-	Sphingomonas	sp.
147740	arginine		-	Sphingomonas	sp.
147740	D-glucose		-	Sphingomonas	sp.
147740	tryptophan		-	Sphingomonas	sp.
147740	nitrate		-	Sphingomonas	sp.
147740	indole		produced	Sphingomonas	sp.
147745			produced	Escherichia	coli
147786	sorbitol		-	Escherichia	coli
147786	cellobiose		-	Escherichia	coli
147786	myo-inositol		-	Escherichia	coli
147786	L-rhamnose		-	Escherichia	coli
147786	trehalose		-	Escherichia	coli
147786	D-arabitol		-	Escherichia	coli
147786	L-arabinose		+	Escherichia	coli
147786	sucrose		-	Escherichia	coli
147786	D-glucose		-	Escherichia	coli
147786	tryptophan		+	Escherichia	coli
147786	palatinose		-	Escherichia	coli
147786	malonate		-	Escherichia	coli
147786	maltose		-	Escherichia	coli
147786	ribitol		-	Escherichia	coli
147786	D-mannitol		-	Escherichia	coli
147786	Potassium 5-ketogluconate		-	Escherichia	coli
147786	D-galacturonic acid		+	Escherichia	coli
147786	L-arabitol		-	Escherichia	coli
147786	urea		-	Escherichia	coli
147786	lysine		+	Escherichia	coli
147786	arginine		-	Escherichia	coli
147786	ornithine		+	Escherichia	coli
147786	indole		produced	Escherichia	coli
147853	nitrate		-	Bacteroides	fragilis
147853	tryptophan		-	Bacteroides	fragilis
147853	D-mannose		+	Bacteroides	fragilis
147853	raffinose		+	Bacteroides	fragilis
147853	urea		-	Bacteroides	fragilis
147853	L-glutamate		+	Bacteroides	fragilis
147853	arginine		-	Bacteroides	fragilis
147853	indole		produced	Bacteroides	fragilis
147878	tryptophan		+	Bacteroides	thetaiotaomicron
147878	nitrate		-	Bacteroides	thetaiotaomicron
147878	D-mannose		+	Bacteroides	thetaiotaomicron
147878	raffinose		+	Bacteroides	thetaiotaomicron
147878	arginine		-	Bacteroides	thetaiotaomicron
147878	urea		-	Bacteroides	thetaiotaomicron
147878	L-glutamate		+	Bacteroides	thetaiotaomicron
147878	indole		produced	Bacteroides	thetaiotaomicron
147901	nitrate		-	Bacteroides	fragilis
147901	L-glutamate		+	Bacteroides	fragilis
147901	D-mannose		+	Bacteroides	fragilis
147901	arginine		-	Bacteroides	fragilis
147901	urea		-	Bacteroides	fragilis
147901	tryptophan		-	Bacteroides	fragilis
147901	raffinose		+	Bacteroides	fragilis
147901	indole		produced	Bacteroides	fragilis
147982			produced	Bacteroides	ovatus
148030			produced	Escherichia	coli
148038	sorbitol		+	Klebsiella	pneumoniae
148038	cellobiose		+	Klebsiella	pneumoniae
148038	myo-inositol		+	Klebsiella	pneumoniae
148038	trehalose		+	Klebsiella	pneumoniae
148038	L-rhamnose		+	Klebsiella	pneumoniae
148038	L-arabinose		+	Klebsiella	pneumoniae
148038	D-arabitol		+	Klebsiella	pneumoniae
148038	sucrose		+	Klebsiella	pneumoniae
148038	D-glucose		+	Klebsiella	pneumoniae
148038	tryptophan		-	Klebsiella	pneumoniae
148038	malonate		+	Klebsiella	pneumoniae
148038	palatinose		+	Klebsiella	pneumoniae
148038	ribitol		+	Klebsiella	pneumoniae
148038	maltose		+	Klebsiella	pneumoniae
148038	D-mannitol		+	Klebsiella	pneumoniae
148038	Potassium 5-ketogluconate		-	Klebsiella	pneumoniae
148038	L-arabitol		-	Klebsiella	pneumoniae
148038	D-galacturonic acid		+	Klebsiella	pneumoniae
148038	urea		+	Klebsiella	pneumoniae
148038	lysine		+	Klebsiella	pneumoniae
148038	arginine		-	Klebsiella	pneumoniae
148038	ornithine		-	Klebsiella	pneumoniae
148038	indole		produced	Klebsiella	pneumoniae
148058			produced	Escherichia	coli
148060			produced	Escherichia	coli
148061	sorbitol		-	Klebsiella	pneumoniae subsp. ozaenae
148061	cellobiose		+	Klebsiella	pneumoniae subsp. ozaenae
148061	myo-inositol		+	Klebsiella	pneumoniae subsp. ozaenae
148061	trehalose		+	Klebsiella	pneumoniae subsp. ozaenae
148061	L-rhamnose		-	Klebsiella	pneumoniae subsp. ozaenae
148061	D-arabitol		-	Klebsiella	pneumoniae subsp. ozaenae
148061	L-arabinose		+	Klebsiella	pneumoniae subsp. ozaenae
148061	sucrose		-	Klebsiella	pneumoniae subsp. ozaenae
148061	D-glucose		+	Klebsiella	pneumoniae subsp. ozaenae
148061	tryptophan		-	Klebsiella	pneumoniae subsp. ozaenae
148061	malonate		-	Klebsiella	pneumoniae subsp. ozaenae
148061	ribitol		+	Klebsiella	pneumoniae subsp. ozaenae
148061	D-mannitol		+	Klebsiella	pneumoniae subsp. ozaenae
