bacdive_id	compound_name	chebi_id	utilization	genus	species_epithet
148449	malonate		+	Klebsiella	pneumoniae
148449	palatinose		+	Klebsiella	pneumoniae
148449	ribitol		+	Klebsiella	pneumoniae
148449	maltose		+	Klebsiella	pneumoniae
148449	D-mannitol		+	Klebsiella	pneumoniae
148449	D-galacturonic acid		+	Klebsiella	pneumoniae
148449	Potassium 5-ketogluconate		-	Klebsiella	pneumoniae
148449	L-arabitol		-	Klebsiella	pneumoniae
148449	urea		+	Klebsiella	pneumoniae
148449	lysine		+	Klebsiella	pneumoniae
148449	arginine		-	Klebsiella	pneumoniae
148449	ornithine		-	Klebsiella	pneumoniae
148449	D-glucose		+	Klebsiella	pneumoniae
148449	indole		produced	Klebsiella	pneumoniae
148471			produced	Bacteroides	uniformis
148516	sorbitol		+	Klebsiella	pneumoniae
148516	cellobiose		+	Klebsiella	pneumoniae
148516	myo-inositol		+	Klebsiella	pneumoniae
148516	L-rhamnose		+	Klebsiella	pneumoniae
148516	trehalose		+	Klebsiella	pneumoniae
148516	D-arabitol		+	Klebsiella	pneumoniae
148516	L-arabinose		+	Klebsiella	pneumoniae
148516	sucrose		-	Klebsiella	pneumoniae
148516	D-glucose		+	Klebsiella	pneumoniae
148516	tryptophan		-	Klebsiella	pneumoniae
148516	malonate		+	Klebsiella	pneumoniae
148516	palatinose		+	Klebsiella	pneumoniae
148516	ribitol		+	Klebsiella	pneumoniae
148516	D-mannitol		+	Klebsiella	pneumoniae
148516	Potassium 5-ketogluconate		-	Klebsiella	pneumoniae
148516	D-galacturonic acid		+	Klebsiella	pneumoniae
148516	L-arabitol		-	Klebsiella	pneumoniae
148516	urea		-	Klebsiella	pneumoniae
148516	lysine		+	Klebsiella	pneumoniae
148516	arginine		-	Klebsiella	pneumoniae
148516	ornithine		-	Klebsiella	pneumoniae
148516	maltose		+	Klebsiella	pneumoniae
148516	indole		produced	Klebsiella	pneumoniae
148535			produced	Escherichia	coli
