orgId	carbon_source	cpd_id	observed_growth	status	growth_after_gf	n_gapfilled_rxns	gapfilled_rxns
Koxy	Sodium butyrate	cpd00211	False	already_grows	11.5427	0	
Koxy	L-Leucine	cpd00107	False	already_grows	12.3439	0	
Koxy	L-Arabinose	cpd00224	False	already_grows	12.697	0	
Smeli	Sodium pyruvate	cpd00020	True	gapfilled	6.3812	16	EX_cpd15378_e0;DM_cpd02701_c0;rxn03436_c0;rxn12376_c0;rxn01539_c0;rxn02312_c0;rxn09310_c0;rxn02277_c0;rxn02185_c0;rxn05464_c0;rxn09149_c0;rxn16573_c0;rxn41452_c0;rxn21864_c0;rxn17731_c0;rxn20627_c0
Smeli	Sodium D,L-Lactate	cpd00159	True	already_grows	6.4972	0	
Smeli	L-Glutamine	cpd00053	True	already_grows	6.8452	0	
Smeli	L-Malic acid disodium salt monohydrate	cpd00130	True	already_grows	6.4972	0	
Smeli	Sodium succinate dibasic hexahydrate	cpd00036	True	already_grows	6.6132	0	
Smeli	Sodium L-Lactate	cpd00159	True	already_grows	6.4972	0	
Smeli	D-Fructose	cpd00082	True	already_grows	7.1933	0	
Smeli	D-Glucose	cpd00027	True	already_grows	7.1933	0	
Smeli	Sodium D-Lactate	cpd00221	False	already_grows	6.4972	0	
Smeli	N-Acetyl-D-Glucosamine	cpd00122	True	already_grows	5.801	0	
Smeli	D-Maltose monohydrate	cpd00179	True	already_grows	8.5855	0	
Smeli	Glycerol	cpd00100	True	already_grows	6.6132	0	
Smeli	a-Ketoglutaric acid disodium salt hydrate	cpd00024	False	already_grows	6.7292	0	
Smeli	D-Xylose	cpd00154	True	already_grows	6.9613	0	
Smeli	L-Proline	cpd00129	True	already_grows	7.0773	0	
Smeli	D-Trehalose dihydrate	cpd00794	True	already_grows	8.5855	0	
Smeli	L-Fucose	cpd00751	True	already_grows	5.801	0	
Smeli	Trisodium citrate dihydrate	cpd00137	False	already_grows	6.8452	0	
Smeli	Potassium acetate	cpd00029	False	already_grows	6.2651	0	
Smeli	L-Rhamnose monohydrate	cpd00396	True	already_grows	5.801	0	
Smeli	D-Sorbitol	cpd00588	True	already_grows	7.3093	0	
Smeli	D-Galactose	cpd00108	True	already_grows	5.801	0	
Smeli	D-Cellobiose	cpd00158	True	already_grows	5.801	0	
Smeli	D-Mannose	cpd00138	True	already_grows	7.1933	0	
Smeli	D-Gluconic Acid sodium salt	cpd00222	False	already_grows	7.0773	0	
Smeli	D-Ribose	cpd00105	True	already_grows	6.9613	0	
