orgId	locusId	sysName	geneName	desc	set1IT091 1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	set2IT075 1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT079 1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT083 1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT091 MOKA	set2IT092 Xantho_MME_glucose_casamino	set2IT093 Xantho_MME_glucose_dropout_LTH	set2IT094 Clovis xylem sap	set3IT072 MOKA	set3IT073 Xantho_MME_glucose_casamino	set3IT074 Xantho_MME_glucose_dropout_LTH	set3IT075 Clovis xylem sap	set3IT081 Xantho_MME_glucose_casamino	set3IT082 Xantho_MME_glucose_dropout_LTH	set3IT083 Clovis xylem sap	set3IT088 MOKA	set3IT089 Xantho_MME_glucose_casamino	set3IT090 Xantho_MME_glucose_dropout_LTH	set3IT091 Clovis xylem sap
Xantho	Xcc-8004.3340.1	Xcc-8004.3340.1		FIG01209728: hypothetical protein	-0.150	-0.102	-0.169	-0.364	0.071	-0.021	-0.292	0.201	0.319	-0.043	-0.177	0.284	-0.002	-0.097	-0.217	-0.025	0.212	-0.161	0.191
Xantho	Xcc-8004.3341.1	Xcc-8004.3341.1		FIG01209903: hypothetical protein	0.651	-0.386	-0.058	0.066	0.007	-0.573	0.161	0.278	0.020	0.129	-0.171	0.165	0.049	-0.151	-0.526	-0.185	-0.349	-0.422	-0.443
Xantho	Xcc-8004.3342.1	Xcc-8004.3342.1		Negative regulator of beta-lactamase expression	-0.641	-0.883	-0.874	-0.887	0.170	0.122	0.062	-0.405	0.040	0.160	0.001	-0.887	0.707	0.291	-1.287	0.256	0.449	0.320	-0.251
Xantho	Xcc-8004.3343.1	Xcc-8004.3343.1		FIG01209703: hypothetical protein	-0.052	0.293	0.154	0.230	0.139	0.077	-0.011	0.112	-0.304	-0.309	-0.028	-0.213	0.045	-0.093	0.054	0.022	-0.265	0.031	-0.100
Xantho	Xcc-8004.3344.1	Xcc-8004.3344.1		Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)	-0.389	-0.254	-0.012	0.034	0.028	0.145	-0.093	-0.160	-0.017	0.088	-0.196	0.092	0.165	-0.236	0.403	0.054	0.094	0.117	-0.142
Xantho	Xcc-8004.3345.1	Xcc-8004.3345.1		Hypothetical nudix hydrolase YeaB	0.031	0.046	-0.059	-0.158	0.123	0.011	-0.025	0.194	-0.221	-0.173	-0.100	-0.395	-0.042	-0.484	-0.087	-0.005	0.160	-0.204	-0.157
Xantho	Xcc-8004.3346.1	Xcc-8004.3346.1		hypothetical protein	-3.495	-2.906	-2.512	-2.108	-0.806	-2.419	-1.483	-1.014	-0.736	-1.332	-0.918	-1.456	-2.901	-0.740	-0.078	-1.077	-0.535	-0.015	-1.753
Xantho	Xcc-8004.335.1	Xcc-8004.335.1		putative membrane protein	0.283	-0.210	-0.013	-0.419	-0.176	0.087	-0.069	-0.193	0.062	0.047	-0.010	-0.088	-0.093	-0.165	0.438	0.165	-0.169	-0.140	-0.023
Xantho	Xcc-8004.3350.1	Xcc-8004.3350.1		Endonuclease III (EC 4.2.99.18)	0.252	-0.234	-0.065	-0.247	0.176	-0.029	0.036	-0.299	0.300	-0.199	0.388	0.522	-0.111	0.059	-0.064	-0.204	0.102	0.071	0.296
Xantho	Xcc-8004.3354.1	Xcc-8004.3354.1		Sulfate transporter family protein in cluster with carbonic anhydrase	0.273	0.117	0.324	0.012	0.067	0.139	-0.330	-0.151	-0.234	0.217	0.038	0.143	0.082	0.143	-0.126	0.205	0.220	0.003	0.142
Xantho	Xcc-8004.3355.1	Xcc-8004.3355.1		Carbonic anhydrase (EC 4.2.1.1)	0.061	0.098	-0.038	-0.081	-0.156	0.129	0.275	0.082	-0.180	-0.028	0.144	0.320	-0.001	-0.012	0.139	-0.043	-0.047	-0.186	-0.001
Xantho	Xcc-8004.3358.1	Xcc-8004.3358.1		hypothetical protein	0.068	-0.052	0.090	-0.145	0.028	0.043	0.069	-0.020	-0.085	0.080	0.102	-0.074	0.046	0.221	-0.096	-0.080	0.026	0.067	0.069
Xantho	Xcc-8004.3359.1	Xcc-8004.3359.1		Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	-0.036	-0.366	-0.200	-0.996	-0.018	0.144	-0.073	-0.046	0.311	0.064	0.240	-0.076	0.127	-0.010	-0.102	0.133	-0.062	-0.110	-0.023
Xantho	Xcc-8004.336.1	Xcc-8004.336.1		Alpha/beta hydrolase	0.200	-0.065	0.233	0.932	-0.225	-0.048	-0.014	-0.219	-0.307	-0.117	0.204	0.496	-0.015	-0.261	0.099	-0.358	-0.264	-0.067	0.251
Xantho	Xcc-8004.3360.1	Xcc-8004.3360.1		Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)	-1.922	-3.171	-1.743	-2.085	-0.082	-0.244	0.333	0.078	0.192	0.004	0.034	0.066	-0.314	-0.038	0.129	-0.115	-0.777	-0.069	-0.299
Xantho	Xcc-8004.3361.1	Xcc-8004.3361.1		Phosphate transport system permease protein PstC (TC 3.A.1.7.1)	-3.251	-4.015	-2.707	-3.326	0.086	-0.025	-0.206	0.050	0.118	0.024	0.257	0.011	-0.028	0.171	0.140	0.250	0.096	-0.021	-0.277
Xantho	Xcc-8004.3362.1	Xcc-8004.3362.1		Phosphate transport system permease protein PstA (TC 3.A.1.7.1)	-2.269	-2.118	-2.511	-2.266	0.053	0.247	0.107	-0.082	-0.067	-0.199	-0.036	0.092	0.013	0.006	0.230	0.040	0.267	-0.070	-0.333
Xantho	Xcc-8004.3363.1	Xcc-8004.3363.1		Phosphate transport ATP-binding protein PstB (TC 3.A.1.7.1)	-2.222	-3.026	-2.083	-1.528	0.038	0.245	0.293	0.164	-0.219	-0.154	0.252	0.126	-0.269	0.015	-0.186	-0.081	0.087	-0.046	-0.131
Xantho	Xcc-8004.3364.1	Xcc-8004.3364.1		Phosphate transport system regulatory protein PhoU	-0.575	-0.165	-0.446	-0.146	-0.092	0.099	0.068	-0.120	-0.172	0.224	0.073	-0.028	-0.030	0.081	-0.164	-0.081	0.041	0.131	0.062
Xantho	Xcc-8004.3365.1	Xcc-8004.3365.1		FIG01209831: hypothetical protein	-0.104	-0.484	-0.210	0.129	-0.199	-0.139	0.171	-0.047	-0.068	-0.728	-0.212	0.241	-0.159	0.035	0.016	-0.151	-0.610	-0.262	-0.336
Xantho	Xcc-8004.3366.1	Xcc-8004.3366.1		Ribonuclease T (EC 3.1.13.-)	-0.765	-0.013	-0.289	-0.607	0.311	0.175	-0.043	-0.019	0.199	0.203	-0.392	0.653	0.074	0.169	0.214	0.252	0.343	0.123	0.158
Xantho	Xcc-8004.3367.1	Xcc-8004.3367.1		GGDEF family protein	0.017	-0.058	0.035	-0.153	-0.034	-0.042	0.038	-0.005	0.099	0.007	0.101	-0.042	0.016	-0.181	0.013	0.044	-0.026	-0.183	-0.001
Xantho	Xcc-8004.3368.1	Xcc-8004.3368.1		23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	-0.025	-0.241	-0.035	0.309	-0.006	-0.166	0.301	0.071	0.310	0.152	0.320	0.273	-0.132	-0.202	0.170	-0.088	0.036	0.053	0.270
Xantho	Xcc-8004.3369.1	Xcc-8004.3369.1		Gfa-like protein	-0.327	0.031	-0.444	-0.002	-0.082	-0.035	0.043	-0.225	0.036	-0.038	-0.049	-0.134	0.074	-0.076	-0.145	0.078	0.027	0.063	-0.104
Xantho	Xcc-8004.337.1	Xcc-8004.337.1		ATPase, AFG1 family	-1.548	0.015	-1.500	-0.981	-1.859	-1.149	-1.062	-0.437	-0.258	-0.471	-0.414	1.034	-0.080	-0.566	-1.084	-0.639	-0.576	-1.211	-0.317
Xantho	Xcc-8004.3370.1	Xcc-8004.3370.1		3'-to-5' exoribonuclease RNase R	-0.239	-0.615	-0.373	-0.665	-0.142	-0.242	-0.293	-0.372	-0.204	-0.040	-0.421	-0.391	-0.073	-0.492	-0.562	-0.156	-0.190	-0.492	-0.251
Xantho	Xcc-8004.3372.1	Xcc-8004.3372.1		Beta-glucosidase (EC 3.2.1.21)	0.270	0.035	0.128	-0.388	0.082	-0.054	-0.126	-0.015	0.139	0.081	0.039	0.040	-0.103	0.084	-0.052	0.030	0.034	-0.170	-0.100
Xantho	Xcc-8004.3373.1	Xcc-8004.3373.1		hypothetical protein	0.441	0.063	0.135	-0.821	0.124	0.047	0.118	0.003	0.156	-0.224	-0.025	-0.229	-0.291	0.158	0.703	-0.120	0.138	-0.203	-0.109
Xantho	Xcc-8004.3374.1	Xcc-8004.3374.1		hypothetical protein	0.833	-0.490	0.552	-0.598	-0.590	-0.255	-0.731	-0.052	0.546	-0.463	-0.032	0.178	-0.073	-0.220	-0.128	-0.200	-0.121	0.046	-0.095
Xantho	Xcc-8004.3375.1	Xcc-8004.3375.1		hypothetical protein	-0.257	-0.371	0.912	-0.555	0.364	-0.007	-0.292	-0.400	0.286	-0.002	0.125	0.438	0.560	0.231	0.422	-0.048	0.131	0.178	-0.507
