orgId	locusId	sysName	geneName	desc	set1IT091 1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	set2IT075 1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT079 1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT083 1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT091 MOKA	set2IT092 Xantho_MME_glucose_casamino	set2IT093 Xantho_MME_glucose_dropout_LTH	set2IT094 Clovis xylem sap	set3IT072 MOKA	set3IT073 Xantho_MME_glucose_casamino	set3IT074 Xantho_MME_glucose_dropout_LTH	set3IT075 Clovis xylem sap	set3IT081 Xantho_MME_glucose_casamino	set3IT082 Xantho_MME_glucose_dropout_LTH	set3IT083 Clovis xylem sap	set3IT088 MOKA	set3IT089 Xantho_MME_glucose_casamino	set3IT090 Xantho_MME_glucose_dropout_LTH	set3IT091 Clovis xylem sap
Xantho	Xcc-8004.4954.1	Xcc-8004.4954.1		Peptidase B (EC 3.4.11.23)	-1.146	-2.340	-1.086	-3.221	-1.641	-0.588	-0.688	-0.351	0.271	1.321	1.098	0.459	-0.612	0.959	-1.943	-0.231	0.848	-0.174	-0.494
Xantho	Xcc-8004.4955.1	Xcc-8004.4955.1		Catalase (EC 1.11.1.6)	0.339	0.325	-0.001	0.727	0.893	0.475	1.291	1.037	-0.371	0.577	0.884	1.009	1.291	2.165	0.137	0.966	-0.657	1.085	0.963
Xantho	Xcc-8004.4956.1	Xcc-8004.4956.1		Cytochrome B561	-0.756	-1.027	-0.572	2.902	0.822	0.287	0.649	1.650	-0.685	-0.447	-1.356	0.024	-0.340	-0.077	-0.203	-0.467	-0.400	-0.833	-0.581
Xantho	Xcc-8004.4957.1	Xcc-8004.4957.1		hypothetical protein	-0.300	-0.737	-2.177	-1.543	-1.566	-2.339	0.546	1.920	0.084	-1.667	-0.700	-0.461	-1.281	-1.939	-1.400	-0.843	-0.834	0.340	-0.140
Xantho	Xcc-8004.496.1	Xcc-8004.496.1		Isopropylmalate/homocitrate/citramalate synthases	-0.397	-0.680	0.756	0.339	0.677	0.095	-0.362	1.005	-0.094	-0.077	0.515	0.670	0.779	1.081	0.061	0.332	0.032	0.634	0.295
Xantho	Xcc-8004.4960.1	Xcc-8004.4960.1		Sigma-70 factor precursor	-0.693	-1.116	-0.865	0.923	-0.923	-0.807	-0.316	-0.208	0.754	-0.144	-1.062	1.844	-1.050	-0.097	0.074	-0.933	-0.676	0.049	0.791
Xantho	Xcc-8004.4961.1	Xcc-8004.4961.1		Two-component system regulatory protein	-0.130	-1.103	-0.016	-2.466	-1.175	0.569	1.328	1.401	-0.183	-0.551	-0.909	-0.359	-0.779	-1.357	0.659	-0.538	-1.023	-1.070	-0.995
Xantho	Xcc-8004.4962.1	Xcc-8004.4962.1		sensor histidine kinase	-1.427	-1.436	-0.710	-0.060	-0.275	-0.107	0.316	-0.069	1.511	-1.677	-0.380	0.339	-0.994	-0.016	0.778	0.075	-0.080	-1.113	-0.808
Xantho	Xcc-8004.4963.1	Xcc-8004.4963.1		Acriflavin resistance protein	0.609	-0.502	-0.380	-0.138	-0.993	-0.513	-1.080	0.334	-0.529	-0.519	-0.597	-0.171	0.078	-0.932	0.571	0.191	-0.952	0.173	-0.516
Xantho	Xcc-8004.4965.1	Xcc-8004.4965.1		Methionine ABC transporter ATP-binding protein	0.281	0.817	-1.541	1.990	-0.883	-1.246	-0.287	0.457	-0.054	-0.653	-0.287	-0.375	-0.351	-1.349	-1.540	0.063	1.050	1.041	0.009
