cazy_class	H_statistic	p_value	p_adj
AA	767.2796485211411	8.281594527267263e-154	
CB	7527.25821588526	0.0	
CE	2584.028197038265	0.0	
CL			
GH	7792.8185277565135	0.0	
GT	12523.6629927159	0.0	
PL	893.0448969889572	1.0863434387044782e-180	
