ko_id,description,kegg_l1_code,kegg_l1_name,kegg_l2_code,kegg_l2_name,broad_category,simplified_category,in_mgnify,in_spire,in_nb15,in_nb15b,in_cme_pangenome,in_cme_levinsb
K00019,"BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00020,"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]",09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00021,HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],09100,Metabolism,09109,Metabolism of terpenoids and polyketides,Terpenoids / polyketides,Metabolism,True,True,True,True,False,False
K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,False,True,False,False,False,False
K00023,phbB; acetoacetyl-CoA reductase [EC:1.1.1.36],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00024,mdh; malate dehydrogenase [EC:1.1.1.37],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00027,"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00029,maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00031,"IDH1, IDH2, icd, IDP; isocitrate dehydrogenase [EC:1.1.1.42]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,True
K00032,E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,False,True,True,False,False
K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00034,gdh; glucose 1-dehydrogenase [EC:1.1.1.47],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00035,gal; D-galactose 1-dehydrogenase [EC:1.1.1.48],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,False,True,True,False,False
K00036,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00038,fabG3; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53],09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,True,True,True,True,False,False
K00039,rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,False,True,True,False,False
K00040,uxuB; fructuronate reductase [EC:1.1.1.57],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00041,uxaB; tagaturonate reductase [EC:1.1.1.58],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,False,True,True,False,False
K00042,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00043,gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00045,"mtlK, MAN; mannitol 2-dehydrogenase [EC:1.1.1.67]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00046,idnO; gluconate 5-dehydrogenase [EC:1.1.1.69],09190,Not Included in Pathway or Brite,09191,Unclassified: metabolism,Unclassified: metabolism,Metabolism,True,True,True,True,False,False
K00048,fucO; lactaldehyde reductase [EC:1.1.1.77],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00050,,,,,,Uncharacterized,Uncharacterized,True,False,True,True,False,False
K00052,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]",09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00053,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86],09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00054,mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88],09100,Metabolism,09109,Metabolism of terpenoids and polyketides,Terpenoids / polyketides,Metabolism,True,True,True,True,False,False
K00055,E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90],09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00057,gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,True,True,True,True,False,False
K00058,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]",09100,Metabolism,09102,Energy metabolism,Energy metabolism,Metabolism,True,True,True,True,False,False
K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",09100,Metabolism,09103,Lipid metabolism,Lipid metabolism,Metabolism,True,True,True,True,True,False
K00060,tdh; threonine 3-dehydrogenase [EC:1.1.1.103],09100,Metabolism,09105,Amino acid metabolism,Amino acid metabolism,Metabolism,True,True,True,True,False,False
K00064,E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,True,False
K00065,kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00066,algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
K00067,"rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]",09100,Metabolism,09107,Glycan biosynthesis and metabolism,Glycan biosynthesis / metabolism,Metabolism,True,True,True,True,False,False
K00068,srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140],09100,Metabolism,09101,Carbohydrate metabolism,Carbohydrate metabolism,Metabolism,True,True,True,True,False,False
