orgId	locusId	sysName	geneName	desc	set1IT006 KB	set1IT008 KB with Dimethyl Sulfoxide 0.42 vol%	set1IT012 KB with Acriflavine 1.25 ug/ml	set1IT014 KB with Ampicillin 0.775 ug/ml	set1IT016 KB with Berberine 15.6 ug/ml	set1IT018 KB with Carbenicillin 3.1 ug/ml	set1IT020 KB with Chloramphenicol 1.55 ug/ml	set1IT022 KB with Erythromycin 6.25 ug/ml	set1IT030 KB with Nalidixic 0.775 ug/ml	set1IT034 KB with Nitrofurantoin 31.25 ug/ml	set1IT038 KB with Phloretin 125 ug/ml	set1IT046 KB with Trimethoprim 15.6 ug/ml	set3IT010 KB with Acridine orange 3.125 ug/ml	set3IT020 KB with Mitomycin C 0.05 ug/ml	set4IT014 KB	set4IT016 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT018 KB with Rifampicin 0.1 mg/ml	set4IT020 KB with capsaicin 0.25 mg/ml	set4IT022 KB with capsaicin 0.125 mg/ml	set4IT026 KB with Flavone 0.125 mg/ml	set4IT028 KB with Rotenone 0.25 mg/ml	set4IT030 KB with Rotenone 0.125 mg/ml	set4IT032 KB with Nitrofurantoin 0.0625 mg/ml
SyringaeB728a_mexBdelta	Psyr_0028	Psyr_0028		Substrate-binding region of ABC-type glycine betaine transport system	-0.204	2.733	0.770	1.984	0.905	1.221	0.009	-0.793	0.342	1.949	0.651	0.151	0.392	0.532	-0.434	0.213	-0.424	-0.040	0.318	0.732	-0.018	-1.276	0.156
SyringaeB728a_mexBdelta	Psyr_0029	Psyr_0029		Sulfatase	0.147	0.008	0.320	-0.082	0.603	1.704	0.090	-0.036	1.208	-0.373	0.273	-0.023	-0.486	-0.146	0.651	-0.176	0.443	1.198	-0.166	0.285	-0.072	0.811	-0.020
SyringaeB728a_mexBdelta	Psyr_0030	Psyr_0030		transcriptional regulator, LysR family	0.367	0.042	0.845	0.267	0.333	2.229	-0.648	0.419	0.183	-0.845	0.214	-0.475	-0.087	-0.326	0.351	1.274	0.374	-0.146	0.188	0.375	-0.365	0.673	1.497
SyringaeB728a_mexBdelta	Psyr_0031	Psyr_0031		Alpha/beta hydrolase fold protein	-0.718	0.858	0.357	-0.459	0.247	-0.450	0.104	-0.163	0.234	0.126	-0.627	-0.168	1.172	0.102	-0.082	-0.419	0.224	0.294	-0.152	0.175	0.340	-0.018	0.351
SyringaeB728a_mexBdelta	Psyr_0032	Psyr_0032		conserved hypothetical protein	-0.135	-1.445	-0.005	1.462	-0.210	2.461	0.624	-0.352	-1.073	-0.126	-0.060	-0.916	0.555	1.400	-1.104	-1.894	-0.453	-0.103	-0.799	-0.176	-2.732	-0.554	-0.689
SyringaeB728a_mexBdelta	Psyr_0033	Psyr_0033		tryptophan synthase, alpha chain	-2.121	-2.804	-1.752	-1.610	-1.822	2.399	-1.103	-0.436	-1.286	-2.405	-3.615	-1.456	0.462	0.045	-1.427	-2.825	-1.363	-2.238	-3.483	-3.484	-2.691	-3.947	-2.408
SyringaeB728a_mexBdelta	Psyr_0034	Psyr_0034		tryptophan synthase, beta chain	-1.475	-2.641	-2.583	-2.264	-1.402	-1.768	-2.275	-3.247	-2.914	-2.057	-2.886	-0.999	-2.307	-3.165	-0.286	-1.416	-1.353	-1.555	-1.021	-1.006	-1.039	-1.460	-2.665
SyringaeB728a_mexBdelta	Psyr_0035	Psyr_0035		regulatory protein, LysR:LysR, substrate-binding protein	-0.026	-0.403	0.658	-0.061	-0.137	0.026	0.588	-0.752	0.120	-0.144	0.198	-0.046	-1.027	-1.410	0.968	0.975	0.048	0.941	-0.503	0.106	0.160	0.471	1.464
SyringaeB728a_mexBdelta	Psyr_0036	Psyr_0036		protein of unknown function DUF883	-0.596	0.929	1.038	-1.580	-1.311	0.656	-0.886	-0.064	0.010	-0.706	-0.091	-0.986	3.953	1.875	0.118	-1.007	-0.775	-0.232	-1.176	0.983	-0.914	0.239	-1.733
SyringaeB728a_mexBdelta	Psyr_0038	Psyr_0038		Protein of unknown function DUF1161	0.607	0.705	0.743	-0.686	0.985	-0.525	0.207	0.318	0.440	1.366	-1.916	0.442	-1.077	0.189	0.532	0.535	-1.215	-0.451	-0.074	-0.057	1.464	-0.087	0.426
SyringaeB728a_mexBdelta	Psyr_0039	Psyr_0039		luciferase	0.527	2.089	1.239	-0.095	0.343	2.344	0.031	1.311	0.733	0.601	-0.085	0.791	-1.333	-0.031	1.047	0.236	-0.373	0.509	-0.231	0.209	0.281	0.361	1.165
SyringaeB728a_mexBdelta	Psyr_0040	Psyr_0040		OsmC-like protein	-1.263	-1.170	-0.180	-0.659	0.012	-0.210	-1.832	-2.215	-0.935	-1.602	0.100	-1.236	-0.639	0.349	0.547	1.236	0.796	1.935	-0.163	0.881	-0.112	0.436	0.234
SyringaeB728a_mexBdelta	Psyr_0041	Psyr_0041		Protein of unknown function DUF1161	-0.794	0.925	0.157	-0.336	-0.306	1.707	1.489	0.595	0.811	0.401	0.372	1.319	-1.082	-0.359	-0.125	-0.690	0.238	-0.742	-0.349	-0.776	-0.758	-0.076	-0.662
SyringaeB728a_mexBdelta	Psyr_0042	Psyr_0042		lipoprotein, putative	0.283	0.306	-0.828	0.090	-0.226	-3.434	-0.496	-1.596	-1.292	-1.683	0.155	0.070	-0.756	-1.705	-0.110	0.332	0.663	0.610	0.322	1.011	-0.126	0.365	-0.308
SyringaeB728a_mexBdelta	Psyr_0043	Psyr_0043		conserved hypothetical protein	-1.071	-0.051	-1.126	-1.482	-1.738	-0.034	1.100	-5.399	-3.243	-1.052	-0.143	-0.365	0.720	0.532	-0.086	-0.427	0.698	-0.782	0.156	0.734	-0.574	-0.280	0.114
SyringaeB728a_mexBdelta	Psyr_0045	Psyr_0045		oligopeptidase A, Metallo peptidase, MEROPS family M03A	-1.271	-0.412	-1.095	-1.728	-2.139	5.585	-1.094	-1.329	-0.330	-0.385	-1.487	0.362	-0.471	0.798	-0.909	-0.679	0.540	-0.084	0.083	0.329	-0.275	0.771	-0.648
SyringaeB728a_mexBdelta	Psyr_0046	Psyr_0046		conserved hypothetical protein	-0.851	0.323	-0.293	-0.180	0.514	2.247	-1.534	-0.215	-0.070	0.110	-0.112	-0.427	0.786	-0.357	1.341	0.271	-0.032	-0.972	-0.358	-1.082	1.420	0.971	-0.036
SyringaeB728a_mexBdelta	Psyr_0047	Psyr_0047		hypothetical protein	-0.231	-0.906	-1.218	0.979	0.129	-0.560	-0.283	-1.043	-0.126	0.970	-1.167	-0.418	0.676	2.410	0.162	-1.016	-1.142	0.182	0.471	0.395	-0.606	0.862	-0.474
SyringaeB728a_mexBdelta	Psyr_0048	Psyr_0048		conserved hypothetical protein	-0.364	0.491	0.260	-0.052	-0.929	-1.287	0.604	-0.339	1.281	0.091	-0.293	-0.678	0.725	2.491	1.332	-0.339	0.198	-0.459	-0.077	-0.475	-0.307	1.206	0.178
SyringaeB728a_mexBdelta	Psyr_0049	Psyr_0049		Cytochrome c, class I:Iron permease FTR1	0.608	0.554	0.810	0.474	-1.078	1.501	0.826	0.391	0.318	0.755	0.503	-0.172	-0.625	0.667	0.584	0.771	0.054	0.384	0.390	0.038	-0.318	0.624	0.408
SyringaeB728a_mexBdelta	Psyr_0050	Psyr_0050		Lysine exporter protein (LYSE/YGGA)	0.520	-0.300	-0.501	-0.616	1.038	-0.784	0.830	-0.859	0.443	0.602	1.458	-0.168	-1.765	-1.262	-0.780	-0.280	-1.268	-1.046	-1.620	-0.053	1.153	-0.933	-0.920
SyringaeB728a_mexBdelta	Psyr_0051	Psyr_0051		conserved hypothetical protein	1.237	-0.570	0.360	0.676	2.114	0.924	0.515	0.627	1.491	1.647	0.718	1.280	0.036	0.171	-0.513	0.794	1.386	0.337	0.868	0.724	1.080	0.769	1.180
SyringaeB728a_mexBdelta	Psyr_0052	Psyr_0052		ABC transporter	0.835	-1.209	-0.063	0.481	-0.812	-0.196	-0.787	0.211	-0.327	-1.311	0.844	0.677	1.168	2.508	-0.833	0.332	0.527	-0.894	0.548	-0.202	-0.258	0.563	-0.454
SyringaeB728a_mexBdelta	Psyr_0053	Psyr_0053		conserved hypothetical protein	1.729	1.149	0.289	-0.423	-0.426	-0.294	1.534	0.763	-0.364	0.629	0.485	0.301	1.533	2.278	-1.423	-0.701	-0.287	-0.590	-0.671	-1.207	-0.229	-0.379	-1.137
SyringaeB728a_mexBdelta	Psyr_0054	Psyr_0054		alginate regulatory protein AlgR3	-0.691	0.528	1.461	-0.246	-0.483	1.554	1.860	0.405	-0.472	0.974	-0.020	0.153	-1.166	-1.240	-1.108	-2.509	-1.020	-1.764	-0.856	-2.582	-1.407	-1.571	-2.703
SyringaeB728a_mexBdelta	Psyr_0055	Psyr_0055		FKBP-type peptidyl-prolyl isomerase, N-terminal:Peptidylprolyl isomerase, FKBP-type	-0.508	-1.306	-0.150	-1.237	0.455	-0.565	-0.130	-2.399	-0.301	-0.810	0.911	-0.382	0.432	-0.963	0.002	-0.718	-1.397	-0.547	-1.721	-0.432	-0.171	0.236	-1.778
SyringaeB728a_mexBdelta	Psyr_0056	Psyr_0056		Regulator of RNA polymerase sigma(70) subunit, Rsd/AlgQ	-0.473	0.025	-0.113	-0.227	-0.544	0.922	-0.254	-1.533	0.278	1.149	-0.337	1.289	-0.284	-0.321	-0.205	-1.226	-0.784	-1.101	-0.296	-0.747	-2.117	-0.011	0.855
SyringaeB728a_mexBdelta	Psyr_0057	Psyr_0057		conserved hypothetical protein	-0.152	0.251	0.887	-1.414	-1.035	2.923	-0.804	-0.041	0.141	-0.498	0.760	-1.012	0.282	2.185	-1.146	-0.679	0.690	0.578	-0.013	0.974	-1.125	-0.232	0.156
SyringaeB728a_mexBdelta	Psyr_0058	Psyr_0058		Disulfide bond formation protein DsbB	-1.644	0.071	-0.237	-1.151	-0.668	0.049	-1.163	-0.397	-1.068	-0.614	0.524	-1.519	-0.893	-1.517	-1.026	-0.608	-0.545	0.429	0.380	0.630	-1.406	-0.121	-0.195
SyringaeB728a_mexBdelta	Psyr_0059	Psyr_0059		HemY, N-terminal:HemY, N-terminal:HemY, N-terminal	-0.744	0.010	-1.305	-0.694	-2.494	2.160	-0.775	-0.845	-0.135	-1.096	-1.722	0.084	1.395	2.496	0.842	0.716	1.108	-0.545	0.376	0.390	0.317	-0.215	1.130
SyringaeB728a_mexBdelta	Psyr_0060	Psyr_0060		Protein of unknown function DUF513	-0.440	-0.001	-0.738	1.896	-0.399	-0.132	-0.387	-0.067	0.650	-1.386	-0.826	-0.699	-0.429	0.751	-0.735	-1.823	-0.344	-2.799	-2.078	0.279	-1.022	0.435	-0.632
