orgId	locusId	sysName	geneName	desc	set1IT023 D-Glucose 20 mM (C)	set1IT024 D-Glucose 20 mM (C)	set1IT031 (+)-Arabinogalactan 5 mg/ml (C)	set1IT032 (+)-Arabinogalactan 5 mg/ml (C)	set1IT035 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT036 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT037 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT038 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT041 D-Maltose 20 mM (C)	set1IT042 D-Maltose 20 mM (C)	set1IT043 D-Raffinose 20 mM (C)	set1IT044 D-Raffinose 20 mM (C)	set1IT049 D-Glucose 20 mM (C)	set1IT050 D-Glucose 20 mM (C)	set1IT067 L-Fucose 20 mM (C)	set1IT068 L-Fucose 20 mM (C)	set1IT071 D-Glucosamine Hydrochloride 20 mM (C)	set1IT072 D-Glucosamine Hydrochloride 20 mM (C)	set1IT077 D-Maltose 20 mM (C)	set1IT078 D-Maltose 20 mM (C)	set1IT085 D-Raffinose 20 mM (C)	set1IT086 D-Raffinose 20 mM (C)
Bvulgatus_CL09T03C04	HMPREF1058_RS01515	HMPREF1058_RS01515		1-deoxy-D-xylulose-5-phosphate synthase	0.299	1.059	3.041	2.792	1.171	1.570	0.685	1.371	1.248	0.859	2.006	1.697	-0.501	0.986	1.630	1.968	1.134	0.976	-0.226	0.276	1.553	0.485
Bvulgatus_CL09T03C04	HMPREF1058_RS01520	HMPREF1058_RS01520		helix-turn-helix transcriptional regulator	0.439	0.126	-0.245	-0.749	0.786	-0.676	1.660	1.253	0.479	1.890	1.206	-0.019	0.028	0.699	0.415	0.593	-0.485	-0.994	1.707	2.084	0.770	-1.017
Bvulgatus_CL09T03C04	HMPREF1058_RS01525	HMPREF1058_RS01525		helix-turn-helix transcriptional regulator	1.306	0.618	-2.518	-1.030	2.337	1.377	0.160	0.654	0.161	2.320	1.249	0.980	-1.498	1.003	1.760	0.228	1.107	-0.421	0.743	1.713	-0.450	2.343
Bvulgatus_CL09T03C04	HMPREF1058_RS01530	HMPREF1058_RS01530		NAD(P)H-dependent oxidoreductase	-0.038	-1.209	1.126	1.796	-0.535	1.792	0.233	0.142	1.371	0.300	-0.396	0.305	0.504	-0.337	0.465	1.450	0.915	1.248	0.815	-0.504	0.317	1.342
Bvulgatus_CL09T03C04	HMPREF1058_RS01535	HMPREF1058_RS01535		flavin reductase family protein	-0.407	0.770	-0.215	-0.394	0.653	0.753	-0.406	1.264	0.976	1.029	-0.050	0.425	-0.444	-0.943	0.127	0.549	0.627	-0.326	-0.168	2.075	0.987	0.697
Bvulgatus_CL09T03C04	HMPREF1058_RS01540	HMPREF1058_RS01540		precorrin-3B C(17)-methyltransferase	-1.258	-1.399	-6.830	-6.311	-6.732	-8.153	-6.367	-8.974	-8.718	-8.992	-9.016	-7.153	-1.423	-4.019	-10.512	-8.515	-5.688	-9.556	-6.817	-9.182	-7.797	-7.232
Bvulgatus_CL09T03C04	HMPREF1058_RS01545	HMPREF1058_RS01545		bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase	-0.519	-0.070	-3.488	-3.573	-4.843	-3.900	-4.263	-4.840	-5.184	-5.566	-3.592	-2.976	0.436	-0.847	-5.533	-6.165	-4.462	-6.162	-5.319	-5.478	-5.047	-3.302
Bvulgatus_CL09T03C04	HMPREF1058_RS01550	HMPREF1058_RS01550		precorrin-4 C(11)-methyltransferase	-2.528	-2.714	-7.071	-6.526	-8.768	-8.396	-6.407	-8.235	-9.175	-9.179	-8.452	-8.677	-1.732	-5.814	-11.584	-11.101	-7.379	-9.785	-8.887	-10.175	-8.213	-9.431
Bvulgatus_CL09T03C04	HMPREF1058_RS01555	HMPREF1058_RS01555		cobalt-precorrin-5B (C(1))-methyltransferase	-1.483	-2.197	-0.589	-0.577	-5.435	-6.263	-4.039	-4.309	-5.271	-4.157	-2.561	-3.265	-0.594	-4.354	-7.574	-6.735	-3.169	-6.183	-4.682	-3.807	-2.747	-7.152
Bvulgatus_CL09T03C04	HMPREF1058_RS01560	HMPREF1058_RS01560		ABC transporter ATP-binding protein	-4.042	-1.274	-3.924	-3.661	-4.007	-6.320	-5.534	-5.485	-6.380	-6.496	-6.230	-5.201	-0.785	-3.664	-5.772	-7.534	-5.566	-7.502	-5.675	-5.057	-5.775	-5.163
Bvulgatus_CL09T03C04	HMPREF1058_RS01565	HMPREF1058_RS01565		iron ABC transporter permease	-3.302	-1.914	-8.830	-6.464	-8.697	-9.480	-8.225	-7.517	-6.912	-9.492	-7.489	-7.590	1.319	-5.714	-10.455	-11.273	-6.859	-9.977	-8.286	-8.953	-9.306	-9.723
Bvulgatus_CL09T03C04	HMPREF1058_RS01570	HMPREF1058_RS01570		ABC transporter substrate-binding protein	-1.700	-1.001	-5.948	-3.999	-5.115	-6.972	-4.458	-7.200	-7.710	-8.082	-8.854	-7.261	-1.056	-5.110	-8.969	-10.301	-5.215	-10.005	-7.852	-7.905	-7.459	-7.608
Bvulgatus_CL09T03C04	HMPREF1058_RS01575	HMPREF1058_RS01575		precorrin-2 C(20)-methyltransferase	-3.343	-2.768	-5.674	-4.040	-7.673	-8.070	-8.737	-6.464	-7.176	-8.338	-5.034	-7.372	-0.652	-5.981	-10.656	-10.051	-6.289	-7.845	-8.329	-9.463	-7.892	-8.075
Bvulgatus_CL09T03C04	HMPREF1058_RS01580	HMPREF1058_RS01580		hypothetical protein	2.027	0.493	0.526	0.785	0.718	1.128	-0.581	0.752	1.497	-0.398	1.276	0.599	-0.226	0.332	-0.776	1.034	0.136	0.943	1.454	0.995	1.133	0.489
Bvulgatus_CL09T03C04	HMPREF1058_RS01585	HMPREF1058_RS01585		tagaturonate reductase	1.589	-1.092	-0.925	-2.790	1.208	-1.820	1.068	0.041	-1.671	-0.206	0.200	0.824	-1.838	-1.096	1.053	1.317	-0.138	-1.132	-0.659	-0.311	-0.700	0.836
