orgId	locusId	sysName	geneName	desc	set1IT005 KB	set1IT007 KB with Dimethyl Sulfoxide 1 vol%	set1IT011 KB with Acriflavine 7.75 ug/ml	set1IT013 KB with Ampicillin 15.6 ug/ml	set1IT015 KB with Berberine 250 ug/ml	set1IT017 KB with Carbenicillin 250 ug/ml	set1IT019 KB with Chloramphenicol 12.5 ug/ml	set1IT021 KB with Erythromycin 25 ug/ml	set1IT029 KB with Nalidixic 12.5 ug/ml	set1IT033 KB with Nitrofurantoin 125 ug/ml	set1IT037 KB with Phloretin 250 ug/ml	set1IT045 KB with Trimethoprim 125 ug/ml	set1IT049 Green bean; epiphytic	set1IT050 Green bean; epiphytic	set2IT076 apoplastic, grinding recovery; Green bean	set2IT077 apoplastic, grinding recovery; Green bean	set2IT080 epiphytic; Green bean	set2IT081 epiphytic; Green bean	set2IT095 apoplastic, chopping recovery; Green bean	set3IT009 KB with Acridine orange 62.5 ug/ml	set3IT019 KB with Mitomycin C 0.625 ug/ml	set3IT031 epiphytic; Green bean	set3IT032 epiphytic; Green bean	set3IT039 apoplastic; Lima bean	set3IT040 apoplastic; Lima bean	set4IT013 KB	set4IT015 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT017 KB with Rifampicin 0.1 mg/ml	set4IT019 KB with capsaicin 0.25 mg/ml	set4IT021 KB with capsaicin 0.125 mg/ml	set4IT025 KB with Flavone 0.125 mg/ml	set4IT027 KB with Rotenone 0.25 mg/ml	set4IT029 KB with Rotenone 0.125 mg/ml	set4IT031 KB with Nitrofurantoin 0.25 mg/ml	set5IT059 apoplastic; Lima bean	set5IT060 apoplastic; Lima bean	set6IT083 apoplastic; Green bean; 6 days	set6IT084 apoplastic; Green bean; 6 days	set7IT014 apoplastic; Lima bean	set7IT015 apoplastic; Lima bean	set7IT018 apoplastic; Pepper	set7IT019 apoplastic; Pepper	set7IT026 apoplastic; Pepper	set7IT027 apoplastic; Pepper	set7IT030 apoplastic; Pepper	set7IT031 apoplastic; Pepper
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	-3.107	-1.211	-2.961	-2.037	-2.722	-1.975	-2.402	-1.205	-0.427	-12.348	-1.687	-2.796	-1.675	-2.528	-1.306	0.052	-1.182	-1.110	-0.146	-1.177	-2.846	-2.981	-2.197	-2.250	-1.423	-0.801	-1.104	-0.738	-0.624	-0.045	-0.554	-0.774	-1.284	-12.975	-0.908	-0.526	0.986	0.484	-1.475	-0.434	-0.074	-0.251	-1.873	-2.480	-2.356	-1.276
SyringaeB728a	Psyr_0005	Psyr_0005		conserved hypothetical protein	-0.239	0.213	0.315	-0.604	-1.018	0.459	-0.295	-0.039	0.217	-0.423	1.174	-1.321	-0.731	-0.188	-0.723	0.911	0.341	0.837	1.223	-1.160	-2.299	-1.844	-0.998	-0.283	-0.497	-0.580	-0.384	0.656	-0.336	0.381	0.228	0.495	-0.137	0.361	0.486	-0.267	-0.334	-0.219	-0.232	-0.082	0.713	0.847	-1.781	-0.712	-0.747	-0.240
SyringaeB728a	Psyr_0006	Psyr_0006		putative phenylacetaldoxime dehydratase	-0.827	-0.631	-2.248	-0.314	-3.615	-1.172	-0.513	-0.743	-0.565	-0.876	-0.076	-0.833	-2.285	-2.030	1.881	2.224	-0.497	-0.754	-1.093	-0.186	-0.688	-1.610	-1.315	0.976	1.161	0.518	0.791	-0.472	0.654	0.508	-0.116	-0.322	0.429	0.716	0.678	1.120	-0.368	-0.107	-0.506	0.220	1.407	1.615	0.518	0.751	0.321	1.008
SyringaeB728a	Psyr_0007	Psyr_0007		Aliphatic nitrilase	0.058	-0.674	-0.945	-1.081	-2.559	0.671	0.302	-0.728	-0.642	-1.011	0.760	-0.310	-1.042	-0.755	-0.400	0.768	0.308	1.409	-1.006	-1.501	-1.385	-0.609	-0.332	-0.723	-0.587	-0.311	1.273	0.392	-0.028	-0.586	0.333	-0.417	-0.467	0.627	1.016	0.938	-0.084	-0.315	0.761	0.867	0.501	-0.039	-0.736	-0.399	-0.543	0.318
SyringaeB728a	Psyr_0008	Psyr_0008		transcriptional regulator, AraC family	0.189	0.514	-1.227	-1.662	-0.964	-1.009	-0.114	0.778	-0.969	-1.440	0.088	-0.555	-1.679	-1.082	0.650	-0.132	-1.460	-0.890	-0.184	1.774	-0.030	0.240	-0.041	0.997	1.306	-0.415	-0.351	-0.468	-0.510	-0.247	-0.181	-0.676	0.058	0.477	-1.804	-1.067	1.072	0.819	0.743	0.633	1.014	0.431	0.088	-0.031	-0.038	0.264
SyringaeB728a	Psyr_0013	Psyr_0013		DNA-3-methyladenine glycosylase I	0.396	0.107	1.393	1.082	0.080	0.171	1.469	0.114	0.963	-0.203	-0.066	-0.271	0.348	1.201	0.295	1.395	-0.231	0.145	-0.725	-0.536	0.207	-0.380	-1.460	0.112	0.819	-0.068	0.707	-0.250	0.517	0.143	0.596	-0.069	0.794	0.168	-0.768	0.263	-0.801	-0.957	-0.364	0.472	0.108	0.967	-1.492	-1.961	-0.814	-0.258
SyringaeB728a	Psyr_0014	Psyr_0014		lipid A biosynthesis acyltransferase	-0.821	-4.607	-4.364	-0.698	-2.920	-4.069	-3.818	-4.103	-5.051	-2.183	-1.028	-0.463	-2.620	-1.646	-2.528	-3.090	-2.381	-1.404	-3.454	-5.285	-4.316	-2.018	-1.858	-3.826	-3.768	-2.896	-3.997	-2.455	-4.581	-3.040	-5.192	-5.223	-4.676	-3.711	-3.807	-3.688	-5.352	-4.114	-4.545	-3.583	-4.016	-2.389	-2.819	-3.185	-2.736	-2.306
SyringaeB728a	Psyr_0015	Psyr_0015		Oxidoreductase alpha (molybdopterin) subunit	-0.423	-0.280	-0.440	-0.356	-1.209	0.435	-0.331	-0.347	-0.088	-0.292	0.031	-0.090	0.064	-0.216	-0.234	0.486	-0.795	0.502	0.634	-0.073	-0.483	0.060	-0.467	-1.040	-1.214	1.057	0.958	0.800	0.866	0.833	0.942	0.607	0.818	0.362	0.074	0.853	0.142	-0.412	0.073	-0.161	-0.764	-0.131	-0.608	-0.446	0.090	0.159
SyringaeB728a	Psyr_0016	Psyr_0016		TrkA-N:TrkA-C	-1.609	0.829	-0.264	-0.823	-1.435	-0.702	0.699	-0.739	0.774	-0.029	-0.755	-0.589	-0.384	1.151	-1.303	0.681	-0.345	-0.372	0.635	-0.457	-2.105	0.331	-0.795	-0.322	-0.142	-0.064	0.820	0.452	0.233	-0.473	-0.191	-0.617	0.228	0.079	-1.763	-1.433	-0.004	-0.438	-0.258	-0.108	0.804	0.958	-0.448	-1.177	-1.435	0.149
SyringaeB728a	Psyr_0017	Psyr_0017		16S rRNA m(5)C-967 methyltransferase	-2.764	-2.015	-3.407	-1.429	-2.394	-1.818	-0.070	-1.310	0.403	-0.563	-0.491	-1.331	-1.672	-2.720	2.771	3.412	-0.912	-2.225	0.920	-1.381	0.738	-2.765	-1.881	-2.661	-2.023	-0.231	-2.516	-1.421	-2.653	-2.505	-3.556	-2.995	-1.780	-2.301	0.695	1.517	-0.067	0.365	-1.177	-1.186	1.005	2.000	-1.290	-0.630	-0.400	-0.160
SyringaeB728a	Psyr_0020	Psyr_0020		Peptidoglycan-binding LysM	0.633	0.471	1.282	0.964	0.451	1.256	0.720	-1.617	0.559	0.909	0.650	-0.037	0.797	-0.329	1.474	0.667	0.192	1.059	2.016	1.997	1.573	-0.110	1.006	-0.780	-1.272	-0.658	-0.197	-3.901	-1.463	-0.997	-1.620	-0.416	-1.328	-1.275	-0.877	1.123	-3.147	-2.544	0.285	0.057	0.623	0.428	1.298	1.850	3.106	1.920
SyringaeB728a	Psyr_0021	Psyr_0021		DNA protecting protein DprA	-0.287	1.467	0.019	0.246	-1.252	0.187	-0.671	0.539	-0.022	0.215	-0.853	-0.693	-0.625	-1.263	0.567	0.869	-0.014	-0.082	0.941	-1.244	-1.964	-0.424	-1.737	0.426	0.689	0.959	1.999	0.308	-0.337	0.772	-0.262	0.111	-0.852	0.415	-0.719	-0.244	-0.004	-0.194	-0.603	0.428	-0.744	0.221	-0.236	0.161	-0.988	-0.940
SyringaeB728a	Psyr_0023	Psyr_0023		Zinc-containing alcohol dehydrogenase superfamily	-0.110	-0.093	1.234	-0.542	-0.898	-0.073	-0.333	-0.236	0.994	0.053	-0.433	-0.880	-0.005	0.048	-0.184	1.275	-0.591	-1.074	0.791	0.879	0.360	1.072	1.078	-0.243	0.262	0.033	-0.820	0.131	1.377	-0.216	0.606	-0.537	0.120	-0.585	0.396	-0.182	0.130	-0.217	0.002	-1.138	-0.361	-0.962	-0.491	-1.299	-0.013	0.987
SyringaeB728a	Psyr_0025	Psyr_0025		shikimate dehydrogenase	-1.174	0.062	0.152	-1.170	-1.630	-0.979	1.963	0.987	4.651	-1.422	-2.178	-1.574	-3.135	-3.780	-2.257	-2.532	-2.973	-2.418	-4.459	-0.075	0.220	-2.167	-2.229	-5.365	-4.703	-0.617	0.239	1.142	-0.293	1.075	0.411	1.048	-1.290	1.715	-4.751	-3.597	-2.316	-2.080	-6.196	-4.967	1.307	0.029	-3.326	-2.110	0.460	-0.490
SyringaeB728a	Psyr_0026	Psyr_0026		Sulfate transporter/antisigma-factor antagonist STAS:Sulphate transporter	0.472	0.069	0.010	-0.293	-0.528	0.497	-0.015	-0.354	-0.019	-0.608	-0.023	-0.299	-1.080	0.107	-0.813	-0.607	-0.615	-0.149	1.012	0.733	0.604	0.923	0.579	-1.001	-1.949	0.986	1.085	-0.410	0.386	-0.559	0.674	1.038	0.196	1.171	1.292	1.021	0.631	-0.179	-1.142	-0.908	-0.220	0.602	0.651	-0.684	-1.916	-1.918
SyringaeB728a	Psyr_0027	Psyr_0027		conserved hypothetical protein	0.559	0.466	-0.730	-0.091	-1.201	0.074	0.048	-0.844	-0.120	-0.843	0.021	-0.494	-0.192	-0.498	-0.163	-0.098	1.220	-2.007	0.628	2.364	0.621	1.655	0.351	0.462	-0.156	1.003	0.801	1.143	0.503	0.916	0.446	0.798	1.338	0.591	1.314	1.236	0.203	0.233	-2.352	-1.906	-1.325	-1.997	2.015	1.179	1.420	0.905
SyringaeB728a	Psyr_0028	Psyr_0028		Substrate-binding region of ABC-type glycine betaine transport system	-0.836	-1.128	0.128	0.374	-0.042	-0.115	0.068	0.312	-0.059	-0.809	-0.882	-2.181	1.165	1.671	-0.527	-0.593	-0.320	1.500	0.357	1.087	0.301	1.608	1.126	-0.254	0.717	1.098	2.505	0.098	1.047	0.412	1.866	0.984	0.670	0.409	1.933	1.935	1.086	1.681	-0.030	0.259	0.639	1.049	0.150	-0.541	0.904	0.652
SyringaeB728a	Psyr_0029	Psyr_0029		Sulfatase	0.548	0.637	0.507	0.119	0.431	0.945	1.277	0.768	-0.876	0.515	1.254	1.477	0.137	-0.762	-0.641	1.370	0.019	-1.166	0.292	0.470	0.119	-1.026	-0.514	-0.367	-0.997	-0.751	0.022	-0.177	-0.998	-1.199	-0.242	-0.513	-0.958	-0.304	0.619	1.500	-0.013	-0.611	-0.105	-0.069	0.231	-0.383	-0.069	0.344	-1.412	0.112
SyringaeB728a	Psyr_0030	Psyr_0030		transcriptional regulator, LysR family	0.251	-1.036	-1.452	-2.711	-2.276	-0.965	-1.667	-0.553	-0.615	-2.308	-0.966	-2.327	-1.486	-3.132	-0.730	-0.166	-1.590	-2.296	-0.316	-0.368	0.794	-0.100	-0.198	0.698	0.494	-0.095	0.635	0.802	0.469	-0.529	0.990	-0.545	-0.824	-1.174	0.951	0.954	0.354	-0.711	-0.350	-0.932	-1.068	-0.361	0.618	1.093	-0.083	1.581
SyringaeB728a	Psyr_0031	Psyr_0031		Alpha/beta hydrolase fold protein	0.126	-0.060	-0.186	-2.093	-1.416	-0.638	-1.144	-0.613	-0.393	-0.229	0.395	-0.745	0.030	-2.380	-0.280	1.222	1.050	1.149	0.185	0.592	0.770	-0.765	-1.988	-1.440	-1.327	0.545	0.409	0.858	0.701	0.482	0.901	0.649	0.056	0.786	-0.310	-0.084	-0.974	-0.586	-0.446	-1.886	0.362	0.364	0.706	1.078	-0.545	-0.159
SyringaeB728a	Psyr_0032	Psyr_0032		conserved hypothetical protein	0.338	-0.464	1.483	1.533	-0.741	0.920	1.385	2.077	-0.119	3.056	0.929	0.121	-0.034	-0.009	-0.754	-1.226	-0.528	0.367	-0.247	1.809	2.689	-0.363	-0.475	-0.378	-0.303	1.386	-0.422	0.948	-0.286	-1.372	0.147	0.687	1.067	0.743	-0.509	0.082	0.418	-0.227	-0.306	0.022	1.887	1.861	0.211	0.225	1.319	2.277
SyringaeB728a	Psyr_0033	Psyr_0033		tryptophan synthase, alpha chain	-2.592	-4.110	-2.484	-2.200	-1.129	-3.181	-1.644	-1.793	0.857	-2.432	-2.645	-1.696	-3.822	-3.464	-3.632	-4.819	-3.417	-4.391	-5.331	-2.249	-1.920	-3.238	-4.961	-5.614	-4.997	-1.497	-3.039	-0.693	-1.347	-1.066	-2.294	-2.734	-1.535	-0.749	-4.131	-4.697	-2.162	-1.465	-5.248	-4.995	-4.995	-5.898	-2.721	-4.458	-5.336	-5.638
SyringaeB728a	Psyr_0034	Psyr_0034		tryptophan synthase, beta chain	-2.305	-2.302	-2.471	-1.410	-1.365	-1.091	-1.032	-0.766	0.665	-1.816	-2.891	-2.300	-4.491	-2.195	-2.836	-3.785	-4.148	-4.115	-3.632	-0.621	-0.790	-5.995	-4.838	-5.668	-7.005	-2.848	-2.182	-2.059	-3.595	-2.252	-2.395	-2.857	-6.317	-3.099	-4.753	-3.921	-0.156	-0.165	-5.715	-6.073	-2.904	-4.718	-2.420	-2.466	-4.270	-4.321
SyringaeB728a	Psyr_0035	Psyr_0035		regulatory protein, LysR:LysR, substrate-binding protein	0.955	0.481	0.540	1.006	0.037	2.024	0.563	-0.266	1.363	-0.110	0.259	0.447	-0.225	-0.134	0.499	-1.602	-0.536	-0.426	0.555	0.188	0.425	-0.437	-1.320	-0.534	0.076	-1.095	-1.769	-1.058	-1.393	-1.858	0.337	-1.146	-1.806	-0.694	1.453	1.589	1.564	0.758	0.010	0.420	0.131	-0.239	-0.487	-0.523	0.229	0.051
SyringaeB728a	Psyr_0036	Psyr_0036		protein of unknown function DUF883	-1.496	-0.122	-0.177	-0.278	0.236	0.645	0.080	-0.463	0.125	-1.332	0.665	-1.876	0.600	1.579	0.555	-0.762	0.130	-0.323	0.173	1.314	2.446	-0.892	-0.217	-0.668	-0.406	-0.516	1.154	1.226	0.810	0.255	0.470	-1.141	0.631	0.855	0.594	0.076	0.025	-0.272	-0.689	-1.005	-1.397	-0.625	1.561	2.214	-0.772	-1.515
SyringaeB728a	Psyr_0037	Psyr_0037		Protein of unknown function DUF1458	-0.845	1.372	-0.305	-2.206	-0.181	0.925	0.053	0.495	-1.426	-2.025	-0.480	-1.267	-2.091	-0.970	-0.437	1.801	-0.718	0.406	-0.591	1.864	2.123	0.385	0.724	0.634	0.464	0.878	0.225	0.838	-0.477	0.578	0.623	1.132	1.115	1.202	0.533	0.755	-0.310	-0.022	0.030	1.525	-0.190	0.039	0.180	-0.682	-0.025	0.999
SyringaeB728a	Psyr_0038	Psyr_0038		Protein of unknown function DUF1161	-0.821	0.686	-0.962	-0.685	-0.276	-0.280	0.702	-0.379	-2.184	0.856	0.074	0.233	-0.508	-0.082	-0.883	-1.957	-1.156	-1.960	0.966	-0.062	0.849	1.347	-0.181	1.796	1.583	2.769	1.804	1.124	3.095	0.642	1.277	0.655	3.236	2.158	-0.008	-0.414	0.142	-0.101	-1.759	-1.214	2.145	1.691	-2.120	-1.267	-0.509	-1.491
SyringaeB728a	Psyr_0039	Psyr_0039		luciferase	0.816	0.935	-0.080	1.606	-0.418	0.957	1.188	1.198	-0.300	0.061	-0.926	0.347	1.216	0.844	1.624	0.259	-0.447	-1.812	2.188	1.381	1.965	1.080	0.236	-1.503	-1.403	-1.222	-1.228	-1.850	-1.163	-0.269	-0.389	-1.455	-0.782	-1.767	-1.029	-2.200	0.336	0.008	0.206	0.781	1.330	1.381	1.834	0.985	0.530	-0.485
SyringaeB728a	Psyr_0040	Psyr_0040		OsmC-like protein	-0.121	0.188	-0.837	-0.900	-0.534	-0.083	-0.429	-0.083	1.259	0.325	-0.265	0.276	-1.389	-1.241	0.591	0.585	0.004	-1.022	-1.124	0.517	2.431	-0.420	-0.089	3.600	3.097	1.662	1.888	1.457	1.977	0.330	0.057	0.893	0.904	1.456	-0.187	-0.977	0.793	0.032	-0.214	-0.029	-1.606	-2.184	-0.957	0.275	0.377	0.027
SyringaeB728a	Psyr_0041	Psyr_0041		Protein of unknown function DUF1161	-0.818	-1.270	-1.161	0.282	-0.647	-0.200	0.807	-0.581	-1.652	-1.721	0.536	0.523	0.102	-0.211	-0.689	-0.594	0.680	1.993	0.523	1.431	0.058	-0.571	-0.496	-0.861	-1.586	-0.757	-1.597	-2.045	-1.161	-0.443	-1.510	-2.535	-1.839	-1.414	-0.015	1.187	0.046	-0.851	-1.803	-0.332	-0.912	-0.862	-0.078	-0.321	-1.659	-1.908
SyringaeB728a	Psyr_0042	Psyr_0042		lipoprotein, putative	-0.095	0.177	-0.543	0.866	-0.343	-1.573	-1.107	-0.312	0.477	-0.718	-1.021	-0.997	0.562	-0.417	1.089	1.519	-0.615	-0.608	0.232	-0.624	-1.257	0.085	0.883	-0.195	0.340	-0.282	1.448	-0.019	0.209	0.142	1.618	-1.014	0.100	-0.458	0.373	0.163	-1.001	-1.033	0.727	-0.224	0.945	0.494	-0.694	0.068	1.773	1.873
SyringaeB728a	Psyr_0043	Psyr_0043		conserved hypothetical protein	-0.201	0.040	-0.197	-0.354	-1.642	-0.144	-0.970	-3.279	-0.360	-0.528	0.284	-1.164	-0.577	-0.846	0.434	1.369	-0.869	-2.823	0.927	0.677	0.550	1.378	0.825	0.457	0.706	0.027	-0.475	-0.223	-0.783	1.451	-0.808	-0.281	0.093	-0.751	-1.791	-1.249	-0.006	0.336	1.321	0.417	-1.496	-0.768	-0.850	-1.273	-0.107	-0.233
SyringaeB728a	Psyr_0044	Psyr_0044		transferase hexapeptide repeat protein	-0.176	0.362	-2.016	0.275	-0.861	-0.009	-2.078	-1.528	-0.785	-1.994	-1.314	-1.010	-0.562	-0.002	-0.073	-0.373	-0.361	0.011	1.239	1.115	0.389	-0.773	0.073	0.268	0.615	0.884	0.635	-0.558	-0.202	-0.349	-0.314	-0.124	0.932	-0.143	-0.135	-0.222	0.670	0.255	0.613	1.380	0.501	1.057	-1.007	-1.169	-0.105	0.310
SyringaeB728a	Psyr_0045	Psyr_0045		oligopeptidase A, Metallo peptidase, MEROPS family M03A	-1.549	-0.707	-0.549	-2.738	-2.382	-1.922	-1.223	-1.001	-0.950	-2.441	-0.694	-0.657	0.420	0.709	2.661	2.295	-1.355	-2.055	-0.173	0.515	1.893	0.011	0.092	-0.360	0.438	-0.516	-0.146	0.071	-0.001	-0.606	-0.909	-0.002	0.874	-0.519	0.773	1.521	0.294	-0.359	0.102	0.922	-0.258	-0.273	-0.446	-0.477	-0.552	-0.015
SyringaeB728a	Psyr_0046	Psyr_0046		conserved hypothetical protein	-0.880	-0.268	0.616	-0.662	0.515	-0.873	-0.093	-0.619	1.354	-0.754	-2.331	0.199	-1.666	-2.466	-0.238	1.951	-0.202	-3.121	0.007	0.566	-0.351	-0.541	-0.981	1.684	2.078	-0.122	-0.850	-2.230	-1.096	-0.674	-0.292	-1.354	-1.824	-3.229	0.367	0.558	-0.361	0.049	-0.399	-0.470	0.528	0.499	-1.711	-2.478	0.381	0.495
SyringaeB728a	Psyr_0047	Psyr_0047		hypothetical protein	0.369	-0.799	0.066	-2.008	0.540	1.039	0.136	0.504	-0.944	-0.457	0.236	-0.677	-0.514	-0.962	-0.128	-0.125	0.462	-0.386	-0.053	0.135	0.744	0.847	1.286	-1.158	-1.599	-0.154	-0.368	-0.210	0.532	-0.902	-0.388	-0.869	0.561	-1.271	0.628	1.222	0.497	0.628	2.271	1.179	1.759	1.673	-0.090	-0.157	0.123	0.938
SyringaeB728a	Psyr_0049	Psyr_0049		Cytochrome c, class I:Iron permease FTR1	1.480	1.156	1.366	0.878	-0.628	-0.273	0.589	0.771	0.847	1.258	1.330	0.083	-0.395	1.257	-0.571	0.436	-1.392	-0.946	-0.437	1.413	1.608	-0.518	0.962	-0.189	-0.953	-0.011	-0.182	-0.348	-1.027	-0.939	0.291	0.254	-0.610	-0.135	0.129	0.252	0.592	0.366	0.549	0.494	-1.161	-1.158	-0.579	-0.546	0.731	1.758
SyringaeB728a	Psyr_0050	Psyr_0050		Lysine exporter protein (LYSE/YGGA)	1.311	0.943	-1.921	-0.112	0.642	1.164	0.968	-0.300	-0.462	0.765	1.251	0.438	-0.759	-1.311	-0.658	-1.667	0.770	0.565	-0.967	0.042	-1.086	1.147	1.039	0.609	0.597	-0.565	-0.159	0.568	-1.327	-0.568	-0.114	-0.291	-0.660	0.025	1.735	1.115	0.244	-0.341	-0.803	-0.901	1.315	0.908	-0.084	-0.366	-3.331	-0.852
SyringaeB728a	Psyr_0051	Psyr_0051		conserved hypothetical protein	-0.067	-0.090	0.238	-0.013	-1.073	-0.027	-0.320	2.002	-0.083	-2.074	-1.625	-0.192	-0.953	-0.857	-0.155	-0.854	0.917	2.617	-0.097	0.758	-0.016	0.410	-0.021	-3.378	-1.964	-1.042	-0.059	-0.262	0.844	-1.318	0.894	-1.076	-1.285	-0.025	0.501	0.465	0.433	-0.251	-0.859	-0.695	-0.372	0.281	0.805	1.137	-0.797	0.061
SyringaeB728a	Psyr_0052	Psyr_0052		ABC transporter	-0.037	1.252	-0.035	-0.147	0.739	-0.975	-0.596	0.218	-0.202	-0.518	-0.420	-1.143	-1.247	-1.847	0.723	0.655	-0.445	-0.373	1.938	0.544	1.173	-1.118	-0.578	0.003	-0.283	-1.130	-0.603	-1.866	1.071	-0.897	-0.227	-1.525	-0.956	-0.676	0.225	1.213	-1.226	-0.351	-0.092	-0.152	-0.505	-0.532	0.589	1.357	-0.755	-0.893
SyringaeB728a	Psyr_0053	Psyr_0053		conserved hypothetical protein	-0.516	0.116	0.531	0.731	1.307	-0.136	2.004	1.949	1.582	2.002	-0.325	1.579	-1.280	-2.481	-0.833	-1.677	0.539	1.720	-0.944	-1.050	-0.688	-2.115	0.474	0.017	-0.097	-1.358	-0.854	-0.573	0.468	-1.059	-0.078	-0.070	-0.449	-0.253	0.265	0.911	1.206	0.944	-1.371	-1.115	-1.402	-1.145	0.003	-0.906	1.248	3.000
SyringaeB728a	Psyr_0054	Psyr_0054		alginate regulatory protein AlgR3	0.392	0.237	2.508	0.570	0.075	-0.642	1.136	0.760	-1.248	1.107	-1.175	-0.971	-3.205	-1.265	0.351	0.214	-1.400	-1.274	-1.814	-0.691	-1.849	0.001	-1.089	0.193	-0.058	-2.807	-1.379	-0.900	-1.879	-2.078	-0.296	-1.151	-1.160	-1.048	0.014	-1.108	0.359	1.282	0.211	-0.475	0.463	1.267	-0.188	-1.115	-1.211	-0.952
SyringaeB728a	Psyr_0055	Psyr_0055		FKBP-type peptidyl-prolyl isomerase, N-terminal:Peptidylprolyl isomerase, FKBP-type	0.841	0.167	-0.200	0.156	1.778	1.557	1.086	0.481	-0.533	1.415	1.134	-0.399	0.109	0.427	0.757	0.245	-0.772	-0.636	-0.138	-0.202	0.139	-0.677	-1.674	-0.508	-0.910	-1.131	0.932	-1.178	-1.364	0.428	0.330	0.023	-0.058	-1.727	0.274	0.297	0.358	1.562	-0.532	-0.769	-1.112	-0.556	-0.340	0.268	-0.287	0.122
SyringaeB728a	Psyr_0056	Psyr_0056		Regulator of RNA polymerase sigma(70) subunit, Rsd/AlgQ	0.058	-0.002	0.368	0.273	1.847	0.898	-0.238	0.257	-1.022	-0.027	-0.532	0.141	0.588	-0.871	0.129	0.819	1.595	1.106	-0.106	0.118	-0.088	0.405	0.892	1.185	1.449	0.899	1.800	1.670	0.795	2.055	1.018	1.599	1.296	1.773	0.528	0.581	0.479	0.352	-0.002	-0.532	-0.014	0.147	1.796	1.211	-1.980	-0.436
SyringaeB728a	Psyr_0057	Psyr_0057		conserved hypothetical protein	0.295	-0.545	0.329	0.256	1.781	0.430	0.524	0.281	-0.104	-0.275	0.093	0.876	0.347	0.774	1.278	-0.627	0.263	-1.067	-0.695	2.298	2.162	0.154	-0.562	-0.693	-2.828	-0.853	0.331	0.129	0.029	-0.080	-0.444	0.898	0.387	1.337	-0.574	-0.594	1.417	0.723	0.010	0.542	0.363	0.239	0.170	-0.738	0.085	1.249
SyringaeB728a	Psyr_0058	Psyr_0058		Disulfide bond formation protein DsbB	-0.279	-0.192	-1.008	-0.324	-1.067	-0.705	-1.800	0.153	0.265	-0.552	-0.761	-1.456	-0.393	0.559	0.485	0.553	0.415	1.121	0.501	0.304	-0.381	0.267	-0.339	0.460	0.417	-1.049	-0.804	-0.536	-0.532	0.206	0.492	-0.147	-0.342	-1.779	-0.171	-0.827	-0.563	-0.964	0.120	-0.547	1.695	1.308	1.432	1.315	-0.001	0.079
SyringaeB728a	Psyr_0059	Psyr_0059		HemY, N-terminal:HemY, N-terminal:HemY, N-terminal	-1.720	-0.158	-0.582	-1.968	-0.077	0.233	0.353	-0.592	2.607	-0.628	1.376	0.427	-0.220	-1.610	-0.706	-1.194	-0.631	-0.105	-1.556	-0.157	0.900	0.400	-1.416	-1.190	-0.957	-0.059	-1.303	1.486	-0.126	-0.057	-1.133	-0.314	0.084	0.291	-0.961	-2.841	-0.893	-0.930	-1.168	-1.065	-0.952	-0.436	-1.526	-0.419	0.446	1.032
SyringaeB728a	Psyr_0060	Psyr_0060		Protein of unknown function DUF513	-2.498	-1.797	0.210	0.230	-0.412	-2.017	-0.001	-0.671	1.520	-1.302	-2.479	-1.261	-0.491	-0.102	-1.298	-1.463	1.691	2.033	-0.627	-1.222	-0.361	-2.596	-0.608	-0.690	-0.796	-4.459	-1.396	-1.253	-2.683	-1.375	-3.778	-1.600	-1.712	-1.921	-0.627	-0.716	-0.082	-1.293	0.902	-1.528	0.517	0.498	-1.389	-0.985	0.052	0.023
SyringaeB728a	Psyr_0063	Psyr_0063		Two-component response regulator AlgR	-2.142	-1.055	1.042	-0.865	0.528	-1.527	-0.451	-0.979	6.317	-1.190	-0.819	-0.665	-2.758	0.180	-1.354	-0.770	0.813	0.577	-1.294	0.113	2.791	-0.414	-1.157	-1.210	-0.912	-0.686	-0.493	0.791	-0.527	0.358	-0.207	0.044	1.084	0.465	0.644	-0.162	-1.007	-1.030	-1.385	-1.183	-3.662	-3.581	-0.857	-0.544	-0.888	-1.569
SyringaeB728a	Psyr_0064	Psyr_0064		Sensory transduction protein kinase AlgZ	-0.728	-0.540	-0.828	-1.042	-1.428	0.141	-0.803	0.397	1.832	-0.507	-0.681	-2.210	-0.507	0.036	-0.850	-0.295	-0.500	-2.777	-0.251	0.454	0.982	-0.062	-0.059	-0.342	-0.026	0.900	-0.505	-0.092	0.643	-0.230	-0.702	-0.193	0.048	-0.804	-0.240	0.210	-1.258	-0.600	-0.876	-1.802	0.475	1.103	-0.895	-1.217	-0.195	0.977
SyringaeB728a	Psyr_0066	Psyr_0066		bifunctional spore maturation protein, fused SpmA/SpmB	0.289	0.204	-1.007	1.194	-0.347	-3.967	-1.320	-1.464	-3.181	0.137	0.227	-0.256	-4.078	-3.042	1.662	1.010	-1.256	-2.778	-0.997	0.015	-2.649	-0.056	-0.845	-0.168	-0.793	-0.218	0.654	-0.901	0.347	0.666	-0.061	1.535	0.612	-0.954	-1.999	-2.067	0.014	-0.217	-1.121	-0.316	-1.489	-1.031	-1.687	-1.174	-2.706	-0.281
