orgId	locusId	sysName	geneName	desc	set1IT005 KB	set1IT007 KB with Dimethyl Sulfoxide 1 vol%	set1IT011 KB with Acriflavine 7.75 ug/ml	set1IT013 KB with Ampicillin 15.6 ug/ml	set1IT015 KB with Berberine 250 ug/ml	set1IT017 KB with Carbenicillin 250 ug/ml	set1IT019 KB with Chloramphenicol 12.5 ug/ml	set1IT021 KB with Erythromycin 25 ug/ml	set1IT029 KB with Nalidixic 12.5 ug/ml	set1IT033 KB with Nitrofurantoin 125 ug/ml	set1IT037 KB with Phloretin 250 ug/ml	set1IT045 KB with Trimethoprim 125 ug/ml	set1IT049 Green bean; epiphytic	set1IT050 Green bean; epiphytic	set2IT076 apoplastic, grinding recovery; Green bean	set2IT077 apoplastic, grinding recovery; Green bean	set2IT080 epiphytic; Green bean	set2IT081 epiphytic; Green bean	set2IT095 apoplastic, chopping recovery; Green bean	set3IT009 KB with Acridine orange 62.5 ug/ml	set3IT019 KB with Mitomycin C 0.625 ug/ml	set3IT031 epiphytic; Green bean	set3IT032 epiphytic; Green bean	set3IT039 apoplastic; Lima bean	set3IT040 apoplastic; Lima bean	set4IT013 KB	set4IT015 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT017 KB with Rifampicin 0.1 mg/ml	set4IT019 KB with capsaicin 0.25 mg/ml	set4IT021 KB with capsaicin 0.125 mg/ml	set4IT025 KB with Flavone 0.125 mg/ml	set4IT027 KB with Rotenone 0.25 mg/ml	set4IT029 KB with Rotenone 0.125 mg/ml	set4IT031 KB with Nitrofurantoin 0.25 mg/ml	set5IT059 apoplastic; Lima bean	set5IT060 apoplastic; Lima bean	set6IT083 apoplastic; Green bean; 6 days	set6IT084 apoplastic; Green bean; 6 days	set7IT014 apoplastic; Lima bean	set7IT015 apoplastic; Lima bean	set7IT018 apoplastic; Pepper	set7IT019 apoplastic; Pepper	set7IT026 apoplastic; Pepper	set7IT027 apoplastic; Pepper	set7IT030 apoplastic; Pepper	set7IT031 apoplastic; Pepper
SyringaeB728a	Psyr_1475	Psyr_1475		Phage integrase:Phage integrase, N-terminal SAM-like protein	-1.713	-0.431	0.173	-0.938	0.724	-0.780	-0.213	-0.752	0.091	0.035	-0.053	0.388	1.024	0.533	-0.367	-0.667	-0.402	-0.091	0.561	-0.496	-0.724	-1.084	-0.121	-0.586	-1.068	0.448	0.472	-0.805	0.540	0.317	0.625	0.499	-0.109	0.933	0.188	0.229	-0.407	0.654	0.480	0.453	0.506	-0.121	0.978	0.741	-0.281	0.266
SyringaeB728a	Psyr_1476	Psyr_1476		Secreted repeat of unknown function	-0.009	0.102	0.861	0.273	0.099	1.134	0.567	0.251	0.650	0.338	0.706	0.742	-0.189	0.646	-0.053	-1.011	-1.335	-0.280	-0.590	1.319	1.336	-1.428	-1.330	-0.042	-0.291	-0.682	-0.849	-0.696	1.196	0.537	-0.160	0.478	-0.064	0.220	-0.253	-0.531	0.528	0.188	-0.400	-0.081	1.396	1.232	-0.596	0.105	-1.851	-2.328
SyringaeB728a	Psyr_1477	Psyr_1477		conserved domain protein	0.685	0.343	1.329	0.503	2.001	-0.749	0.239	-0.014	-0.080	-0.558	-0.103	-0.706	-0.197	-0.151	1.455	1.192	-0.739	-1.330	-1.299	-1.551	-2.329	-0.856	0.341	0.826	1.389	-1.629	-0.445	-0.673	-1.424	-1.258	-0.223	-0.751	-1.242	0.201	-0.033	1.040	-0.817	-1.364	0.838	0.025	0.817	1.161	-0.908	-1.052	0.836	1.714
SyringaeB728a	Psyr_1478	Psyr_1478		regulatory protein, LysR:LysR, substrate-binding protein	-0.191	-1.547	-0.697	-0.336	0.191	-1.016	-0.585	-0.422	-0.197	-0.925	-1.644	-1.855	-1.072	-1.126	-0.540	-0.559	-0.992	-0.898	-0.462	-0.406	-2.111	-0.241	-0.791	0.636	1.058	-0.337	-0.025	-0.582	-0.299	-1.349	0.259	-0.649	-0.710	-1.335	-1.544	-1.147	-0.330	0.143	-0.980	-0.843	-0.159	0.867	-2.913	-1.127	-0.751	0.840
SyringaeB728a	Psyr_1479	Psyr_1479		C4-dicarboxylate transporter/malic acid transport protein	-0.179	-0.590	1.169	-0.708	1.594	-0.683	-1.347	-0.021	0.344	-0.196	-0.153	-0.462	-0.845	-0.384	-0.284	1.521	0.969	0.383	-0.164	0.876	-0.179	-0.078	-0.491	-1.189	-1.511	0.405	0.919	0.104	0.156	0.525	-0.143	-0.617	0.337	0.726	0.496	1.443	1.740	0.907	0.965	1.748	-1.545	-0.871	0.077	-0.144	-1.557	-2.511
SyringaeB728a	Psyr_1480	Psyr_1480		conserved hypothetical protein	1.027	0.114	2.019	0.056	0.791	-0.741	0.785	0.350	-0.051	-0.425	-0.440	0.727	2.980	1.669	-1.177	-1.859	-1.584	-1.694	-1.662	-1.713	-0.227	0.424	-1.423	-1.460	-2.422	0.362	1.443	0.391	0.169	-0.243	0.464	-0.103	-0.345	0.206	0.030	0.314	-1.669	-1.023	-0.360	-0.127	0.028	-0.779	0.744	0.695	1.333	0.453
SyringaeB728a	Psyr_1481	Psyr_1481		Inorganic diphosphatase	-0.498	-0.452	1.007	-1.609	1.717	-1.112	0.476	0.238	-1.540	-0.169	-0.779	-0.984	-0.419	-1.829	-0.385	0.563	0.092	0.365	-0.633	-0.624	-1.126	0.030	-0.236	0.819	0.225	-0.792	-0.942	-1.770	-0.415	-1.256	-0.968	-0.810	-1.237	0.070	0.389	0.029	-0.902	0.066	-0.194	0.018	-1.271	-1.688	-1.010	-1.459	-1.329	-0.438
SyringaeB728a	Psyr_1482	Psyr_1482		enolase	-0.059	-1.660	0.894	-1.070	1.979	-0.307	-1.022	0.332	-0.305	-0.454	-0.105	0.168	-0.143	0.740	-0.791	-0.505	1.886	0.993	0.247	-1.486	-0.380	0.747	1.082	-0.807	-0.643	-0.584	-0.363	-1.223	-2.131	-1.033	-0.590	-1.530	-1.454	-0.654	-2.801	-2.638	0.823	0.977	-1.440	-0.288	-1.173	-0.928	0.546	0.857	0.867	-0.273
SyringaeB728a	Psyr_1483	Psyr_1483		hypothetical protein	0.358	0.645	-0.306	1.105	-0.244	0.960	-1.100	0.469	-1.137	-0.027	0.996	0.353	1.191	0.962	1.309	1.001	-1.204	-0.273	-1.195	-0.413	-1.547	-0.257	-0.918	1.512	-0.305	-0.913	-0.810	-0.852	-0.888	0.365	-0.265	0.074	-0.416	-0.435	-0.605	0.062	0.530	0.508	-0.702	0.720	-1.169	-1.295	0.437	-0.953	-0.136	0.034
SyringaeB728a	Psyr_1484	Psyr_1484		conserved hypothetical protein	-0.042	0.304	0.314	-0.696	0.342	-0.804	-0.279	-1.226	-0.996	-2.386	0.060	-1.027	0.751	1.059	0.758	-0.611	0.968	1.944	-1.789	-1.478	-1.855	-1.567	-0.037	0.130	0.237	0.343	0.622	0.428	0.151	1.658	0.974	-0.477	0.637	-0.009	-1.228	-0.434	0.425	0.866	-0.760	-0.108	0.638	1.804	-0.894	-0.608	0.098	-0.625
