fb_condition	enigma_molecule	chebi	norm
Cobalt chloride hexahydrate	cobalt chloride hexahydrate	CHEBI:53503	cobaltchloridehexa
Sodium nitrite	sodium nitrite	CHEBI:78870	nitrite
D-Fructose	D-fructose	CHEBI:15824	dfructose
L-Arabinose	L-arabinose	CHEBI:30849	larabinose
Sodium L-Lactate	sodium L-lactate	CHEBI:232798	llactate
Sodium pyruvate	sodium pyruvate	CHEBI:50144	pyruvate
Sodium succinate dibasic hexahydrate	sodium succinate hexahydrate	CHEBI:63686	succinatehexa
Sodium propionate	sodium propionate	CHEBI:132106	propionate
Glycerol	glycerol	CHEBI:17754	glycerol
L-Asparagine	L-asparagine	CHEBI:17196	lasparagine
L-Glutamine	L-glutamine	CHEBI:18050	lglutamine
Chloramphenicol	chloramphenicol	CHEBI:17698	chloramphenicol
Tetracycline hydrochloride	Tetracycline hydrochloride	CHEBI:35006	tetracyclinehydrochloride
Sodium nitrate	sodium nitrate	CHEBI:63005	nitrate
Ethanol	ethanol	CHEBI:16236	ethanol
L-Threonine	L-threonine	CHEBI:16857	lthreonine
L-Proline	L-proline	CHEBI:17203	lproline
L-Alanine	L-alanine	CHEBI:16977	lalanine
L-Leucine	L-leucine	CHEBI:15603	lleucine
L-Phenylalanine	L-phenylalanine	CHEBI:17295	lphenylalanine
L-Tryptophan	L-tryptophan	CHEBI:16828	ltryptophan
Sodium butyrate	sodium butyrate	CHEBI:64103	butyrate
Potassium acetate	potassium acetate	CHEBI:32029	acetate
benzoic acid	benzoic acid	CHEBI:30746	benzoicacid
Choline chloride	choline chloride	CHEBI:133341	cholinechloride
L-Arginine	L-arginine	CHEBI:16467	larginine
L-Isoleucine	L-isoleucine	CHEBI:17191	lisoleucine
D-Alanine	D-alanine	CHEBI:15570	dalanine
L-Citrulline	L-citrulline	CHEBI:16349	lcitrulline
Uridine	uridine	CHEBI:16704	uridine
Cytidine	cytidine	CHEBI:17562	cytidine
Sodium octanoate	sodium octanoate	CHEBI:132100	octanoate
Sucrose	sucrose	CHEBI:17992	sucrose
L-Aspartic Acid	L-aspartic acid	CHEBI:17053	lasparticacid
L-Serine	L-serine	CHEBI:17115	lserine
D-Serine	D-serine	CHEBI:16523	dserine
L-Ornithine	L-ornithine	CHEBI:15729	lornithine
L-Lysine	L-lysine	CHEBI:18019	llysine
N-Acetyl-D-Glucosamine	N-acetyl-D-glucosamine	CHEBI:506227	nacetyldglucosamine
Beta-Lactose	beta-lactose	CHEBI:36218	betalactose
Lactulose	lactulose	CHEBI:6359	lactulose
Maltitol	maltitol	CHEBI:68428	maltitol
