sample_id	phb_score	matched_abundance	total_abundance	pct_matched
nmdc:bsm-11-042nd237	0.0	0.0	277.44101863989687	0.0
nmdc:bsm-11-622k6044	0.0	0.0	357.6995293997218	0.0
nmdc:bsm-11-65a4xw75	0.0	0.0	188.99776303984981	0.0
nmdc:bsm-11-93mc8g67	0.0	0.0	229.109728999518	0.0
nmdc:bsm-11-cpekyy11	0.0	0.0	247.7327084408921	0.0
nmdc:bsm-11-cwey4y35	0.0	0.0	197.98136018897176	0.0
nmdc:bsm-11-efm5hh51	0.0	0.0	359.91490741679064	0.0
nmdc:bsm-11-frgt4x11	0.0	0.0	286.4248441394681	0.0
nmdc:bsm-11-gk0czc37	0.0	0.0	140.31043025290873	0.0
nmdc:bsm-11-nq2tfm26	0.0	0.0	219.15835977590731	0.0
nmdc:bsm-11-q0bxzb10	0.0	0.0	151.95834555713438	0.0
nmdc:bsm-11-xxvfda22	0.0	0.0	300.38573369142836	0.0
nmdc:bsm-13-0jw5n594	0.0	0.0	1333.1745498800894	0.0
nmdc:bsm-13-13145k83	0.0	0.0	1333.857524029656	0.0
nmdc:bsm-13-1p0tct86	0.0	0.0	1513.6203982900104	0.0
nmdc:bsm-13-2fw5j754	0.0	0.0	1071.6522957189297	0.0
nmdc:bsm-13-2yga6857	0.0	0.0	1220.215345358209	0.0
nmdc:bsm-13-3dt9xs73	0.0	0.0	896.1380835438249	0.0
nmdc:bsm-13-3pvn5d70	0.0	0.0	1410.9752857096053	0.0
nmdc:bsm-13-5bfhqy53	0.0	0.0	761.5889123295337	0.0
nmdc:bsm-13-6naxpa52	0.0	0.0	1511.3533339398725	0.0
nmdc:bsm-13-7qxjvr77	0.0	0.0	1453.4815485624792	0.0
nmdc:bsm-13-8e1rjf10	0.0	0.0	1183.0583290130944	0.0
nmdc:bsm-13-937ebx72	0.0	0.0	931.0115018144824	0.0
nmdc:bsm-13-9qwsvm77	0.0	0.0	1169.2786690769613	0.0
nmdc:bsm-13-amdcp906	0.0	0.0	1320.8630835253061	0.0
nmdc:bsm-13-an5fyr03	0.0	0.0	1144.0211230283028	0.0
