response,ko,gene,predictor,n,lambda,beta,SE,t,p,ko_metals,resp_metal,metal_match,fdr_q
As_MMI_ME_mg_kg_0_01_sd,K07665,cusR,ko_freq_K07665_z,1431,0.188173753339054,0.0023393833016249,0.003088461976946,0.757458993857566,0.448899891461743,"Cu,Ni",As,False,0.7799765847849944
As_MMI_ME_mg_kg_0_01_sd,K07785,nrsD,ko_freq_K07785_z,1431,0.188114855314394,-0.0002123610772813,0.0026264215762024,-0.0808556703940783,0.935568064503001,Ni,As,False,0.964273234163885
As_MMI_ME_mg_kg_0_01_sd,K07787,cusA,ko_freq_K07787_z,1431,0.173817366402873,0.0118082704300273,0.0040808721897171,2.89356536570328,0.0038667582905351,"Cu,Ag",As,False,0.02148124771446795
As_MMI_ME_mg_kg_0_01_sd,K15726,czcA,ko_freq_K15726_z,1431,0.187028538759314,-0.0024744346708939,0.0038451034768631,-0.643528759572582,0.519984389856663,"Co,Ni,Zn,Cd",As,False,0.7799765847849944
As_MMI_ME_mg_kg_0_01_sd,K17686,copA,ko_freq_K17686_z,1431,0.188977543099354,-0.0007965843012657,0.0034683291331554,-0.229673791235891,0.818378154399375,Cu,As,False,0.964273234163885
As_MMI_ME_mg_kg_0_01_sd,K19594,gesB,ko_freq_K19594_z,1431,0.189234315440902,-0.0056295423004082,0.0031129075306288,-1.80845150233901,0.0707465342452455,"Cu,Au",As,False,0.21223960273573653
As_MMI_ME_mg_kg_0_01_sd,K19595,gesA,ko_freq_K19595_z,1431,0.18875225307018,-0.0048636872456003,0.0033525384831515,-1.45074762602822,0.147069766578672,"Cu,Au",As,False,0.330906974802012
Cr_ICP_MS_mg_kg_0_5_sd,K03325,ACR3,ko_freq_K03325_z,1481,0.233293115599371,-0.632663736839291,0.359883656022892,-1.75796740488556,0.0789600289207962,"As,Tl",Cr,False,0.335622253093242
Cr_ICP_MS_mg_kg_0_5_sd,K03446,emrB,ko_freq_K03446_z,1481,0.206496320290479,1.11266720120327,0.342045323884888,3.25298176442176,0.001167789340246,"Cu,Tl",Cr,False,0.010510104062214
Cr_ICP_MS_mg_kg_0_5_sd,K07665,cusR,ko_freq_K07665_z,1481,0.228439841026206,0.313144318131848,0.314263681701645,0.996438138941999,0.319200413180623,"Cu,Ni",Cr,False,0.49939691074860154
Cr_ICP_MS_mg_kg_0_5_sd,K07785,nrsD,ko_freq_K07785_z,1481,0.230902087814878,-0.151727608170659,0.269622404078074,-0.562741099685187,0.57369653861917,Ni,Cr,False,0.7106599238800669
Cr_ICP_MS_mg_kg_0_5_sd,K07787,cusA,ko_freq_K07787_z,1481,0.234078333677532,-0.0971944688727484,0.420157452187088,-0.231328680157432,0.817091486967459,"Cu,Ag",Cr,False,0.817091486967459
Cr_ICP_MS_mg_kg_0_5_sd,K15726,czcA,ko_freq_K15726_z,1481,0.238049507058116,-0.188992443593075,0.39419546401321,-0.479438402636569,0.631697710115615,"Co,Ni,Zn,Cd",Cr,False,0.7106599238800669
Cr_ICP_MS_mg_kg_0_5_sd,K17686,copA,ko_freq_K17686_z,1481,0.235473022952229,-0.340084315169719,0.351129484310237,-0.968543885848222,0.332931273832401,Cu,Cr,False,0.49939691074860154
