genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,median_soil_moisture,median_cmmi_nearest_km,ko_per_mb_primary,mean_genome_mb,ko_per_mb_z,genome_mb_z,mean_levins_B_std
streptacidiphilus,Actinobacteria,Bacteria,3945,90.0,53.0,523.5830078125,40.63,2.586637683218984,9.66505675,-1.6035436444715823,3.558835782477554,0.430151869159695
succinivibrio,Proteobacteria,Bacteria,1460,99.0,61.0,233.7469940185547,64.77,9.749961161311738,2.2564192447552447,0.23698993784646008,-0.9435599582234432,0.1811302977962852
syntrophorhabdus,Proteobacteria,Bacteria,8977,68.0,62.0,335.697998046875,53.45,10.140463550088404,3.2542891000000003,0.3373250354749471,-0.33713199048344483,0.1946224109312789
ureibacillus,Firmicutes,Bacteria,441,80.0,57.0,558.260986328125,17.65,7.950653398893916,3.773274785714286,-0.22532149786958786,-0.021732709685782135,0.3862203809969345
aeromicrobium,Actinobacteria,Bacteria,37982,99.0,65.0,248.1009979248047,17.65,13.953637444887937,3.51162915,1.317076212433614,-0.18074065075174026,0.3082644197935794
methylocystis,Proteobacteria,Bacteria,19864,91.0,63.0,291.7300109863281,17.99,12.701595929270406,3.1492105576923075,0.9953785447242113,-0.4009905853992175,0.4514719062383273
actinocatenispora,Actinobacteria,Bacteria,643,91.0,70.0,255.49099731445312,32.06,2.8588839174485834,6.995737,-1.5335931056900203,1.9366300983067497,0.3472025737891058
anoxybacillus,Firmicutes,Bacteria,4463,76.0,65.0,252.6439971923828,32.86,15.009065020834957,2.731682482758621,1.58825618960145,-0.6547317928579044,0.4084577184844581
chryseolinea,Bacteroidetes,Bacteria,61329,101.0,70.0,245.48699951171875,17.65,3.6102537286320486,5.262788,-1.3405372742100576,0.8834779916031176,0.533330016252208
limnoglobus,Planctomycetes,Bacteria,9197,63.0,60.0,356.302001953125,37.83,4.873636904678222,5.334825,-1.015925497293943,0.9272564976702957,0.561059696750274
pacificibacter,Proteobacteria,Bacteria,1722,66.0,60.0,342.3429870605469,27.55,9.248101120792787,3.892691,0.10804277232706126,0.05083921115526529,0.0172335978705343
planktosalinus,Bacteroidetes,Bacteria,548,61.0,79.0,235.2030029296875,30.19,5.699951918530588,2.807041222222222,-0.8036133579329257,-0.6089345909641259,0.3598703442711617
orientia,Proteobacteria,Bacteria,67,157.0,65.0,245.48699951171875,30.19,2.9903106459295272,2.0064805,-1.4998245193455464,-1.0954533581941563,0.2776961907902944
kordiimonas,Proteobacteria,Bacteria,3883,70.0,63.0,258.31201171875,23.45,5.907693580118616,4.062499125,-0.7502365272245742,0.1540354301894919,0.0480582054779071
nevskia,Proteobacteria,Bacteria,3366,79.0,56.0,374.0989990234375,32.04,6.68246153959976,4.19007275,-0.5511688106416088,0.23156479310125,0.3892325766727226
rhodopirellula,Planctomycetes,Bacteria,16386,63.0,70.0,347.3320007324219,25.0,4.492367075649042,7.345793307692308,-1.1138883948789764,2.1493671943846193,0.0779419413538587
acaryochloris,Cyanobacteria,Bacteria,1155,57.0,66.0,312.2059936523437,32.8,6.338244675839647,6.153123142857143,-0.6396113749468809,1.4245546945945382,0.0641151121326881
caldithrix,Calditrichaeota,Bacteria,96,76.0,61.0,186.56399536132807,55.74,6.8451919573021085,4.96699,-0.5093571013754011,0.7037148901738658,0.1063159948910675
draconibacterium,Bacteroidetes,Bacteria,3373,63.0,62.0,416.53900146484375,20.39,5.60520723752366,4.995355,-0.8279569140591513,0.7209529390181472,0.1019095613712213
morganella,Proteobacteria,Bacteria,491,81.0,59.0,277.4840087890625,21.64,16.56007434260241,3.985489354368932,1.986770196672563,0.10723485949937153,0.3109495119825685
parvibaculum,Proteobacteria,Bacteria,20252,99.0,66.0,280.3710021972656,47.54,10.541325059539762,3.6048599,0.4403217900205573,-0.12408222585172321,0.526575046022981
acidipropionibacterium,Actinobacteria,Bacteria,33,89.0,60.0,286.6839904785156,30.95,9.888963607583824,3.3370534375,0.27270501774904327,-0.2868342400025854,0.3729363105195635
amphiplicatus,Proteobacteria,Bacteria,4714,63.0,70.0,353.89898681640625,33.34,6.644200830778216,3.160651,-0.5609994597369217,-0.3940379711457295,0.2874962246189661
aneurinibacillus,Firmicutes,Bacteria,12339,101.0,60.0,379.58599853515625,17.65,8.576934336386966,5.013446333333333,-0.06440581383733598,0.7319474494238641,0.3761038924954203
brooklawnia,Actinobacteria,Bacteria,5616,78.0,63.0,280.3710021972656,53.45,11.111971945974828,2.879776888888889,0.5869429444806392,-0.5647314894403688,0.2220656696240108
enterococcus,Firmicutes,Bacteria,7758,79.0,59.0,335.697998046875,53.45,18.72240956977061,2.991067992146597,2.5423573642776236,-0.4970973814237873,0.1974481463991197
fournierella,Firmicutes,Bacteria,1205,122.0,55.0,356.5710144042969,64.77,7.367278478214958,2.7147066666666664,-0.3752129743435257,-0.6650483783317154,0.2220966143299848
lentibacter,Proteobacteria,Bacteria,82,72.0,64.0,16.95800018310547,29.53,9.384746262028491,2.7704531666666665,0.14315216981190956,-0.6311699757264718,0.0213994942059787
malikia,Proteobacteria,Bacteria,1480,66.0,57.0,457.7330017089844,17.65,8.832081861969108,3.849602,0.001151408409497187,0.024653056152577412,0.1336831675298473
mycoavidus,Proteobacteria,Bacteria,3650,80.0,63.0,260.2439880371094,40.63,4.3681283880295805,2.518241,-1.145810096793745,-0.7844449853553109,0.6396681272267872
owenweeksia,Bacteroidetes,Bacteria,2471,163.0,83.0,80.5999984741211,26.43,6.430833635073407,3.887520875,-0.6158217067373162,0.04769720984093268,0.3316010767743216
pseudogemmobacter,Proteobacteria,Bacteria,395,80.0,57.0,558.260986328125,17.65,6.648988416857724,4.963161,-0.559769344555816,0.7013879207035768,0.278781991890965
sphingomicrobium,Proteobacteria,Bacteria,331,57.0,62.0,120.12100219726562,51.11,8.79249683490097,2.5021334,-0.009019509028294728,-0.7942339363711456,0.3243699034869594
aminiphilus,Synergistetes,Bacteria,44,78.0,64.0,203.69900512695312,52.07,6.307323717397837,3.170917,-0.6475561595965843,-0.38779909191303447,0.1094130022217869
barnesiella,Bacteroidetes,Bacteria,536,71.0,65.0,353.89898681640625,50.76,6.2257360915259845,3.051847961538461,-0.6685191617251336,-0.46016002619266183,0.1448648689380496
brachybacterium,Actinobacteria,Bacteria,1381,79.0,59.0,277.4840087890625,17.65,11.156020798556622,3.5855078367346938,0.5982607905457109,-0.13584291020938138,0.239784231640659
