"response","model","predictor","n","lambda","beta","SE","t","p"
"pH_sd","pH_sd ~ resist + cofactor + genome","ko_per_mb_tier1_z",1573,0.29131192542613,0.0273189707057323,0.00694238893629025,3.93509654334211,8.67967749197802e-05
"pH_sd","pH_sd ~ resist + cofactor + genome","ko_per_mb_tier2_z",1573,0.29131192542613,-0.00325565710438294,0.00734758503569062,-0.443092130076577,0.657760181565351
"pH_sd","pH_sd ~ resist + cofactor + genome","genome_mb_z",1573,0.29131192542613,0.0423381345766255,0.00683977359479057,6.1899906466015,7.66503566209617e-10
"temp_sd","temp_sd ~ resist + cofactor + genome","ko_per_mb_tier1_z",1573,0.431548792281085,0.143896742061104,0.0536565619657379,2.68181070104694,0.00739928422100448
"temp_sd","temp_sd ~ resist + cofactor + genome","ko_per_mb_tier2_z",1573,0.431548792281085,0.00837424498135987,0.0573084341375094,0.146125873222538,0.88384079279626
"temp_sd","temp_sd ~ resist + cofactor + genome","genome_mb_z",1573,0.431548792281085,0.116412453564022,0.054542701653017,2.13433603462843,0.0329699076738351
"georoc_Cu_sd","GeoROC_Cu ~ resist + cofactor + genome","ko_per_mb_tier1_z",1571,0.511898635970794,4.21252001714418,3.16390396052743,1.331431064185,0.183240866468894
"georoc_Cu_sd","GeoROC_Cu ~ resist + cofactor + genome","ko_per_mb_tier2_z",1571,0.511898635970794,-0.189066885084119,3.39485038847437,-0.0556922584058511,0.955594066571783
"georoc_Cu_sd","GeoROC_Cu ~ resist + cofactor + genome","genome_mb_z",1571,0.511898635970794,12.1625221754976,3.26856846776971,3.7210547355603,0.000205398933158074
"georoc_Ni_sd","GeoROC_Ni ~ resist + cofactor + genome","ko_per_mb_tier1_z",1573,0.468946217487058,6.69471557803418,2.03525175802919,3.28937958246351,0.00102633346587184
"georoc_Ni_sd","GeoROC_Ni ~ resist + cofactor + genome","ko_per_mb_tier2_z",1573,0.468946217487058,-2.41541310292975,2.17961727053854,-1.10818221876768,0.267952973134501
"georoc_Ni_sd","GeoROC_Ni ~ resist + cofactor + genome","genome_mb_z",1573,0.468946217487058,9.22327334242333,2.08630462473241,4.42086607731424,1.05059276924354e-05
"georoc_Zn_sd","GeoROC_Zn ~ resist + cofactor + genome","ko_per_mb_tier1_z",1570,0.0404498515220828,4.11197865027372,2.50024861066393,1.64462791129471,0.100247270641249
"georoc_Zn_sd","GeoROC_Zn ~ resist + cofactor + genome","ko_per_mb_tier2_z",1570,0.0404498515220828,1.63762355829383,2.56727739925685,0.637883369661524,0.523642862088568
"georoc_Zn_sd","GeoROC_Zn ~ resist + cofactor + genome","genome_mb_z",1570,0.0404498515220828,5.74411276767588,2.25613860294187,2.54599285708151,0.0109918358795945
"georoc_Co_sd","GeoROC_Co ~ resist + cofactor + genome","ko_per_mb_tier1_z",1570,0.0659845619731538,1.83263050427075,0.512432845889865,3.57633301411094,0.000359039813804217
"georoc_Co_sd","GeoROC_Co ~ resist + cofactor + genome","ko_per_mb_tier2_z",1570,0.0659845619731538,0.404312075476612,0.528436915276078,0.765109445969312,0.444321661380687
"georoc_Co_sd","GeoROC_Co ~ resist + cofactor + genome","genome_mb_z",1570,0.0659845619731538,1.33832071117765,0.467492349024202,2.86276494999571,0.00425549999557969
"georoc_Cr_sd","GeoROC_Cr ~ resist + cofactor + genome","ko_per_mb_tier1_z",1573,0.333402221421182,10.3243035400667,4.5222280579755,2.28301257869084,0.0225628521215344
"georoc_Cr_sd","GeoROC_Cr ~ resist + cofactor + genome","ko_per_mb_tier2_z",1573,0.333402221421182,-7.4574569413362,4.80216052942994,-1.55293786945133,0.120639652221295
