response,n_full,lam_full,b_r_full,se_r_full,p_r_full,b_c_full,se_c_full,p_c_full,n_386,lam_386,b_r_386,se_r_386,p_r_386,b_c_386,se_c_386,p_c_386,outcome_full,outcome_386,changed
pH_sd,1573,0.29131192542613,0.0273189707057323,0.0069423889362902,8.67967749197802e-05,-0.0032556571043829,0.0073475850356906,0.657760181565351,386,-0.107497506296437,0.0122520040646704,0.0064022723060277,0.0564060596269823,0.0056700661686273,0.0086283881024276,0.51148608561534,resist_only,neither,True
temp_sd,1573,0.431548792281085,0.143896742061104,0.0536565619657379,0.0073992842210044,0.0083742449813598,0.0573084341375094,0.88384079279626,386,0.119373881309899,-0.0513335357195466,0.0804645460542778,0.523878924916091,0.0952066323369084,0.0701006522434122,0.175220250242781,resist_only,neither,True
georoc_Cu_sd,1571,0.511898635970794,4.21252001714418,3.16390396052743,0.183240866468894,-0.189066885084119,3.39485038847437,0.955594066571783,386,0.0,-1.53661350928061,3.5735702203978,0.667442517224203,1.95686041345218,3.75614425228093,0.602685460268973,neither,neither,False
georoc_Ni_sd,1573,0.468946217487058,6.69471557803418,2.03525175802919,0.0010263334658718,-2.41541310292975,2.17961727053854,0.267952973134501,386,0.449011553004649,5.01943451763649,3.45543723359914,0.147150404039069,1.16428127816595,2.98071310203631,0.696307005854939,resist_only,neither,True
georoc_Zn_sd,1570,0.0404498515220828,4.11197865027372,2.50024861066393,0.100247270641249,1.63762355829383,2.56727739925685,0.523642862088568,386,0.40650867310412,-4.34923336746825,5.03269945517928,0.388023131090632,1.51366670469665,4.33090287337082,0.726903763735036,neither,neither,False
georoc_Co_sd,1570,0.0659845619731538,1.83263050427075,0.512432845889865,0.0003590398138042,0.404312075476612,0.528436915276078,0.444321661380687,386,0.112807277824985,-1.25286388218011,0.863011275318224,0.147396007365956,2.16023568605856,0.753313303475697,0.0043646815024127,resist_only,cofactor_only,True
georoc_Cr_sd,1573,0.333402221421182,10.3243035400667,4.5222280579755,0.0225628521215344,-7.4574569413362,4.80216052942994,0.120639652221295,386,0.406380498456459,3.8965138383936,7.21200640347235,0.589317741247801,-3.84353285773814,6.20627156833762,0.5360890934185,resist_only,neither,True
georoc_Pb_sd,1570,0.130915831935986,0.517444446650866,0.16546488028715,0.0017971715822553,-0.116353295043024,0.172299617942714,0.499587227691736,386,0.148109382291588,-0.26412257546028,0.338300834443546,0.435443167416404,0.193332960562457,0.292833774943811,0.509514393232273,resist_only,neither,True
georoc_As_sd,1520,0.7390705616652,-0.944659694251369,0.837094984930309,0.259288374728172,0.316876309271302,0.911762689184719,0.728232019049733,385,0.368546392425093,-1.9943002686178,0.769051597507132,0.0098752005849625,0.290928019619664,0.661425999265554,0.660295374119507,neither,resist_only,True
georoc_Cd_sd,1512,0.200113895503708,0.0392057309562917,0.0070312731989359,2.91334006815877e-08,-0.0067836253461758,0.0073759337000554,0.35787812049671,385,0.340087351173408,0.0212733862845354,0.012137266838454,0.0804521817106483,0.0122745581684279,0.0104153172147991,0.239328748797794,resist_only,neither,True
georoc_Hg_sd,1169,0.180444622094359,0.0986538797484936,0.0345362942971153,0.004359112499381,-0.0444708775520405,0.0366746948980133,0.225537565038841,371,0.121718650297717,-0.104917967514297,0.0702484871078338,0.136158669186719,0.0963588825184011,0.0608328785106447,0.11405649999764,resist_only,neither,True
PF1_As_sd,1574,0.462086363411928,-0.0007056025773927,0.0002390822160469,0.0032113619597964,0.0005705542641687,0.0002560841760333,0.0260220501315679,386,0.611755795989973,-6.13476313577245e-05,0.0003181047593372,0.847176155512338,0.0001324118644342,0.0002782749500958,0.63446674016994,both,neither,True
PF1_Cd_sd,1574,0.338082786238846,0.000705757931567,0.0001536593412261,4.71785608070528e-06,-0.0003715431894018,0.0001633236257119,0.0230469003129488,386,0.123302067473572,-3.58974073583911e-05,0.0002427952432275,0.882538731993896,-0.0002346061856691,0.0002112981092207,0.267564319901211,both,neither,True
PF1_Cr_sd,1574,0.521565991836992,-0.0001631006379778,0.0002501335428954,0.514461626400494,0.0003834098284625,0.0002688637694438,0.15405630609591,386,0.449015407754266,-0.0003071036223662,0.0004061459945117,0.450030722545297,0.0003005011937538,0.0003503478423384,0.391583575889075,neither,neither,False
PF1_Cu_sd,1574,0.509333947833463,-0.0003456031594996,0.000237304291964,0.145489952711839,0.0003024979261865,0.0002548901556096,0.235494902674391,386,0.744831862671704,-0.0001649586248079,0.0003482915406156,0.636039860823176,0.0002279991780645,0.0003105092349225,0.463231594741652,neither,neither,False
PF1_Hg_sd,1574,0.421115581512313,0.0003036283323995,9.85648675273294e-05,0.0021024624605689,0.00013046072657,0.000105314907798,0.215616638299669,386,0.0,0.0001754680283681,9.93727890722121e-05,0.0782356928458858,-0.0001698599540635,0.0001044497540236,0.104724067653785,resist_only,neither,True
PF1_Pb_sd,1574,0.353622608409135,2.6296084346315e-05,8.07444696493384e-05,0.744717133868067,0.0001048559675269,8.59103674866422e-05,0.222448245481093,386,0.551418076156733,-6.53558378501754e-05,0.0001342790537791,0.62673834720321,9.30909892056772e-05,0.0001167488317172,0.425736619562261,neither,neither,False
