genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,ko_per_mb_tier1_z,ko_per_mb_tier2_z,genome_mb_z,mean_levins_B_std
bordetella,Proteobacteria,Bacteria,2499,101.0,65.0,3.0061535023431283,1.548581012065113,-0.16382920768602732,0.1818005103658375
dietzia,Actinobacteria,Bacteria,9702,79.0,59.0,0.3454730218808644,0.9610444433545996,-0.49330390072731545,0.3938510469122714
haemophilus,Proteobacteria,Bacteria,1434,79.0,59.0,1.5481991234995496,-0.965772192880667,-1.3901609201554097,0.3415326395458846
neisseria,Proteobacteria,Bacteria,1896,79.0,59.0,1.3355091076169232,1.0837228573177995,-1.235362958789314,0.1100846056598268
saccharospirillum,Proteobacteria,Bacteria,746,61.0,69.0,0.4893948948539022,-0.7571049201065423,-0.4104672035312408,0.0576520185446859
telmatospirillum,Proteobacteria,Bacteria,7378,83.0,56.0,0.4117559444877956,-0.2835616465708412,0.8959129152510079,0.0760843635443731
aeromonas,Proteobacteria,Bacteria,5331,79.0,59.0,0.9764843431072482,0.0508594916224544,0.12474120026793223,0.0932593229614572
halorhodospira,Proteobacteria,Bacteria,646,57.0,65.0,-0.5710352709827021,-0.605877052988271,-0.9061969313570627,0.0212216074981375
lewinella,Bacteroidetes,Bacteria,5366,57.0,70.0,-0.747277181104595,-1.418313129660914,0.5403258365229661,0.0115013653890744
methylovorus,Proteobacteria,Bacteria,11565,87.0,68.0,2.844433887102394,0.4241230752979333,-0.8112173997227552,0.1596145789694177
nannocystis,Proteobacteria,Bacteria,26587,80.0,63.0,-1.064406319311536,-1.6133874978004783,3.0911056635932908,0.3317393716003435
ochrobactrum,Proteobacteria,Bacteria,2838,80.0,64.0,1.7975626884895606,0.8235645967127453,0.1894905087424812,0.0752346274167906
propionibacterium,Actinobacteria,Bacteria,622,57.0,56.0,-0.8647870719986455,-0.2304623076138037,-0.9675046559812082,0.2452281455072748
pseudofulvimonas,Proteobacteria,Bacteria,2732,107.0,70.0,0.0548725939419522,-0.1546730377580374,-0.5125022599736261,0.2333830104321907
singulisphaera,Planctomycetes,Bacteria,50898,76.0,63.0,-0.7988290254697376,-1.4598283677636157,2.807647374859144,0.0711291095270898
sulfuricurvum,Proteobacteria,Bacteria,8285,71.0,66.0,0.4475515639933685,-0.3536184066002181,-1.3096186495740476,0.0950103699957377
thalassobaculum,Proteobacteria,Bacteria,5916,57.0,55.0,0.0315444452728134,-0.1980418427842088,0.4001692793307261,0.0685817176050596
caenispirillum,Proteobacteria,Bacteria,1185,69.0,70.0,0.3732773686314324,0.1160703083483188,-0.2936898333998874,0.0070070842982597
ralstonia,Proteobacteria,Bacteria,4579,81.0,65.0,2.8029692570079705,2.189875560163662,0.5322688946461527,0.1412043132851458
alicyclobacillus,Firmicutes,Bacteria,8470,72.0,58.0,-1.0234021638071835,0.5595134319783505,-0.6426904271821289,0.2946642478522334
aquicella,Proteobacteria,Bacteria,20171,81.0,60.0,-0.6929644519281937,-0.6532572631396647,-1.0102644346607406,0.0695824719431344
knoellia,Actinobacteria,Bacteria,673,79.0,59.0,-0.9408532266058371,-0.3569256391974729,-0.4847660026310586,0.0036257240764412
magnetospirillum,Proteobacteria,Bacteria,11021,91.0,66.0,0.4301929147952598,0.1552264400351473,-0.2713692512682195,0.287096155615577
syntrophomonas,Firmicutes,Bacteria,2632,53.0,57.0,-1.0291781423690438,-0.2936483153766101,-0.9178583090406991,0.1685971685971685
azoarcus,Proteobacteria,Bacteria,3320,57.0,66.0,1.1580931772470684,0.6848997704037548,0.22874055825227624,0.0121906257661287
brevibacterium,Actinobacteria,Bacteria,977,122.0,55.0,-0.2064015643632583,1.0972626027392165,-0.46095968405837495,0.2272314973641434
dinoroseobacter,Proteobacteria,Bacteria,168,91.0,66.0,0.3169601007290411,0.1656535375375407,-0.3395091447070213,0.0367344564214655
dyadobacter,Bacteroidetes,Bacteria,5819,79.0,61.0,-0.4473003327400905,-1.0816538367417057,1.0890636223717365,0.1439812842278418
flavisolibacter,Bacteroidetes,Bacteria,53183,99.0,66.0,-0.4471682398819185,-0.5637925929496733,-0.2283873866192174,0.2948105633538823
glycomyces,Actinobacteria,Bacteria,2784,150.0,83.0,-0.9536694794853384,-0.3913291797128088,0.5221159577889946,0.073695431842697
kushneria,Proteobacteria,Bacteria,250,107.0,72.0,0.4204817191602676,0.7994535146265228,-0.44482912254015133,0.0066409266409266
paraprevotella,Bacteroidetes,Bacteria,2843,108.0,55.0,-0.6184952559126555,-1.335719595776448,-0.646091179903826,0.0600391389432485
planifilum,Firmicutes,Bacteria,1969,150.0,78.0,-0.8682780938234402,0.2246496356176447,-0.6760591416883198,0.0428223609843486
belnapia,Proteobacteria,Bacteria,4622,79.0,63.0,1.3558777301763991,-0.6525092851270502,0.8191341057444217,0.1126336935837714
clostridium,Firmicutes,Bacteria,74504,76.0,60.0,-0.7676574141402623,-0.92345934422348,0.03515681356156263,0.3859379886973925
edaphobacter,Acidobacteria,Bacteria,10930,80.0,52.0,-0.2176863869995729,-0.2557857091357812,0.3080819741288991,0.1396123536817575
rubrobacter,Actinobacteria,Bacteria,17648,99.0,74.0,-0.896022514828895,0.8790014589043255,-0.6076637336405687,0.3110598135183053
thermobispora,Actinobacteria,Bacteria,2999,80.0,70.0,-1.0237243917271486,0.0272214196309862,-0.20623216515852597,0.00168061411617
coprococcus,Firmicutes,Bacteria,3754,57.0,57.0,-0.7511913698780602,-1.0168093579714754,-0.9147836209170598,0.1374039511865457
nocardia,Actinobacteria,Bacteria,4294,113.0,70.0,-0.8695683568569618,-0.4582479033218246,1.5586015897274905,0.2116751055539666
pelomonas,Proteobacteria,Bacteria,24923,68.0,70.0,0.7056787412836467,0.3251789135440874,0.20772409533031821,0.191138223988081
ulvibacter,Bacteroidetes,Bacteria,15088,57.0,63.0,-0.7837405962544924,-0.1512489323180229,-0.34600025488481495,0.0019274887777892
agrobacterium,Proteobacteria,Bacteria,42843,79.0,63.0,1.0365771469681857,0.0182433715173734,0.5118483334365725,0.1879663052236007
lysobacter,Proteobacteria,Bacteria,49159,99.0,70.0,-0.5603746897771763,-0.4577074512317226,0.4382914689218168,0.0383551533975764
rhodovastum,Proteobacteria,Bacteria,22384,80.0,54.0,-0.6349005745266717,-0.3890546583531883,1.4855114099870514,0.0889488323053038
actinoplanes,Actinobacteria,Bacteria,2462,99.0,74.0,-1.2338970572900902,-1.0165860025893592,2.8172766393089397,0.2209232499117217
roseomonas,Proteobacteria,Bacteria,47224,91.0,65.0,1.441593940126811,1.408127872633974,0.254960018757872,0.2848388549169957
salegentibacter,Bacteroidetes,Bacteria,856,163.0,83.0,-0.094566266326277,-0.652035508125073,-0.3253603525842099,0.0617925459079031
actinopolymorpha,Actinobacteria,Bacteria,332,72.0,59.0,-1.138744367264821,-1.1900766751009886,1.2617064570916503,0.1374349380241548
azospira,Proteobacteria,Bacteria,18074,91.0,63.0,2.373309581322438,2.4085125408672763,-0.6242479615321032,0.1122359597288897
dorea,Firmicutes,Bacteria,2159,90.0,61.0,1.3867872279595297,0.6996317009045159,-0.7299468770209314,0.0053889171326893
gemmatimonas,Gemmatimonadetes,Bacteria,39856,73.0,61.0,0.0291964518408798,1.1147791783174583,-0.35609108364884057,0.0351677653204756
anaerofustis,Firmicutes,Bacteria,107,79.0,59.0,-0.5432238605232613,-1.7217118170411512,-1.2069640187348485,0.1325985587113183
geobacillus,Firmicutes,Bacteria,1116,80.0,57.0,0.4311859428146025,1.079245668534234,-0.5711007523691473,0.2045798421399292
leeuwenhoekiella,Bacteroidetes,Bacteria,618,57.0,59.0,0.0219638721731074,0.7257749846632716,-0.3106193198807807,0.0204668892741817
pseudonocardia,Actinobacteria,Bacteria,39653,91.0,66.0,-0.8054192439945902,1.3136014175994526,1.1380910547054504,0.1685202385213036
dyella,Proteobacteria,Bacteria,5719,82.0,63.0,0.5449752560473924,-0.3050469422787436,0.345245894582028,0.1620751082934902
gillisia,Bacteroidetes,Bacteria,826,61.0,69.0,0.2144148186079092,0.1858841865135939,-0.2611593688603645,0.0149019134339203
gluconacetobacter,Proteobacteria,Bacteria,298,99.0,61.0,-0.1696371217296116,0.2633509911652312,-0.14423936526986234,0.0549450549450549
nesterenkonia,Actinobacteria,Bacteria,244,122.0,55.0,-0.2882173819677401,1.674259688637511,-0.807100777208905,0.2564321250888415
opitutus,Verrucomicrobia,Bacteria,53658,99.0,70.0,0.0078572066305272,-1.1316195920527448,-0.32899179216493807,0.1692783716034876
pontibacter,Bacteroidetes,Bacteria,7574,99.0,75.0,-0.2951207952934293,-0.1141117154028714,0.21563008404756795,0.1725246159861946
propionispora,Firmicutes,Bacteria,14,71.0,55.0,-1.1803869017235444,-0.1231465311471497,-0.37502594178943194,0.0169969874742349
pseudoxanthomonas,Proteobacteria,Bacteria,6407,80.0,66.0,1.2047471555635705,1.098489404338462,-0.7526570457352658,0.1315034435991542
robinsoniella,Firmicutes,Bacteria,49,157.0,65.0,-0.9834776952313874,-1.1211639545974497,1.3427429108789735,0.0945069244353564
rummeliibacillus,Firmicutes,Bacteria,637,122.0,55.0,-0.3638363484668256,0.805189261518348,-0.48660134583512227,0.2221206653797528
sorangium,Proteobacteria,Bacteria,6052,91.0,59.0,-1.3267792974474673,-1.5897328578122012,5.444661517379394,0.182511250198808
stappia,Proteobacteria,Bacteria,84,70.0,61.0,0.3827691706101273,0.3623535374158233,0.19540179417643852,0.1369303086041284
alteromonas,Proteobacteria,Bacteria,8624,69.0,65.0,2.010413648611556,1.279240406688248,-0.08709729097422682,0.0051463343958273
desulfotomaculum,Firmicutes,Bacteria,115,71.0,66.0,-0.4897055119692351,0.6395745219995815,-0.7419251593770689,0.1888440815567262
gracilibacillus,Firmicutes,Bacteria,820,163.0,83.0,-0.1389845427553846,0.688010899178901,0.06767696446747867,0.1785151365620194
henriciella,Proteobacteria,Bacteria,825,57.0,55.0,1.0024505434764612,1.930981740243982,-0.5796133765447087,0.2059160742948865
rahnella,Proteobacteria,Bacteria,974,91.0,66.0,0.2298892803687731,-0.0253903706947068,0.5224338073423774,0.2964542539613361
variovorax,Proteobacteria,Bacteria,57829,79.0,60.0,0.6490534318405816,-0.2642915805510507,1.3421460540353658,0.0319303437198908
faecalibacterium,Firmicutes,Bacteria,5500,122.0,55.0,-0.2632464052250045,-1.2091505658172368,-1.0125692312689976,0.0197298277624506
serratia,Proteobacteria,Bacteria,5143,79.0,59.0,2.205808993008621,1.0773660431909808,0.4259286868102902,0.1895287197734369
verrucomicrobium,Verrucomicrobia,Bacteria,13466,78.0,64.0,-0.9242315047243193,-0.7199833818486673,1.9361222136303922,0.2402058366179663
vogesella,Proteobacteria,Bacteria,778,79.0,59.0,0.155814368790014,0.889409578293854,-0.5032488477017014,0.0652486898498296
dialister,Firmicutes,Bacteria,4429,116.0,63.0,-0.0520517914733282,0.2773017468849782,-1.3013997706384082,0.0253084466940841
desulfosarcina,Proteobacteria,Bacteria,3189,65.0,62.0,-1.002374884604741,-0.8940660841479365,0.1807126042434976,0.1280932503741041
devosia,Proteobacteria,Bacteria,42277,91.0,63.0,-0.0441355232839468,-0.6259156414478135,-0.2977536669773418,0.2754781874346493
albimonas,Proteobacteria,Bacteria,1136,79.0,59.0,0.0688446421551403,-0.3970426007538168,0.3375249482737468,0.1949968659182859
caulobacter,Proteobacteria,Bacteria,78039,91.0,63.0,1.0375383389351371,0.1936429605974134,0.047555782155850775,0.2472813497966958
holophaga,Acidobacteria,Bacteria,10354,71.0,62.0,0.1372681100161499,-0.98396201893442,-0.6018259042445067,0.0598011066532296
hymenobacter,Bacteroidetes,Bacteria,17740,79.0,59.0,-0.3721642059316428,-0.8432104462701931,0.3577719054598546,0.0220744223268879
nitrobacter,Proteobacteria,Bacteria,254,75.0,63.0,2.090163523962869,-0.1208256118459445,-0.37738618804946195,0.1731048570494844
sphingomonas,Proteobacteria,Bacteria,93701,79.0,59.0,1.4369301582696057,0.7372984624928415,-0.2282779453124996,0.2045610345708508
