genus_lower,phylum,kingdom,n_samples,median_temp_range_C,median_soil_ph,ko_per_mb_tier1_z,ko_per_mb_tier2_z,genome_mb_z,mean_levins_B_std
dysgonomonas,Bacteroidetes,Bacteria,5216,99.0,63.0,-0.5605078329386476,-1.1610689274548096,-0.1358257386331868,0.2046536445758559
desulfobulbus,Proteobacteria,Bacteria,11587,65.0,62.0,-1.29318010986626,0.2836814961685701,-0.9959417617528917,0.1744852240972883
rhodoplanes,Proteobacteria,Bacteria,94922,92.0,63.0,0.4851548724415309,-0.5874423238234326,0.6809859626525494,0.1609156819205129
thioalkalivibrio,Proteobacteria,Bacteria,1275,61.0,69.0,-0.0387740517017969,-0.3524530830916785,-0.8684214269158865,0.3396727537196464
cohnella,Firmicutes,Bacteria,7088,80.0,59.0,-0.7490336035801771,-0.0535999533240685,1.0347758065075985,0.1625682808895635
desulfatibacillum,Proteobacteria,Bacteria,627,78.0,59.0,-1.3516762733533068,-1.3324927532715138,1.0766880356697073,0.0022947458154296
fusobacterium,Fusobacteria,Bacteria,7033,79.0,59.0,0.1409773532954271,0.4017207481356286,-1.1336328093149264,0.006255203294107
longispora,Actinobacteria,Bacteria,14218,92.0,70.0,-1.143771719016122,-0.6627819266473975,2.2245126803452973,0.2103156831123104
mesorhizobium,Proteobacteria,Bacteria,52127,99.0,67.0,-0.1170983178700209,-0.7510969242916915,1.1766925380119355,0.1843153859447488
microbulbifer,Proteobacteria,Bacteria,765,74.0,65.0,0.4980713635616353,0.2309139795194901,-0.14849910132725752,0.0326360887320204
parapedobacter,Bacteroidetes,Bacteria,1337,99.0,66.0,-0.4779263536977352,-0.577969894898927,0.6618619997218631,0.0622250693999572
pseudochrobactrum,Proteobacteria,Bacteria,336,72.0,59.0,0.3914484533105197,-0.1975509655289592,-0.20933358648525455,0.0095351401290817
ramlibacter,Proteobacteria,Bacteria,40743,87.0,64.0,0.4465670729306968,0.3625990457104497,0.03397531835018563,0.1840689594438107
thermobacillus,Firmicutes,Bacteria,2653,80.0,57.0,-0.4277340921078086,0.085564966953667,-0.2644652500869493,0.0553831357060481
dermacoccus,Actinobacteria,Bacteria,6517,79.0,59.0,-0.4384704135815075,3.667528434601216,-0.7794033530297887,0.0060670533886216
lactococcus,Firmicutes,Bacteria,3511,69.0,58.0,-0.1694284364256131,-1.6725857537504276,-1.0834999701158037,0.0444382651068253
streptomyces,Actinobacteria,Bacteria,37186,91.0,66.0,-1.105126330986265,-0.2398031769840419,2.0952171515034315,0.2118378359250235
bacillus,Firmicutes,Bacteria,61634,85.0,61.0,-0.2324215709624603,1.5073383851462807,-0.22700577050222703,0.2617423642902581
chelativorans,Proteobacteria,Bacteria,3518,61.0,69.0,-0.308847484955741,-0.2922531262314163,0.17943289969002618,0.1915956045188516
labrys,Proteobacteria,Bacteria,21043,91.0,64.0,-0.2873341921753922,-0.3810227172172854,1.0822949693826465,0.0487303403234809
lysinibacillus,Firmicutes,Bacteria,11149,80.0,57.0,-0.5531267307012291,1.4052359685096405,0.13801017452393263,0.2735599441239652
macellibacteroides,Bacteroidetes,Bacteria,2998,116.0,63.0,1.1675857108907202,-0.3884781534950083,-0.4496768572500759,0.1169450663979063
mucilaginibacter,Bacteroidetes,Bacteria,27673,90.0,63.0,-0.3229937293345577,-1.1921157343312854,0.3565583713166475,0.1882982303453892
sanguibacter,Actinobacteria,Bacteria,895,122.0,55.0,-0.8772121153710585,-0.3770697008899422,-0.07830354067022217,0.0092541890717562
xenorhabdus,Proteobacteria,Bacteria,23,118.0,62.0,-0.4253680150505599,-1.476509657984851,-0.014218100475017701,0.0933264569365653
sinomonas,Actinobacteria,Bacteria,469,122.0,61.0,-0.5506535752158749,0.4118732971328422,-0.013526013439336172,0.0951913515495157
rivularia,Cyanobacteria,Bacteria,28,57.0,66.0,-1.2211956028340163,-0.8382011716588057,2.0796149816421803,0.0434201943478058
acholeplasma,Tenericutes,Bacteria,91,139.0,67.0,1.00870029230644,-0.9803261114711894,-1.594258419006269,0.1212698412698412
actinomyces,Actinobacteria,Bacteria,5301,79.0,59.0,-1.084956377779981,-0.4838596527014661,-0.8166040806498874,0.0028987153048304
amycolatopsis,Actinobacteria,Bacteria,12722,88.0,63.0,-1.1038378594197469,-0.3097027051898631,2.4865271432061724,0.2528017311322285
brevibacillus,Firmicutes,Bacteria,6410,78.0,59.0,-0.472488294786089,0.4108133413642933,0.6848393539461648,0.3691666667188595
gramella,Bacteroidetes,Bacteria,994,69.0,65.0,0.3984461218143553,0.7616824699455014,-0.4577200210686088,0.0269428692318752
leptospira,Spirochaetes,Bacteria,17,91.0,74.0,-0.1716239426607359,-0.782328373769746,-0.01770055791960576,0.0606009405536312
methylobacillus,Proteobacteria,Bacteria,32567,91.0,66.0,1.0279400189376062,0.0112878022040185,-0.8165654439379243,0.0143435066185981
methylobacter,Proteobacteria,Bacteria,15671,84.0,62.0,0.9141873669044712,-0.8361584150148598,0.23758028020495164,0.0088012726164458
rhodocyclus,Proteobacteria,Bacteria,7560,76.0,70.0,0.6976250938312716,0.8499858637700702,-0.590171951316278,0.0101085179128883
spirosoma,Bacteroidetes,Bacteria,7823,79.0,59.0,-0.2614512501398859,-1.0270724388796475,1.4472111822302283,0.065981409771749
thermomonas,Proteobacteria,Bacteria,22699,82.0,65.0,1.0729208015255989,1.7146025778087497,-0.9970987294661999,0.0134643526620262
yeosuana,Bacteroidetes,Bacteria,802,57.0,83.0,0.1804743752362777,-0.467655599468642,-0.7612209893283901,0.1338680635128498
ancylobacter,Proteobacteria,Bacteria,23397,80.0,65.0,0.914212730359482,-0.4420712180114035,0.1720259068550276,0.0881488269514718
nakamurella,Actinobacteria,Bacteria,27472,92.0,64.0,-0.9026358075385864,-0.4384915945263061,0.007127329207979679,0.0016991752431466
asticcacaulis,Proteobacteria,Bacteria,20781,79.0,59.0,-0.3377162736965919,-0.5128309875720561,-0.08918702424302917,0.0697829861500663
aureimonas,Proteobacteria,Bacteria,2695,79.0,59.0,0.1294470157306998,-0.3499029458523139,0.12222221576129895,0.007812688951068
gemmata,Planctomycetes,Bacteria,5910,91.0,66.0,-1.0589995229753404,-1.3281100656964258,1.4869979470125954,0.3108543372310777
methylomonas,Proteobacteria,Bacteria,14195,91.0,62.0,1.024663979908165,-0.5627821848709064,-0.22980776944913506,0.1600118308192842
prevotella,Bacteroidetes,Bacteria,6180,99.0,61.0,-0.2530997827924604,-1.9752035784840745,-0.8245411730648797,0.0021101981301461
rubellimicrobium,Proteobacteria,Bacteria,20397,92.0,65.0,-0.4060922383058789,-1.0075049863015255,0.043472750308981734,0.2537656666773228
aequorivita,Bacteroidetes,Bacteria,3568,163.0,83.0,-0.0246074373442634,0.2243358373335769,-0.7232651707059424,0.0287504906899158
flectobacillus,Bacteroidetes,Bacteria,6895,91.0,66.0,-0.4488886116659988,-1.3615925175644576,1.2138151860801505,0.004293002272676
limnobacter,Proteobacteria,Bacteria,1916,78.0,62.0,2.769116181636325,2.370575198687823,-0.6585895364585306,0.1282051282051282
luteibacter,Proteobacteria,Bacteria,225,75.0,63.0,-0.054884872159498,0.0600402652890135,0.06693503068517316,0.0867091046711091
methylocaldum,Proteobacteria,Bacteria,2596,64.0,62.0,1.40233359073385,-1.0010360390755404,0.6323055005339536,0.0210331866037658
methylomicrobium,Proteobacteria,Bacteria,4221,76.0,66.0,0.2881335477078042,-0.1722845090752896,0.01958812924061368,0.0558615166635865
nonlabens,Bacteroidetes,Bacteria,4190,63.0,55.0,-0.3658962558602728,0.6612925497021415,-0.7069531023381156,0.0859947609345646
peptoniphilus,Firmicutes,Bacteria,2057,99.0,57.0,-0.7373785837404712,-1.2732316668606298,-1.1794394849156353,0.0996287869716201
pusillimonas,Proteobacteria,Bacteria,3784,163.0,83.0,1.5744973683900012,0.0019076815708163,-0.1799587889008707,0.1224889750028722
syntrophus,Proteobacteria,Bacteria,16171,53.0,57.0,-1.0417508965702131,0.1062877004594435,-0.8841640229722989,0.083094812781483
chelatococcus,Proteobacteria,Bacteria,28325,72.0,68.0,0.0859338333269753,-0.8699170773251452,1.2075281678632064,0.1348894353031373
corynebacterium,Actinobacteria,Bacteria,10397,122.0,55.0,-0.3885429523013413,0.3887605613840754,-1.0333628982630676,0.1913467656067215
flavihumibacter,Bacteroidetes,Bacteria,888,72.0,65.0,-0.0918512236524742,-1.0626917700089584,-0.46605801695086285,0.1862390339152553
nocardiopsis,Actinobacteria,Bacteria,482,122.0,55.0,-0.8042644797230627,-0.5300218003084715,0.9903472130175792,0.1331381235211117
actinoalloteichus,Actinobacteria,Bacteria,2408,75.0,63.0,-1.1181252661800791,-0.5328021500418817,1.1019706600260337,0.0151609232141075
anaeromyxobacter,Proteobacteria,Bacteria,44206,78.0,64.0,-0.4025027887315579,-0.5436445477303669,0.3817978817165116,0.1321451753185052
pseudoclavibacter,Actinobacteria,Bacteria,6906,63.0,65.0,-0.9057029063431687,-0.1578079523906004,-0.28231419141201164,0.1249690874618745
blautia,Firmicutes,Bacteria,5051,122.0,55.0,-0.9156590755665948,-1.1609780833848011,-0.16815149858979475,0.0363498516722949
chitinophaga,Bacteroidetes,Bacteria,18575,96.0,66.0,-0.4211312364694758,-1.420856736731291,1.3517712037792042,0.084892691854181
lacibacter,Bacteroidetes,Bacteria,5621,79.0,59.0,-0.3090086263370809,-1.0653708900927974,-0.46107295090975386,0.3112864916038825
lentzea,Actinobacteria,Bacteria,3105,99.0,74.0,-1.1711973154239,-0.5830307299379792,2.6675488679749595,0.2790671796030345
leucobacter,Actinobacteria,Bacteria,6823,72.0,57.0,-0.5124657839491885,-0.114920993806408,-0.6056095704668085,0.185439079309482
marinobacter,Proteobacteria,Bacteria,3253,69.0,59.0,1.0663913807421754,0.7603776416431668,-0.24185901896133805,0.0634765167473373
nodularia,Cyanobacteria,Bacteria,2235,42.0,62.0,-0.9563956275941776,-0.3137849339317817,0.21039952956243635,0.0002900476460588
ornithinimicrobium,Actinobacteria,Bacteria,1649,79.0,59.0,-0.4741060044032945,1.2699816569471252,-0.42155016079598373,0.1713539611915488
proteiniclasticum,Firmicutes,Bacteria,1957,63.0,57.0,-0.2490597918751155,1.3562628204092158,-0.853181726510727,0.0006743751204787
rhodopila,Proteobacteria,Bacteria,16492,89.0,63.0,-0.2143389577881817,-0.6955023832595384,1.271139905725906,0.3442315581302814
sphaerisporangium,Actinobacteria,Bacteria,5571,118.0,78.0,-1.4087870740394,-0.5024556141005132,2.175305913196244,0.276366891505741
sporosarcina,Firmicutes,Bacteria,7939,91.0,63.0,-0.4415943837570249,1.9268826271502704,-0.5367346633350706,0.307133550099268
thermoactinomyces,Firmicutes,Bacteria,1481,150.0,80.0,-0.707702705341854,1.6878329645173482,-0.9872896125684124,0.2185136948981354
emticicia,Bacteroidetes,Bacteria,4475,91.0,70.0,-0.1063407771258445,-0.6634140717921546,0.3825042231093005,0.093240255046147
fimbriimonas,Armatimonadetes,Bacteria,19085,84.0,65.0,-0.7528747010353419,-0.7497499604274145,0.16744567826691154,0.2748672199911935
prosthecobacter,Verrucomicrobia,Bacteria,19523,91.0,70.0,-0.8516396848739716,-1.1134899519819843,0.8430830838434061,0.2266406482441077
xanthomonas,Proteobacteria,Bacteria,13550,76.0,63.0,0.365704708290705,1.029742042636837,0.2512404760410141,0.1731012350481377
bosea,Proteobacteria,Bacteria,77372,79.0,64.0,0.1772734883477612,-0.605391245596172,0.4572639237277673,0.1264496391310109
nocardioides,Actinobacteria,Bacteria,73699,91.0,65.0,-0.8156609530932925,0.1701432954782341,0.00835461196863487,0.1282728284784769
echinicola,Bacteroidetes,Bacteria,43,94.0,73.0,0.0173574127254326,-0.2636503858061795,0.6800614207411304,0.0195522308868089
agromyces,Actinobacteria,Bacteria,22214,80.0,64.0,-1.12524774251323,-0.0806386992239926,-0.41739202244776846,0.0567613541114971
trichococcus,Firmicutes,Bacteria,17109,75.0,60.0,0.8197108462525154,-0.6412739375686316,-1.0215778066527896,0.1445243730398386
belliella,Bacteroidetes,Bacteria,322,113.0,67.0,-0.9272200331572432,-1.0305541901992374,0.09598300073729954,0.0319821749935727
ferruginibacter,Bacteroidetes,Bacteria,68901,80.0,63.0,-0.3338502623864123,-0.6217277559713926,-0.7497709604239587,0.1219845364950634
marinoscillum,Bacteroidetes,Bacteria,2709,163.0,83.0,0.7855210247323628,0.028504927961737,0.7250285282143528,0.1633037199007444
nitratireductor,Proteobacteria,Bacteria,455,163.0,83.0,0.3681916499743204,0.1841009643191003,0.07841912774276476,0.0546836118264442
oceanicella,Proteobacteria,Bacteria,3334,90.0,63.0,0.7246055202284932,0.5121698245439953,-0.6110888017302777,0.145927530554198
palleronia,Proteobacteria,Bacteria,502,72.0,65.0,-0.7307885850568058,-0.5414633286747291,-0.4717675295214093,0.0031742112966653
phycicoccus,Actinobacteria,Bacteria,2732,57.0,56.0,-0.8766788542620619,1.3443290239189898,-0.36797119980331033,0.2480447066680972
sulfuritalea,Proteobacteria,Bacteria,10479,72.0,62.0,0.2937153869309988,1.1979174235874972,-0.423178087360688,0.0307053106595776
bacteroides,Bacteroidetes,Bacteria,17560,81.0,59.0,-0.2635690779158345,-1.334219950780924,0.5114175049285374,0.0178591108112694
carnobacterium,Firmicutes,Bacteria,2139,80.0,57.0,-0.8412438810775306,-0.624565300010203,-0.7378193543503943,0.0031180877537595
desemzia,Firmicutes,Bacteria,239,107.0,65.0,2.0227533917499105,0.8124213901223635,-1.021145786724818,0.0541004333353737
oceanicaulis,Proteobacteria,Bacteria,2985,79.0,66.0,0.6707598708769166,0.77126008414711,-0.8864224296112052,0.0002251490215066
octadecabacter,Proteobacteria,Bacteria,35,57.0,65.0,0.1242446036183132,-0.6245059280955265,-0.5882791271580537,0.0006553045475279
rheinheimera,Proteobacteria,Bacteria,257,163.0,83.0,1.2062604719966017,1.3725277768388775,-0.14635815599727248,0.0196222146815971
rhodococcus,Actinobacteria,Bacteria,59444,80.0,61.0,-0.6346524202350001,0.4650300405828873,0.8524684426248508,0.0216839228948378
solibacillus,Firmicutes,Bacteria,833,80.0,57.0,-0.6566593938611514,1.6568787242312228,-0.33053738466984034,0.2480858281467887
acidocella,Proteobacteria,Bacteria,3008,70.0,51.0,1.2825297445782076,1.4274656978157927,-0.7175032861274306,0.046616726054141
agrococcus,Actinobacteria,Bacteria,17736,79.0,59.0,0.09413089911357,1.7437660634292107,-0.9216337705216782,0.2098007871629843
promicromonospora,Actinobacteria,Bacteria,1414,150.0,83.0,-1.2802434313486626,-0.6056395617514276,0.2752687294312635,0.2151214701070224
symbiobacterium,Firmicutes,Bacteria,2220,80.0,66.0,-0.3939396238133378,0.1490667220349696,-0.3244067392620638,0.3212205543156917
wolbachia,Proteobacteria,Bacteria,388,63.0,65.0,-0.1213444997028549,-0.8184336512816541,-1.737366077845803,0.1440752498530277
azospirillum,Proteobacteria,Bacteria,5975,68.0,70.0,-0.2929751652154468,-0.785299852663274,1.4696774085771258,0.1887178625308063
filomicrobium,Proteobacteria,Bacteria,1722,63.0,59.0,0.7868653461469642,-0.1828521469032469,-0.3123400019057956,0.2096320615259282
methylosinus,Proteobacteria,Bacteria,3992,71.0,61.0,0.2119776620722235,-0.6897569113232702,0.12122614373874979,0.1159692272895379
bradyrhizobium,Proteobacteria,Bacteria,43102,80.0,58.0,-0.0466814307191338,-0.8386582735981505,2.193795584873403,0.1129185743398133
micromonospora,Actinobacteria,Bacteria,24628,92.0,66.0,-1.3137372499467437,-0.9962596210612568,1.1957364006838473,0.2439102136478358
anaerococcus,Firmicutes,Bacteria,5481,122.0,55.0,0.6494148099207839,0.8124445626301744,-1.3759488550961483,0.1280034286148288
microbispora,Actinobacteria,Bacteria,46,125.0,59.0,-1.2807744560357164,-0.5936202394749509,2.1442436918182803,0.2396645430659035
pedobacter,Bacteroidetes,Bacteria,17506,91.0,70.0,-0.4584372675416896,-1.0692883928751111,0.5877544450771531,0.1056249893950802
propionicimonas,Actinobacteria,Bacteria,7154,61.0,60.0,-1.0670278298762592,-0.1355178961388127,-0.8115080108585917,0.0270565472747383
virgibacillus,Firmicutes,Bacteria,4976,122.0,55.0,-0.3162877430610221,0.4834221085975839,-0.04726545788851402,0.0617385917819533
jannaschia,Proteobacteria,Bacteria,496,65.0,66.0,-0.4004220160271899,-0.2884050600513557,-0.3131731553804374,0.0146127495230328
methylobacterium,Proteobacteria,Bacteria,52548,79.0,59.0,0.7470352065128321,0.4874980586066221,0.7726668113216307,0.1870029164452174
nitrosomonas,Proteobacteria,Bacteria,9076,71.0,63.0,1.3132843992173562,-0.0494636560770792,-0.8459767426671558,0.0641186809226923
saccharomonospora,Actinobacteria,Bacteria,2295,122.0,70.0,-0.7166674058529502,0.4455084923855034,0.0850326895214847,0.2046760343042362
actinophytocola,Actinobacteria,Bacteria,471,126.0,70.0,-1.3517146429553208,-0.3149157773588718,2.8076519043151937,0.1549290224078046
orenia,Firmicutes,Bacteria,304,125.0,71.0,-0.5722459153333705,-0.4588254692101923,-0.3665749093348668,0.0011514365108768
paracoccus,Proteobacteria,Bacteria,6865,85.0,65.0,1.2345796329384626,0.2314806560392772,-0.20510641259562393,0.1480952747086525
synechococcus,Cyanobacteria,Bacteria,3351,78.0,60.0,-0.1884527051218119,0.8358833826932499,-0.9194228752028536,0.0341305753070458
uliginosibacterium,Proteobacteria,Bacteria,1185,60.0,60.0,0.9171693691280184,-0.8540611206489235,-0.2564176500658738,0.1245999093821246
streptococcus,Firmicutes,Bacteria,17877,79.0,59.0,0.5097274981546212,-0.912004865028142,-1.2887859873741552,0.1351674772844807
treponema,Spirochaetes,Bacteria,10347,99.0,61.0,-0.2026381925972797,0.2480906523166728,-1.5383468734081034,0.0432033152590718
algibacter,Bacteroidetes,Bacteria,517,74.0,64.0,-0.3643747324861954,-0.3869395349263183,0.1282242398423128,0.1025641025641025
azovibrio,Proteobacteria,Bacteria,3218,79.0,59.0,1.3367108303697572,1.709689351453248,-0.5614806004371689,0.1688311688311688
chthoniobacter,Verrucomicrobia,Bacteria,33191,78.0,60.0,-0.5410602013534042,-0.5383890055383674,0.16046467963155261,0.1355539619592135
erwinia,Proteobacteria,Bacteria,966,113.0,72.0,-0.0406828243211343,0.4478592363560698,-0.2057059242549268,0.1947589197341754
frankia,Actinobacteria,Bacteria,24290,76.0,64.0,-1.2609136107380172,-0.6152422322849055,1.2801100931302698,0.221379041743386
herminiimonas,Proteobacteria,Bacteria,797,101.0,62.0,4.175684477883858,2.189115329232729,-0.5341692593598263,0.038513399765691
hylemonella,Proteobacteria,Bacteria,1491,99.0,65.0,2.14638606072382,1.4427856888101054,-0.8906003977821761,0.3014448669201521
leuconostoc,Firmicutes,Bacteria,1221,63.0,57.0,-0.2072366002669269,-1.336150048706616,-1.3694617571787016,0.0463320463320463
sphingobium,Proteobacteria,Bacteria,24992,99.0,65.0,2.855677495499521,2.1598250268349406,0.009162837690902073,0.1377798484003709
turicibacter,Firmicutes,Bacteria,4950,53.0,57.0,-0.1847048860363695,-1.1437873685657327,-0.9963427008124722,0.184075314220232
citricoccus,Actinobacteria,Bacteria,1108,72.0,66.0,-0.4253072978092602,0.3399555488048221,-0.6213312340526886,0.3302970636075678
cytophaga,Bacteroidetes,Bacteria,5521,116.0,63.0,0.3329851946950478,-0.6890506784407003,-0.03650172366030141,0.2032955957173948
marinimicrobium,Proteobacteria,Bacteria,1690,152.0,69.0,1.6579929597800875,1.82595990376547,-0.36291958501465404,0.087313230555998
micrococcus,Actinobacteria,Bacteria,17293,91.0,65.0,1.1879077150153623,2.943988533099016,-1.0545165445087592,0.2093769469742557
mycobacterium,Actinobacteria,Bacteria,9992,80.0,59.0,-0.6469779781611085,0.8363973839110093,0.10951595546857898,0.1628260864284161
nitrosospira,Proteobacteria,Bacteria,15999,79.0,59.0,0.6491821104835034,-0.1988792673204782,-0.6429606908390825,0.1202623906705539
rhodobacter,Proteobacteria,Bacteria,10845,57.0,60.0,-0.22634640710569,0.5371233517153234,-0.3770765197968548,0.0257685908233202
sulfitobacter,Proteobacteria,Bacteria,4833,57.0,60.0,0.4018791642737251,0.5464262059642926,-0.3008316943096043,0.023318800731409
aerococcus,Firmicutes,Bacteria,10221,99.0,59.0,0.5822939400842723,-0.5467686132301722,-1.3178151153261906,0.0930553162157504
ethanoligenens,Firmicutes,Bacteria,2192,72.0,59.0,-1.0791778243440582,-1.2753005794068717,-0.7740185580516084,0.1165673563493726
methylotenera,Proteobacteria,Bacteria,52919,75.0,63.0,2.854835984212968,1.846411060582259,-1.5459933848334424,0.1102933904197208
polaromonas,Proteobacteria,Bacteria,14829,91.0,59.0,0.787403923263565,0.7469829192879197,-0.3703302922009759,0.0010134798579522
rathayibacter,Actinobacteria,Bacteria,10618,79.0,59.0,-1.0756624243493131,-0.7632253644078135,-0.6137790823386395,0.0571598806186371
roseivirga,Bacteroidetes,Bacteria,4800,57.0,55.0,-0.0415421183004944,-0.8998138991414114,-0.17504952463895418,0.1142857142857142
halobacillus,Firmicutes,Bacteria,928,91.0,74.0,-0.5153971435537026,0.2677426006891606,-0.30361935580016497,0.1170574874724762
rhodoblastus,Proteobacteria,Bacteria,714,80.0,57.0,0.0918916158136197,-0.2622936642665455,0.137555756684111,0.2155573001578228
runella,Bacteroidetes,Bacteria,2953,82.0,63.0,-0.3317803437319104,-1.259740946400026,1.3679647132257895,0.1026634382566585
turneriella,Spirochaetes,Bacteria,2539,80.0,57.0,-0.2590950375066715,-1.178134502696504,-0.22485968638418313,0.1949510733593329
veillonella,Firmicutes,Bacteria,6503,79.0,65.0,-0.8661652482542451,1.3713808806621288,-1.3536475422462149,0.00474922485322
afifella,Proteobacteria,Bacteria,54,152.0,55.0,-0.048505778148919,0.2296830049196644,-0.2538037859859132,0.2338262549334415
chroococcidiopsis,Cyanobacteria,Bacteria,495,74.0,65.0,-0.2953112576519908,0.6815789523197958,1.4206923627423718,0.0349477871414879
coraliomargarita,Verrucomicrobia,Bacteria,11812,61.0,69.0,-0.7990735175611724,2.355173869180639,-1.3449960326636194,0.0207945900253592
desulfosporosinus,Firmicutes,Bacteria,1881,80.0,57.0,-0.4585299716383947,0.6098400324230023,-0.14625280364080623,0.2701057225308317
haloferula,Verrucomicrobia,Bacteria,5186,61.0,69.0,-0.8396425789768999,-0.0852390043422324,-0.7413377066899332,0.1788974203826863
laceyella,Firmicutes,Bacteria,208,67.0,55.0,-0.2202910245354843,0.1080404217321864,-0.5857159879108348,0.2619457336268821
microbacterium,Actinobacteria,Bacteria,3378,80.0,60.0,-0.6895521638603088,0.7553315107735291,-0.5681350856429259,0.0554264305298473
nitrosococcus,Proteobacteria,Bacteria,896,163.0,83.0,1.2473084929044596,-0.3390923164982316,-0.5040407031947091,0.1629660324366633
pleomorphomonas,Proteobacteria,Bacteria,2944,116.0,63.0,-0.1559832903091434,-0.0447739309790817,0.19215774036652628,0.3347296766592484
rothia,Actinobacteria,Bacteria,2822,79.0,59.0,-0.142064441262213,0.7384506650583524,-1.1338589707944842,0.1743119266055046
streptosporangium,Actinobacteria,Bacteria,838,117.0,66.0,-1.077078579544288,-0.7948829033520777,2.6924039805101176,0.1232103505878616
zoogloea,Proteobacteria,Bacteria,6665,75.0,63.0,1.3318963155785557,1.4560459383866815,-0.09050722746236098,0.0455216633631755
rhodoferax,Proteobacteria,Bacteria,11783,63.0,60.0,0.5832605070194962,0.4536066909022111,-0.4180059302231517,0.0876584720525982
leadbetterella,Bacteroidetes,Bacteria,1247,63.0,65.0,-0.4252016547014022,-0.8466258703232049,0.2595425024314731,0.1326824181745039
algoriphagus,Bacteroidetes,Bacteria,12758,91.0,70.0,-0.543809021936466,-0.2576828123360362,-0.06472576989977964,0.2329696260946945
arenibacter,Bacteroidetes,Bacteria,6318,163.0,83.0,-0.3291267290090567,-0.5502619554221281,0.3509112925344049,0.1310080032153256
croceitalea,Bacteroidetes,Bacteria,536,65.0,68.0,0.128559160848018,0.2089395442446997,-0.950943587539937,0.0008415664414536
dokdonella,Proteobacteria,Bacteria,56628,90.0,63.0,0.5841514322968815,-0.1711205761545484,-0.4965137241808124,0.0392853757332836
aquimonas,Proteobacteria,Bacteria,5044,63.0,70.0,0.1021795130850233,0.9478076075879658,-0.32235684955433497,0.1386121458892835
chryseobacterium,Bacteroidetes,Bacteria,3147,79.0,59.0,0.3024631443761996,-0.6791983044724401,0.12111110902266768,0.0206070758527264
collimonas,Proteobacteria,Bacteria,6340,79.0,59.0,0.2311982046677518,-0.1872618990717333,0.03844609024335941,0.0060978410795285
deinococcus,Deinococcus-Thermus,Bacteria,11835,79.0,59.0,-0.2341421043464824,0.675359520024959,-0.4070762776438597,0.0343433345790758
desulfovibrio,Proteobacteria,Bacteria,17506,91.0,62.0,-0.9278658755446249,-0.6829452544333732,-0.8840381235956696,0.1802846640644886
salinibacter,Bacteroidetes,Bacteria,718,136.0,77.0,0.0279078468782348,-0.2516138549883753,-0.35447494592784895,0.0004252843442959
sutterella,Proteobacteria,Bacteria,1161,65.0,70.0,-0.7813821239600348,-0.6426967081884304,-1.0202443404903037,0.0637002341920374
terribacillus,Firmicutes,Bacteria,3387,79.0,59.0,-0.6709558900785756,0.9739707657485202,-0.44748335714169707,0.0692080752150029
acidobacterium,Acidobacteria,Bacteria,25373,78.0,57.0,-0.261909340745647,0.3462806467494225,-0.22028067275604307,0.3321646274483403
alistipes,Bacteroidetes,Bacteria,14681,99.0,57.0,-0.4560830526862906,-0.9522173972835786,-1.0087350735099403,0.0730388406582879
brevundimonas,Proteobacteria,Bacteria,69642,91.0,66.0,3.388348415345765,2.7137575279536943,-0.7359028372815393,0.2149225737197764
ensifer,Proteobacteria,Bacteria,2642,79.0,60.0,0.1600059343509624,-0.9056078775125048,1.5556271172843754,0.1254396603069557
cloacibacterium,Bacteroidetes,Bacteria,2187,81.0,61.0,-0.2053405607863891,0.6272336687981337,-1.0497494919949786,0.1863342080234676
desulfuromonas,Proteobacteria,Bacteria,20133,67.0,64.0,-0.8273429799612222,-0.5193467937390235,-0.49858706048456614,0.0037714384637261
kutzneria,Actinobacteria,Bacteria,9618,91.0,66.0,-1.3592603037057338,-0.3716307043965294,2.9784028056176646,0.1928277795758452
oribacterium,Firmicutes,Bacteria,361,99.0,61.0,-0.2206785917674055,-0.9294346158576038,-1.0248038180611172,0.0272208553630319
ornithinicoccus,Actinobacteria,Bacteria,1662,99.0,74.0,-0.7581515918807978,-0.0379798576578769,-0.24421465157342837,0.0019501772964086
paenibacillus,Firmicutes,Bacteria,62002,80.0,60.0,-0.8175520468529955,-0.0902762271247056,1.0882935343454363,0.2271775592062484
sphingobacterium,Bacteroidetes,Bacteria,9629,79.0,61.0,0.2719391291603423,-0.2923896075816644,0.4049618534584936,0.0400182957399281
curtobacterium,Actinobacteria,Bacteria,2315,79.0,59.0,-1.090925169352401,-0.2921327447745396,-0.40652571536903265,0.0644462771527871
gallionella,Proteobacteria,Bacteria,7165,68.0,57.0,1.3342876252456228,0.9758440291972555,-1.064963840925656,0.2620849640560258
halomonas,Proteobacteria,Bacteria,14002,72.0,69.0,1.3699950127320608,0.3711725106707856,-0.14863138491026667,0.0630642193984512
hellea,Proteobacteria,Bacteria,4087,63.0,63.0,0.4296194098150804,3.1052146339010407,-1.367794472408582,0.0069644980465432
methylophaga,Proteobacteria,Bacteria,4808,78.0,66.0,2.94225783680346,4.419821958203719,-0.7999178235155321,0.2269113149847094
panacagrimonas,Proteobacteria,Bacteria,10870,100.0,70.0,-0.4475039655847173,-0.717408056900458,0.4908484565781301,0.0918931349921734
pontibacillus,Firmicutes,Bacteria,737,99.0,65.0,-0.4373394133868865,-0.0988999700073778,-0.06872160961536412,0.1081007711125806
rudaea,Proteobacteria,Bacteria,43317,80.0,63.0,0.9569716270336528,-0.5087733319324386,0.11299313313901496,0.0693460350249328
