ko_id,gene_name,subcategory,evidence_tier,lambda_original,lambda_asin,delta_lambda,n_genera_original,n_genera_asin
K07277,SAM50,Unknown,Tier 2-Fitness,0.7049821893637634,0.8167595589039611,0.11177736954019768,998,1574
K07338,K07338,Unknown,Tier 2-Fitness,0.8176384610681908,0.7481755231220081,-0.06946293794618275,203,1574
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,0.631158193562036,0.0481790080158635,232,1574
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,0.44188432282217177,0.03300475198533509,218,1574
K07785,nrsD,Resistance/Detoxification,Tier 1,0.0888993673574643,0.27756883186585063,0.18866946450838634,48,1574
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,0.8677890786994269,0.07747903999651307,568,1574
K08151,tetA,Resistance/Detoxification,Tier 2-Fitness,0.7165888679170402,0.7211840319432022,0.004595164026162002,471,1574
K08225,entS,Transport/Homeostasis,Tier 2,0.4171390725213793,0.603440490007432,0.18630141748605278,483,1574
K08300,rne,Unknown,Tier 2-Fitness,0.4637362423907866,0.638464292378276,0.17472804998748936,799,1574
K09771,TC.SMR3,Resistance/Detoxification,Tier 2-Fitness,0.4911916577549345,0.48843351816337954,-0.0027581395915549645,588,1574
K09883,cobT,Transport/Homeostasis,Tier 2,0.846628805205085,0.6402889573733884,-0.20633984783169657,396,1574
K11601,mntC,Transport/Homeostasis,Tier 2,0.0001059596688143,0.32495109643834347,0.32484513676952914,77,1574
K11602,mntB,Transport/Homeostasis,Tier 2,0.0001059596688143,0.45839469489624257,0.45828873522742825,83,1574
K11604,sitA,Transport/Homeostasis,Tier 1,0.3168208363272951,0.4095285608165087,0.0927077244892136,179,1574
K11605,sitC,Transport/Homeostasis,Tier 1,0.1810812746006144,0.4168747909644291,0.23579351636381468,177,1574
K11606,sitD,Transport/Homeostasis,Tier 1,0.3064857252891996,0.4029342430063076,0.096448517717108,180,1574
K11645,fbaB,Unknown,Tier 2-Fitness,0.5762058360624382,0.8383466675768819,0.2621408315144437,276,1574
K11707,troA,Transport/Homeostasis,Tier 1,0.1427548455398582,0.6825432168385458,0.5397883712986876,280,1574
K11708,troC,Transport/Homeostasis,Tier 1,0.1610462487044206,0.6999480952200092,0.5389018465155886,272,1574
K11709,troD,Transport/Homeostasis,Tier 1,0.2209258229638139,0.7104221907708391,0.4894963678070252,277,1574
K12573,rnr,Unknown,Tier 2-Fitness,0.5118585211899723,0.7808791103267961,0.2690205891368238,1267,1574
K13638,zntR,Sensing/Regulation,Tier 2,0.9113917988122212,0.7149854860863998,-0.19640631272582143,64,1574
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,0.8957735123042521,0.2411685392298616,590,1574
K16090,fiu,Transport/Homeostasis,Tier 2-Fitness,0.5478342609502955,0.7296359496692945,0.18180168871899893,297,1574
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,0.6395974419294568,0.12825066706000543,1435,1574
K18367,CoADR,Sensing/Regulation,Tier 2,0.7128730592412164,0.9840106853674426,0.27113762612622627,272,1574
K18707,,Unknown,Tier 2-Fitness,0.5611484054395307,0.9122523312354209,0.3511039257958902,859,1574
K19353,eptC,Unknown,Tier 2-Fitness,0.3218643200012734,0.5652806524430432,0.24341633244176974,159,1574
K19594,gesB,Resistance/Detoxification,Tier 1,0.1559578884302989,0.07464963756030682,-0.08130825086999208,63,1574
K19595,gesA,Resistance/Detoxification,Tier 1,0.1610584292276534,0.07619616766910821,-0.08486226155854519,60,1574
K19976,mntB,Transport/Homeostasis,Tier 2,0.3065316853443602,0.37795091606371506,0.07141923071935485,65,1574
K21572,susD,Unknown,Tier 2-Fitness,0.83014158186063,0.8894904260596678,0.05934884419903774,307,1574
K25119,shp,Transport/Homeostasis,Tier 2,0.0001055442208782,0.5517578669293121,0.5516523227084339,41,1574
K25287,desE,Transport/Homeostasis,Tier 2,0.4857973225457566,0.5933990952664197,0.10760177272066307,57,1574
