"response","model","predictor","n","lambda","beta","SE","t","p"
"pH_sd","pH_sd ~ resist + cofactor + genome","ko_per_mb_tier1_z",386,-0.107497506296437,0.0122520040646704,0.00640227230602777,1.91369618145344,0.0564060596269823
"pH_sd","pH_sd ~ resist + cofactor + genome","ko_per_mb_tier2_z",386,-0.107497506296437,0.00567006616862732,0.00862838810242767,0.657140835729445,0.51148608561534
"pH_sd","pH_sd ~ resist + cofactor + genome","genome_mb_z",386,-0.107497506296437,0.0285949790048277,0.00743429819622355,3.84635889630488,0.00014043873459892
"temp_sd","temp_sd ~ resist + cofactor + genome","ko_per_mb_tier1_z",386,0.119373881309899,-0.0513335357195466,0.0804645460542778,-0.637964647000174,0.523878924916091
"temp_sd","temp_sd ~ resist + cofactor + genome","ko_per_mb_tier2_z",386,0.119373881309899,0.0952066323369084,0.0701006522434122,1.35814189012565,0.175220250242781
"temp_sd","temp_sd ~ resist + cofactor + genome","genome_mb_z",386,0.119373881309899,0.114185194515809,0.0512790465089464,2.22674176470672,0.026546940006666
"georoc_Cu_sd","GeoROC_Cu ~ resist + cofactor + genome","ko_per_mb_tier1_z",386,0,-1.53661350928061,3.5735702203978,-0.429993931701603,0.667442517224203
"georoc_Cu_sd","GeoROC_Cu ~ resist + cofactor + genome","ko_per_mb_tier2_z",386,0,1.95686041345218,3.75614425228093,0.520975841719568,0.602685460268973
"georoc_Cu_sd","GeoROC_Cu ~ resist + cofactor + genome","genome_mb_z",386,0,11.4480347025797,2.77205047064487,4.12980745618118,4.4624658965476e-05
"georoc_Ni_sd","GeoROC_Ni ~ resist + cofactor + genome","ko_per_mb_tier1_z",386,0.449011553004649,5.01943451763649,3.45543723359914,1.45261921380881,0.147150404039069
"georoc_Ni_sd","GeoROC_Ni ~ resist + cofactor + genome","ko_per_mb_tier2_z",386,0.449011553004649,1.16428127816595,2.98071310203631,0.390604945296666,0.696307005854939
"georoc_Ni_sd","GeoROC_Ni ~ resist + cofactor + genome","genome_mb_z",386,0.449011553004649,8.79016268333401,2.29387748845246,3.83201052697204,0.000148564828653991
"georoc_Zn_sd","GeoROC_Zn ~ resist + cofactor + genome","ko_per_mb_tier1_z",386,0.40650867310412,-4.34923336746825,5.03269945517928,-0.864194932799405,0.388023131090632
"georoc_Zn_sd","GeoROC_Zn ~ resist + cofactor + genome","ko_per_mb_tier2_z",386,0.40650867310412,1.51366670469665,4.33090287337082,0.349503729119313,0.726903763735036
"georoc_Zn_sd","GeoROC_Zn ~ resist + cofactor + genome","genome_mb_z",386,0.40650867310412,3.05852784579927,3.31314784638439,0.923148615036006,0.356512476062831
"georoc_Co_sd","GeoROC_Co ~ resist + cofactor + genome","ko_per_mb_tier1_z",386,0.112807277824985,-1.25286388218011,0.863011275318224,-1.451735241487,0.147396007365956
"georoc_Co_sd","GeoROC_Co ~ resist + cofactor + genome","ko_per_mb_tier2_z",386,0.112807277824985,2.16023568605856,0.753313303475697,2.86764574061216,0.00436468150241273
"georoc_Co_sd","GeoROC_Co ~ resist + cofactor + genome","genome_mb_z",386,0.112807277824985,0.459635399352948,0.550481915779127,0.834969117382177,0.404256983372262
"georoc_Cr_sd","GeoROC_Cr ~ resist + cofactor + genome","ko_per_mb_tier1_z",386,0.406380498456459,3.8965138383936,7.21200640347235,0.540281527830807,0.589317741247801
