"model","predictor","n","lambda","beta","SE","t","p"
"Cu_sd ~ KO_primary + genome","ko_z",386,0.0719530096422277,0.0719874602199323,0.345746737116974,0.208208646653337,0.835176732650466
"Cu_sd ~ KO_primary + genome","genome_z",386,0.0719530096422277,-0.748105827308785,0.350459184381768,-2.13464466234061,0.033424350760323
"Zn_sd ~ KO_primary + genome","ko_z",386,0,0.259206640879071,0.302802981198969,0.856024071667737,0.392519690744612
"Zn_sd ~ KO_primary + genome","genome_z",386,0,-0.394546463614682,0.302802981198969,-1.30298077665038,0.193364143033713
"Pb_sd ~ KO_primary + genome","ko_z",386,0.0850410436317025,0.150964532803409,0.975098199404237,0.154819825219291,0.87704491539956
"Pb_sd ~ KO_primary + genome","genome_z",386,0.0850410436317025,-2.25026724092068,0.990865013490729,-2.27101291324556,0.0237006481408259
"Ni_sd ~ KO_primary + genome","ko_z",386,0,-0.130401649579589,0.469474354543354,-0.277760964614196,0.781345731807012
"Ni_sd ~ KO_primary + genome","genome_z",386,0,1.08164826266774,0.469474354543354,2.30395601421047,0.0217597337215944
"Co_sd ~ KO_primary + genome","ko_z",386,0,-0.0139585390133049,0.0893817493807638,-0.156167664092609,0.875983144712873
"Co_sd ~ KO_primary + genome","genome_z",386,0,0.278664542379651,0.0893817493807639,3.1176895094383,0.00196045317372457
"composite_metal_sd ~ KO_primary + genome","ko_z",386,0.0351357856689059,0.00146150226854892,0.00669671015371614,0.218241828450333,0.827356931139345
"composite_metal_sd ~ KO_primary + genome","genome_z",386,0.0351357856689059,-0.00422199652208108,0.00674035856295433,-0.626375656821224,0.531441708853127
"Cu_sd ~ tier1(resist) + tier2(cofactor) + genome","ko_per_mb_tier1_z",386,0.0270482709178664,0.571653686461848,0.368985613855054,1.54925738293528,0.122147905993967
"Cu_sd ~ tier1(resist) + tier2(cofactor) + genome","ko_per_mb_tier2_z",386,0.0270482709178664,-0.993372340574891,0.346346515032659,-2.86814591011901,0.00435793459944374
"Cu_sd ~ tier1(resist) + tier2(cofactor) + genome","genome_z",386,0.0270482709178664,-1.04712489875733,0.301845844921605,-3.46907176750864,0.000581800356596981
"composite_metal_sd ~ tier1(resist) + tier2(cofactor) + genome","ko_per_mb_tier1_z",386,0,0.0103660760427562,0.00621843209940549,1.66699191645869,0.0963356184607241
"composite_metal_sd ~ tier1(resist) + tier2(cofactor) + genome","ko_per_mb_tier2_z",386,0,-0.0157266054157383,0.00653613236842485,-2.40610265050802,0.0165979791831764
"composite_metal_sd ~ tier1(resist) + tier2(cofactor) + genome","genome_z",386,0,-0.00914506225764146,0.00578630852440055,-1.58046571818236,0.114827871328188
