orgId	locusId	sysName	geneName	desc	set1IT076 CPG	set1IT077 M63_quarter_strength	set1IT080 CPG	set3IT039 CPG	set3IT040 M63_quarter_strength	set4IT039 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT042 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT045 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi
RalstoniaBSBF1503	RALBFv3_RS00230	RALBFv3_RS00230		MurR/RpiR family transcriptional regulator	-0.064	-0.427	-0.682	0.270	0.257	-0.236	0.449	0.805
RalstoniaBSBF1503	RALBFv3_RS00235	RALBFv3_RS00235		isoaspartyl peptidase/L-asparaginase	0.030	0.614	-0.270	-0.392	0.081	0.394	0.203	0.039
RalstoniaBSBF1503	RALBFv3_RS00240	RALBFv3_RS00240		glutathione ABC transporter ATP-binding protein	0.382	0.110	0.208	-0.032	0.282	0.166	0.012	-0.197
RalstoniaBSBF1503	RALBFv3_RS00245	RALBFv3_RS00245		glutathione ABC transporter substrate-binding protein GsiB	0.097	0.173	0.150	-0.002	0.093	-0.105	0.185	0.096
RalstoniaBSBF1503	RALBFv3_RS00250	RALBFv3_RS00250		glutathione ABC transporter permease GsiC	0.638	0.288	0.062	0.179	-0.281	0.053	-0.292	0.201
RalstoniaBSBF1503	RALBFv3_RS00255	RALBFv3_RS00255		glutathione ABC transporter permease GsiD	-0.122	0.031	0.096	0.332	0.173	0.166	0.054	0.214
RalstoniaBSBF1503	RALBFv3_RS00260	RALBFv3_RS00260		S58 family peptidase	-0.098	0.528	-0.441	-0.612	0.196	0.593	0.544	0.851
RalstoniaBSBF1503	RALBFv3_RS00265	RALBFv3_RS00265		D-aminopeptidase	0.337	0.594	-0.131	0.042	-0.136	0.174	0.223	0.131
RalstoniaBSBF1503	RALBFv3_RS00275	RALBFv3_RS00275		AcrB/AcrD/AcrF family protein	0.116	0.000	0.043	0.127	0.032	0.022	-0.004	-0.193
RalstoniaBSBF1503	RALBFv3_RS00280	RALBFv3_RS00280		efflux RND transporter periplasmic adaptor subunit	-0.313	-0.463	-0.014	-0.141	-0.319	0.197	-0.008	-0.156
RalstoniaBSBF1503	RALBFv3_RS00285	RALBFv3_RS00285		TolC family protein	0.417	0.432	0.211	0.519	0.275	0.019	0.209	0.168
RalstoniaBSBF1503	RALBFv3_RS00290	RALBFv3_RS00290		50S ribosomal protein L3 N(5)-glutamine methyltransferase	0.546	-0.059	-0.075	-0.138	-0.087	0.015	0.202	-0.393
RalstoniaBSBF1503	RALBFv3_RS00320	RALBFv3_RS00320		succinyldiaminopimelate transaminase	0.094	-0.036	0.141	0.216	-0.110	0.536	0.538	0.229
RalstoniaBSBF1503	RALBFv3_RS00330	RALBFv3_RS00330		alpha/beta hydrolase	0.481	-0.044	-0.120	-0.220	-0.016	-0.054	-0.105	-0.046
RalstoniaBSBF1503	RALBFv3_RS00340	RALBFv3_RS00340		cell division protein FtsZ	-0.886	-1.455	-0.503	-1.437	-1.697	-4.052	-1.686	-3.985
RalstoniaBSBF1503	RALBFv3_RS00350	RALBFv3_RS00350		peptide deformylase	0.510	0.830	-0.034	1.053	0.589	0.270	-0.011	0.261
RalstoniaBSBF1503	RALBFv3_RS00355	RALBFv3_RS00355		hypothetical protein	0.054	-0.101	-0.055	0.244	0.149	0.481	0.348	-0.161
RalstoniaBSBF1503	RALBFv3_RS00360	RALBFv3_RS00360		16S rRNA pseudouridylate synthase	0.132	0.074	-0.009	0.289	0.109	-0.952	-0.104	0.124
RalstoniaBSBF1503	RALBFv3_RS00365	RALBFv3_RS00365		[protein-PII] uridylyltransferase	-0.232	0.593	-0.478	-0.285	0.110	-0.010	0.389	-0.188
RalstoniaBSBF1503	RALBFv3_RS00410	RALBFv3_RS00410		RIP metalloprotease RseP	0.429	0.411	0.527	-0.409	0.042	0.775	0.048	0.347
RalstoniaBSBF1503	RALBFv3_RS00455	RALBFv3_RS00455		hypothetical protein	0.337	-0.551	0.197	-0.362	0.009	-0.300	0.409	0.401
RalstoniaBSBF1503	RALBFv3_RS00460	RALBFv3_RS00460		short chain dehydrogenase	0.021	-0.046	-0.114	-0.166	0.187	-0.090	0.066	0.127
RalstoniaBSBF1503	RALBFv3_RS00465	RALBFv3_RS00465		metal-dependent hydrolase	0.009	-0.084	-0.054	0.129	0.295	0.065	-0.238	-0.258
RalstoniaBSBF1503	RALBFv3_RS00485	RALBFv3_RS00485		SPFH/Band 7/PHB domain protein	0.214	0.228	0.195	-0.489	-0.200	0.345	-0.476	-0.018
RalstoniaBSBF1503	RALBFv3_RS00505	RALBFv3_RS00505		DUF4124 domain-containing protein	0.835	0.629	0.704	-0.815	-0.011	-0.107	-0.453	0.072
RalstoniaBSBF1503	RALBFv3_RS00510	RALBFv3_RS00510		EamA/RhaT family transporter	-0.174	-0.177	0.183	0.087	-0.047	0.001	-0.419	-0.137
