feature	mean_abs_shap	level	ko_id	kegg_ko	ko_desc
L2_332	0.0	L2	420.0	K15012	regA, regR, actR; two-component system, response regulator RegA
L2_331	0.0	L2	419.0	K13051	iaaA, ASRGL1; beta-aspartyl-peptidase (threonine type) [EC:3.4.19.5]
L2_328	0.0	L2	416.0	K04765	mazG; nucleoside triphosphate diphosphatase [EC:3.6.1.9]
L2_326	0.0	L2	414.0	K08312	nudE; ADP-ribose diphosphatase [EC:3.6.1.-]
L2_309	0.0	L2	393.0	K02221	yggT; YggT family protein
L2_321	0.0	L2	408.0	K06597	chpB; chemosensory pili system protein ChpB (putative protein-glutamate methylesterase)
L2_319	0.0	L2	406.0	K02487	pilL; type IV pili sensor histidine kinase and response regulator
L2_316	0.0	L2	403.0	K02658	pilH; twitching motility two-component system response regulator PilH
L2_315	0.0	L2	402.0	K02657	pilG; twitching motility two-component system response regulator PilG
L2_314	0.0	L2	401.0	K01920	gshB; glutathione synthase [EC:6.3.2.3]
L2_313	0.0	L2	400.0	K07735	algH; putative transcriptional regulator
L2_311	0.0	L2	396.0	K04065	osmY; hyperosmotically inducible periplasmic protein
L2_310	0.0	L2	395.0	K02669	pilT; twitching motility protein PilT
L2_323	0.0	L2	411.0	K00833	bioA; adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
L2_436	0.0	L2	622.0	K08310	nudB, ntpA; dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]
L2_437	0.0	L2	623.0	K01640	E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]
L2_438	0.0	L2	624.0	K01968	E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]
L2_439	0.0	L2	625.0	K13766	liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]
L2_440	0.0	L2	626.0	K04758	feoA; ferrous iron transport protein A
L2_441	0.0	L2	627.0	K04759	feoB; ferrous iron transport protein B
L2_442	0.0	L2	628.0	K02968	RP-S20, rpsT; small subunit ribosomal protein S20
L2_444	0.0	L2	634.0	K02673	pilX; type IV pilus assembly protein PilX
L2_446	0.0	L2	636.0	K03582	recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
L2_447	0.0	L2	637.0	K03583	recC; exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]
L2_453	0.0	L2	645.0	K15270	sam; S-adenosylmethionine uptake transporter
L2_454	0.0	L2	646.0	K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
L2_86	0.0	L2	106.0	K07052	K07052; uncharacterized protein
L2_491	0.0	L2	702.0	K00452	HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]
L2_492	0.0	L2	703.0	K02622	parE; topoisomerase IV subunit B [EC:5.99.1.-]
L2_389	0.0	L2	549.0	K14660	nodE; nodulation protein E [EC:2.3.1.-]
L2_494	0.0	L2	707.0	K14761	ybcJ; ribosome-associated protein
L2_495	0.0	L2	708.0	K05802	mscK, kefA, aefA; potassium-dependent mechanosensitive channel
L2_496	0.0	L2	709.0	K18893	vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump
L2_497	0.0	L2	710.0	K11811	arsH; arsenical resistance protein ArsH
L2_498	0.0	L2	711.0	K03741	ARSC2, arsC; arsenate reductase [EC:1.20.4.1]
L2_499	0.0	L2	712.0	K03325	ACR3, arsB; arsenite transporter
L2_500	0.0	L2	714.0	K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase
