condition	condition_class	n	accuracy	mean_confidence	error_rate	n_uncertain	growth_rate	al_score
n-acetyl-l-glutamic-acid	other	36	0.5277777777777778	0.23569545016461213	0.4722222222222222	13	0.3888888888888889	0.36092159297782206
xylitol	other	97	0.5257731958762887	0.2556703374236825	0.4742268041237113	40	0.2268041237113402	0.35298107709804744
hexanoate	other	58	0.5517241379310345	0.22074408176662708	0.4482758620689655	32	0.7413793103448276	0.34932161851840854
pyruvate	carbon	218	0.5229357798165137	0.26932096559776814	0.47706422018348627	87	0.7018348623853211	0.34858082375152344
glyoxylic-acid	other	36	0.5555555555555556	0.23569545016461213	0.4444444444444444	13	0.08333333333333333	0.3396909110379501
pyruvic-acid	other	36	0.5555555555555556	0.23569545016461213	0.4444444444444444	13	0.8055555555555556	0.3396909110379501
glucosaminic-acid	other	36	0.5555555555555556	0.23569545016461213	0.4444444444444444	13	0.8055555555555556	0.3396909110379501
cellobiose	other	535	0.4897196261682243	0.33636715381109633	0.5102803738317757	157	0.577570093457944	0.33863881684031905
glutamate	amino_acid	158	0.3670886075949367	0.4676527943027337	0.6329113924050633	24	0.810126582278481	0.3369286112008014
dasparticacid	other	62	0.5483870967741935	0.26447162870843577	0.4516129032258065	28	0.3225806451612903	0.33217410316393226
n2acetylglutamine	amino_acid	62	0.5161290322580645	0.31409996845873006	0.4838709677419355	29	0.1935483870967742	0.3318871120360984
kanamycinasulfate	antibiotic	82	0.5121951219512195	0.32232791977459985	0.4878048780487805	27	0.36585365853658536	0.3305717464514147
dgalactopyranose	other	106	0.5566037735849056	0.2564594080052319	0.44339622641509435	51	0.6320754716981132	0.32968309267692547
fucose	other	268	0.5	0.34356034764872684	0.5	84	0.2537313432835821	0.3282198261756366
polysorbate20	other	61	0.5573770491803278	0.26745879547821577	0.4426229508196722	27	0.5901639344262295	0.3242395495424291
butyrate	other	61	0.5573770491803278	0.26745879547821577	0.4426229508196722	27	0.39344262295081966	0.3242395495424291
propionate	other	61	0.5573770491803278	0.26745879547821577	0.4426229508196722	27	0.5573770491803278	0.3242395495424291
glycolicacid	other	61	0.5573770491803278	0.26745879547821577	0.4426229508196722	27	0.22950819672131148	0.3242395495424291
